District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
İstanbul / Esenler,2+1,21500.0,04,0.0,3.614457831325301,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenler,3+1,37000.0,04,-3.896103896103896,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenler,3+2,34250.0,04,0.0,-14.374999999999998,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenler,4+1,50000.0,04,0.0,-25.925925925925924,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenler,Stüdyo (1+0),13000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,1+1,20000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,1.5+1,23000.0,04,1.098901098901099,6.976744186046512,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,2+1,20000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,2+2,35000.0,04,0.0,42.857142857142854,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,2.5+1,37500.0,04,0.0,2.73972602739726,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,3+0,18000.0,04,0.0,-2.7027027027027026,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,3+1,32000.0,04,0.0,3.225806451612903,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,3+2,35000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,3.5+1,35000.0,04,-2.7777777777777777,-11.39240506329114,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,4+1,50000.0,04,0.0,-1.477832512315271,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,4+2,36000.0,04,0.0,-10.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,5+1,50000.0,04,0.0,39.86013986013986,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,5+2,97500.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,6+2,102500.0,04,0.0,-6.8181818181818175,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,8+2,105000.0,04,0.0,-41.17647058823529,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,9+2,75000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenyurt,Stüdyo (1+0),15000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,1+1,43000.0,04,1.1764705882352942,1.1764705882352942,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,1.5+1,23750.0,04,0.0,15.853658536585366,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,2+1,37000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,2+2,47875.0,04,0.0,-26.346153846153847,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,2.5+1,110000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,3+1,85000.0,04,-4.49438202247191,-5.555555555555555,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,3+2,45000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,3.5+1,140000.0,04,-3.4482758620689653,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,4+0,80000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,4+1,130000.0,04,0.0,4.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,4+2,95000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,4.5+1,200000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,5+1,135000.0,04,0.0,-19.402985074626866,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,5+2,155000.0,04,0.0,-22.5,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,5.5+1,350000.0,04,0.0,-31.372549019607842,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,6+1,365000.0,04,1.3888888888888888,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,6+2,365000.0,04,0.0,20.66115702479339,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,7+1,110000.0,04,0.0,4.761904761904762,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,7+2,1100000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,8+1,987500.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,8+2,1225000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,8+3,650000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,9+2,1250000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Eyüpsultan,Stüdyo (1+0),27000.0,04,-3.571428571428571,-3.571428571428571,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,1+1,21500.0,04,-2.272727272727273,-2.272727272727273,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,1.5+1,22000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,2+0,20000.0,04,0.0,-4.761904761904762,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,2+1,30000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,2+2,35000.0,04,-54.83870967741935,-36.36363636363637,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,2.5+1,31000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,3+0,25000.0,04,0.0,,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,3+1,42000.0,04,2.4390243902439024,-2.3255813953488373,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,3+2,35000.0,04,0.0,,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
