District,Rooms,Median_Price_Today,inflation_1d_pct,inflation_7d_pct,inflation_15d_pct,inflation_30d_pct
İstanbulSarıyer,2.5+1,95000.0,11.76470588235294,,,
İstanbulSarıyer,3+1,100000.0,0.0,,,
İstanbulSarıyer,3+2,100000.0,0.0,,,
İstanbulSarıyer,3.5+1,135000.0,-6.896551724137931,,,
İstanbulSarıyer,4+0,82250.0,0.0,,,
İstanbulSarıyer,4+1,150000.0,-0.9900990099009901,,,
İstanbulSarıyer,4+2,145000.0,7.4074074074074066,,,
İstanbulSarıyer,4+3,125000.0,0.0,,,
İstanbulSarıyer,4.5+1,222500.0,20.27027027027027,,,
İstanbulSarıyer,4.5+2,600000.0,0.0,,,
İstanbulSarıyer,5+1,210000.0,-4.545454545454546,,,
İstanbulSarıyer,5+2,220000.0,-2.2222222222222223,,,
İstanbulSarıyer,5+3,380000.0,20.634920634920633,,,
İstanbulSarıyer,5.5+1,695000.0,0.0,,,
İstanbulSarıyer,6+1,260000.0,0.0,,,
İstanbulSarıyer,6+2,224000.0,0.0,,,
İstanbulSarıyer,6+3,362500.0,0.0,,,
İstanbulSarıyer,6.5+1,180000.0,0.0,,,
İstanbulSarıyer,7+1,462500.0,0.0,,,
İstanbulSarıyer,7+2,375000.0,2.73972602739726,,,
İstanbulSarıyer,8+2,337500.0,-7.534246575342466,,,
İstanbulSarıyer,8+3,400000.0,9.58904109589041,,,
İstanbulSarıyer,Stüdyo (1+0),50000.0,0.0,,,
İstanbulSilivri,1+1,18750.0,0.6711409395973155,,,
İstanbulSilivri,2+1,24000.0,0.0,,,
İstanbulSilivri,2+2,40000.0,0.0,,,
İstanbulSilivri,2.5+1,12000.0,0.0,,,
İstanbulSilivri,3+1,30000.0,-1.6377317660945263,,,
İstanbulSilivri,3+2,65000.0,0.0,,,
İstanbulSilivri,3.5+1,65250.0,0.0,,,
İstanbulSilivri,4+1,78000.0,0.0,,,
İstanbulSilivri,4+2,76500.0,0.0,,,
İstanbulSilivri,4.5+1,80000.0,0.0,,,
İstanbulSilivri,5+1,85000.0,0.0,,,
İstanbulSilivri,5+2,77500.0,0.0,,,
İstanbulSilivri,5+3,110000.0,0.0,,,
İstanbulSilivri,6+1,120000.0,0.0,,,
İstanbulSilivri,6+2,97000.0,0.0,,,
İstanbulSilivri,7+1,207500.0,0.0,,,
İstanbulSilivri,7+2,96000.0,0.0,,,
İstanbulSilivri,8+2,115000.0,0.0,,,
İstanbulSilivri,9+1,500000.0,0.0,,,
İstanbulSilivri,Stüdyo (1+0),19250.0,-3.75,,,
İstanbulSultangazi,1+1,20000.0,0.0,,,
İstanbulSultangazi,2+0,14000.0,0.0,,,
İstanbulSultangazi,2+1,24000.0,0.0,,,
İstanbulSultangazi,2+2,24000.0,0.0,,,
İstanbulSultangazi,2.5+1,24000.0,0.0,,,
İstanbulSultangazi,3+1,35000.0,0.0,,,
İstanbulSultangazi,3+2,40000.0,0.0,,,
İstanbulSultangazi,4+1,53000.0,0.0,,,
İstanbulSultangazi,4+2,46000.0,0.0,,,
İstanbulSultangazi,Stüdyo (1+0),21500.0,2.380952380952381,,,
İstanbulZeytinburnu,1+1,45000.0,4.651162790697675,,,
İstanbulZeytinburnu,1.5+1,90000.0,0.0,,,
İstanbulZeytinburnu,2+1,72000.0,5.88235294117647,,,
İstanbulZeytinburnu,2+2,40000.0,0.0,,,
İstanbulZeytinburnu,2.5+1,110000.0,0.0,,,
İstanbulZeytinburnu,3+1,132500.0,-1.8518518518518516,,,
İstanbulZeytinburnu,3.5+1,170000.0,0.0,,,
İstanbulZeytinburnu,4+1,155000.0,3.3333333333333335,,,
İstanbulZeytinburnu,4+2,75000.0,0.0,,,
İstanbulZeytinburnu,4.5+1,275000.0,0.0,,,
İstanbulZeytinburnu,5+1,143000.0,0.0,,,
İstanbulZeytinburnu,5.5+1,150000.0,0.0,,,
İstanbulZeytinburnu,Stüdyo (1+0),30000.0,0.0,,,
İstanbulÇatalca,1+1,18500.0,-2.631578947368421,,,
İstanbulÇatalca,2+1,23500.0,-2.083333333333333,,,
İstanbulÇatalca,3+1,39500.0,0.0,,,
İstanbulÇatalca,4+1,51000.0,0.0,,,
İstanbulÇatalca,5+1,50000.0,0.0,,,
İstanbulÇatalca,5+2,125000.0,0.0,,,
İstanbulÇatalca,6+1,95000.0,0.0,,,
İstanbulÇatalca,Stüdyo (1+0),22000.0,,,,
İstanbulŞişli,1+1,45000.0,0.0,,,
İstanbulŞişli,1.5+1,49000.0,11.363636363636363,,,
İstanbulŞişli,10 Üzeri,18000.0,0.0,,,
İstanbulŞişli,2+0,35000.0,0.0,,,
İstanbulŞişli,2+1,39000.0,-1.2658227848101267,,,
İstanbulŞişli,2+2,160000.0,0.0,,,
İstanbulŞişli,2.5+1,115000.0,-4.166666666666666,,,
İstanbulŞişli,3+0,15000.0,0.0,,,
İstanbulŞişli,3+1,59000.0,-1.6666666666666667,,,
İstanbulŞişli,3+2,130000.0,0.0,,,
İstanbulŞişli,3.5+1,102500.0,7.894736842105263,,,
İstanbulŞişli,4+0,15000.0,0.0,,,
İstanbulŞişli,4+1,85000.0,0.0,,,
İstanbulŞişli,4+2,120000.0,-9.433962264150944,,,
İstanbulŞişli,4.5+1,180000.0,0.0,,,
İstanbulŞişli,5+1,260000.0,0.0,,,
İstanbulŞişli,5+2,215000.0,-7.526881720430108,,,
İstanbulŞişli,6+1,147500.0,-57.85714285714286,,,
İstanbulŞişli,6+2,70000.0,-6.666666666666667,,,
İstanbulŞişli,Stüdyo (1+0),22000.0,0.0,,,
