product_name,price (TL)
Gurvita Baby Kuzu İlikli Kemik Sulu Prebiyotik Sebzeler 4x50 g,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Havuç 4x50 gr,199.95
Gurvita Premium Kelle Paça Çorbası 370 ml,459.95
Gurvita İlikli Kemik Suyuna Mercimek Çorba 370 ml,249.95
Gurvita İlk Yağı 4x50 gr,199.95
Gurvita Tavuk Yağı 4x50 gr,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Balkabağı 4x50 gr,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Brokoli 4x50 gr,199.95
Etse Et Kaburga Etinden Kıyma Döner 250 g,199.9
Polonez Hindi Füme Eti 50 Gr,69.9
Polonez Hindi Parça Etli Salam 50 Gr,48.5
Polonez Dana Jambon 50 Gr,111.5
Polonez Dana Macar Salam 50 Gr,99.9
Polonez Hindi Jambon 50 Gr,56.9
Apikoğlu Dana Pastırma (Parça) 80 g,269.9
Carrefour Hindi Füme 50 G,25.0
Polonez Piliç Füme 50 Gr,46.9
Başyazıcı Dana Kangal Sucuk 200 Gr,280.0
Namet 7/24 Hindi Füme 60 G,31.9
Erşan Vakumlu Kangal Sucuk 200 Gr,284.9
Banvit Jumbo Sosis 4'lü 330 G,85.9
Banvit Piliç Baton Salam 850 g,85.9
Pınar Aç Bitir Salam 75 Gr,46.9
Carrefour Isıl İşlem Görmüş Sucuk 200 Gr,135.0
Polonez Hindi Füme Dilimli 150 G,109.9
Carrefour Hindi Salam 50 G,20.0
Namet Hindi Füme Paket 200 Gr,129.9
Başyazıcı İnan Seçme Pastırma 80 g,199.9
Namet 7/24 Dana Macar Salam 60 G,47.75
Başyazıcı İnan Kavurma 100 g,189.9
Namet 7/24 Hindi Salam 60 G,25.9
Carrefour Dana Macar Salam 50 G,39.5
Apikoğlu Parmak Fermente Sucuk 200 Gr,399.9
Carrefour Dana Kavurma 150 G,220.0
Pınar Dana Sosis 10'lu 430 g,429.9
Pınar Aç-Bitir Kokteyl Sosis 180 G,79.9
Erşan Hindi Füme Dilimli 100 g,79.9
Polonez Kangal Sucuk 180 G,229.9
Pınar Aç Bitir Büyük Dilim Hindi Salam 60 G,42.5
Carrefour Çemeni Sıyrılmış Dana Pastırma 120 G,315.0
Polonez Isıl İşlem Görmüş Kangal Sucuk Kg,899.9
Apikoğlu Kavurma 100 Gr,249.9
Namet Lüx Antrikot Pastırma Kg,1999.9
Maret Kokteyl Sosis 250 G,254.9
Maret Dana Balkan Sucuk 100 g,149.9
Erşan Füme Et 120 G,299.9
Pınar Uzun Hindi Sosis 430 G,209.9
Namet Dana Kavurma Kare Kg,1499.9
Namet Kangal Sucuk 200 Gr,382.9
Erşan Dana Antrikot Füme 100 g,335.5
Pınar Klasik Sucuk 225 Gr,382.9
Başyazıcı Dana Kasap Sucuk 400 g,399.9
Banvit Kokteyl Sosis Kg,155.0
Namet Hindi Kokteyl Sosis 7/24 140 G,79.9
