isim,fiyat
Pizza (Margarita) Mozzarella ve domates sos,340
Köri Soslu Tavuk Mantar - renkli biber ve pilav ile,410
Izgara Köfte Patates püresi ve sebzelerle,480
Çökertme Kebabı Kibrit patates üzerinde et ve yoğurt sos,650
Fettuccine Alfredo Kremalı tavuklu makarna,360
Mantı Ev yapımı tadında - yoğurtlu,340
Tavuklu Sezar Salata Parmesan ve kruton ile,380
Çay (Büyük Bardak),55
Latte / Cappuccino,140
Ev Yapımı Limonata,130
Taze Sıkma Portakal Suyu,160
Milkshake Çeşitleri,180
Bodrum Mantı Menü Fiyatları 2026 – Çıtır Mantının Adresi Mayıs 28,2026
Peynir tabağı - şarküteri - sıcak sepeti (börek - pişi) - sahanda yumurta - sınırsız çay,950
Beyaz peynir - kaşar - domates - salatalık - zeytin - haşlanmış yumurta,480
Izgara hellim - sucuk - sosis ve patates kızartması ağırlıklı,550
Taze domates ve biberle,260
Tavada sıcak servis,300
Karadeniz usulü uzayan peynirli,340
Dilek’in meşhur el açması böreği,240
Kaşar peyniri ve söğüş ile,220
