canonical_key,tuik_category,sector,product_key,store,relative_compare
cecemed yagli saclar icin losyon 75 ml,13,cosmetics,CeceMED Yağlı Saçlar İçin Losyon 75 ml,Dermomarket,0.0
cecemed yagli saclar icin sampuan 300 ml,13,cosmetics,CeceMED Yağlı Saçlar İçin Şampuan 300 ml,Dermomarket,0.0
cek valf 3/4 dik,05,construction,ÇEK VALF 3/4 DİK,yapimaks,0.0
ceket,03,clothing,CEKET,Vakko,-7.439553626782402
ceket mont,03,clothing,CEKET MONT,Vakko,0.0
ceket ve jean pantolon seti,03,clothing,Ceket ve jean pantolon seti,Bershka,-3.2594524119947788
ceket ve jean pantolon takimi,03,clothing,Ceket ve jean pantolon takımı,Bershka,0.0
ceket ve pantolon takimi,03,clothing,Ceket ve pantolon takımı,Bershka,10.061443932411663
ceket yelek ve tailored fit sort takimi,03,clothing,Ceket yelek ve tailored fit şort takımı,Bershka,0.0
cekic 100 gr desa,05,construction,ÇEKİÇ 100 GR DESA,yapimaks,0.0
cekic 100 gr rh09801 rtrmax,05,construction,ÇEKİÇ 100 GR RH09801 RTRMAX,yapimaks,0.0
cekic 1000 gr asc,05,construction,ÇEKİÇ 1000 GR ASÇ,yapimaks,0.0
cekic 1000 gr desa,05,construction,ÇEKİÇ 1000 GR DESA,yapimaks,0.0
cekic 1000 gr rh09810 rtrmax,05,construction,ÇEKİÇ 1000 GR RH09810 RTRMAX,yapimaks,0.0
cekic 1500 gr asc,05,construction,ÇEKİÇ 1500 GR ASÇ,yapimaks,0.0
cekic 1500 gr desa,05,construction,ÇEKİÇ 1500 GR DESA,yapimaks,0.0
cekic 200 gr rh09802 rtrmax,05,construction,ÇEKİÇ 200 GR RH09802 RTRMAX,yapimaks,0.0
cekic 2000 gr desa,05,construction,ÇEKİÇ 2000 GR DESA,yapimaks,0.0
cekic 300 gr desa,05,construction,ÇEKİÇ 300 GR DESA,yapimaks,0.0
cekic 300 gr rh09803 rtrmax,05,construction,ÇEKİÇ 300 GR RH09803 RTRMAX,yapimaks,0.0
cekic 500 gr desa,05,construction,ÇEKİÇ 500 GR DESA,yapimaks,0.0
cekic 500 gr rh09805 rtrmax,05,construction,ÇEKİÇ 500 GR RH09805 RTRMAX,yapimaks,0.0
cekic 800 gr desa,05,construction,ÇEKİÇ 800 GR DESA,yapimaks,0.0
cekic camci 125 gr cc 0125,05,construction,ÇEKİÇ CAMCI 125 GR CÇ 0125,yapimaks,0.0
cekic catal 700 gr cc 0700,05,construction,ÇEKİÇ ÇATAL 700 GR ÇÇ 0700,yapimaks,0.0
cekic kamyon 1000 g sait demirci m. sapli kc 1000,05,construction,ÇEKİÇ KAMYON 1000 G SAİT DEMİRCİ M. SAPLI KÇ 1000,yapimaks,0.0
cekic kamyon 2000 g sait demirci m. sapli kc 2000,05,construction,ÇEKİÇ KAMYON 2000 G SAİT DEMİRCİ M. SAPLI KÇ 2000,yapimaks,0.0
cekic kaynakci sait demirci 500 g,05,construction,ÇEKİÇ KAYNAKÇI SAİT DEMİRCİ 500 g,yapimaks,0.0
cekic metal sapli 1500 gr,05,construction,ÇEKİÇ METAL SAPLI 1500 GR,yapimaks,0.0
cekic sapi 100 gr,05,construction,ÇEKİÇ SAPI 100 GR,yapimaks,0.0
cekic sapi 1000 gr,05,construction,ÇEKİÇ SAPI 1000 GR,"Nalburadam,yapimaks",0.0
