tuik_category,sector,product_key,price,store,basic_inflation_15d,basic_inflation_30d
05,construction,10075198,16.9,Bauhaus,12.666666666666657,
05,construction,10075199,16.9,Bauhaus,12.666666666666657,
05,construction,10075203,89.9,Bauhaus,19.866666666666674,
05,construction,10075211,130.0,Bauhaus,0.0,
05,construction,10075230,619.0,Bauhaus,20.19417475728155,
05,construction,10075231,489.0,Bauhaus,19.26829268292683,
05,construction,10075232,489.0,Bauhaus,19.26829268292683,
05,construction,10075233,489.0,Bauhaus,19.26829268292683,
05,construction,10110608,565.0,Bauhaus,0.0,
05,construction,10110737,1060.0,Bauhaus,0.0,
05,construction,10110738,629.0,Bauhaus,18.679245283018865,
05,construction,10110739,499.0,Bauhaus,18.80952380952381,
05,construction,10110740,469.0,Bauhaus,18.734177215189874,
05,construction,10110741,469.0,Bauhaus,18.734177215189874,
05,construction,10110742,519.0,Bauhaus,20.69767441860465,
05,construction,10110743,539.0,Bauhaus,18.461538461538463,
05,construction,10110744,990.0,Bauhaus,17.857142857142858,
05,construction,10110745,990.0,Bauhaus,17.857142857142858,
05,construction,10110746,990.0,Bauhaus,17.857142857142858,
05,construction,10110747,990.0,Bauhaus,17.857142857142858,
05,construction,10110748,990.0,Bauhaus,17.857142857142858,
05,construction,10110750,669.0,Bauhaus,18.4070796460177,
05,construction,10110751,469.0,Bauhaus,18.734177215189874,
05,construction,10110752,749.0,Bauhaus,18.88888888888889,
05,construction,10110753,599.0,Bauhaus,18.613861386138613,
05,construction,10110755,989.0,Bauhaus,19.87878787878788,
05,construction,10110756,759.0,Bauhaus,19.52755905511811,
05,construction,10110757,699.0,Bauhaus,19.48717948717949,
05,construction,10110758,989.0,Bauhaus,19.87878787878788,
05,construction,10110759,789.0,Bauhaus,19.545454545454547,
05,construction,10110760,699.0,Bauhaus,18.47457627118644,
05,construction,10130302,35.0,Bauhaus,0.0,
05,construction,10130303,40.0,Bauhaus,0.0,
05,construction,10130305,50.0,Bauhaus,0.0,
05,construction,10130306,70.0,Bauhaus,0.0,
05,construction,10130307,50.0,Bauhaus,0.0,
05,construction,10130308,40.0,Bauhaus,0.0,
05,construction,10130309,85.0,Bauhaus,0.0,
05,construction,10130310,85.0,Bauhaus,0.0,
