kategori,isim,fiyat,link,resim
Et Ve Tavuk,Kuzu Döş Kg,"₺969,99",https://ardenmarket.com.tr/kuzu-dos-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_dos.jpg
Et Ve Tavuk,Kıvırcık Kuzu But Kg,"₺1.129,99",https://ardenmarket.com.tr/kuzu-but-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_but.jpg
Et Ve Tavuk,Dana Tranç Kg,"₺1.479,99",https://ardenmarket.com.tr/dana-tranc-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/2/5/25010633-6e0669.png
Et Ve Tavuk,Dana Kuşbaşı Yemeklik Kg,"₺1.199,99",https://ardenmarket.com.tr/dana-kusbasi-yemeklik-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_kusbas__yemeklik.jpg
Et Ve Tavuk,Akdeniz Toros Sosis 250 g 5’li,"₺269,95",https://ardenmarket.com.tr/akdeniz-toros-sosis-250gr-5-li.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/a/k/akden_z_toros_sos_s_1_1.jpg
Et Ve Tavuk,Akdeniz Toros Dana Tombik Salam 250 g,"₺249,95",https://ardenmarket.com.tr/akdeniz-toros-salam-250-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/a/k/akden_z_toros_tomb_k_salam_250_gr_1_1.jpg
Et Ve Tavuk,Akdeniz Toros Donuk Piliç Eko Kanat Kg,"₺219,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-pirinc-eko-kanat-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/a/k/akdeniz_toros_donuk_kanat_kg_1.png
Et Ve Tavuk,Kuzu İncik Kg,"₺1.149,99",https://ardenmarket.com.tr/kuzu-incik-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/2/4/24010329-650464.png
Et Ve Tavuk,Kuzu Gömlek Yağ Kg,"₺299,99",https://ardenmarket.com.tr/kuzu-gomlek-yag-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/w/h/whatsapp_image_2025-04-10_at_16.25.54_2.jpeg
Et Ve Tavuk,Kuzu Böbrek Kg,"₺1.149,99",https://ardenmarket.com.tr/kuzu-bobrek-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/2/0/2000739.png
Et Ve Tavuk,Kuzu Lokum,"₺1.749,99",https://ardenmarket.com.tr/kuzu-lokum.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu-lokum-_i_-1-photoroom.png
Et Ve Tavuk,Dana Parça Et Kg,"₺1.189,99",https://ardenmarket.com.tr/dana-parca-et-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/3/1/311ff4cd-3a5e-4f37-b28a-8bdb6ce8.png
Et Ve Tavuk,Kuzu Kelle Adet,"₺499,99",https://ardenmarket.com.tr/kuzu-kelle-adet.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/2/6/26010010_2-fb3224.png
Et Ve Tavuk,Akdeniz Toros Donuk Kuru Yolum Izgara Şiş Kg,"₺479,99",https://ardenmarket.com.tr/kuru-yolum-izgara-sis-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/w/h/whatsapp_image_2025-03-11_at_15.52.44_1.jpeg
Et Ve Tavuk,Pınar Salam Aç Bitir Macar Büyük Dilim 60 Gr,"₺42,00",https://ardenmarket.com.tr/pinar-ac-bitir-macar-salam-buyuk-dilim-60-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/4/1/41049946_1707330814696_org_6vxhulya0m9stjsg.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Baget Kuru Yolum Donuk kg,"₺229,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-baget-kuru-yolum-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_baget.png
Et Ve Tavuk,Akdeniz Toros Piliç Donuk Fırınlık Üst But Kuru Yolum Kg,"₺169,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-firinlik-ust-but-kuru-yolum-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_f_r_nl_k_ust_but_tabakl__1.png
Et Ve Tavuk,Akdeniz Toros Dilimli Dana Salam 70 Gr,"₺72,50",https://ardenmarket.com.tr/akdeniz-toros-dilimli-dana-salam-70-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/a/k/akdeniz_toros_dilimli_dana_salam_70_gr_1.png
Et Ve Tavuk,Akdeniz Toros Donuk Piliç Pirzola Kuru Yolum kg,"₺339,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-pirzola-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pili__pirzola_1.png
Et Ve Tavuk,Akdeniz Toros Piliç Donuk Kanat Kuru Yolum Kg,"₺399,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-kanat-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/a/k/akdeniz_toros_donuk_kanat_kg.png
Et Ve Tavuk,Akdeniz Toros Piliç Kuru Yolum Izgara Şiş Tabaklı Kg,"₺479,99",https://ardenmarket.com.tr/pilic-izgara-sis-tabakli-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/w/h/whatsapp_image_2025-03-11_at_15.52.44.jpeg
Et Ve Tavuk,Akdeniz Toros Piliç Taşlık Kuru Yolum Kg,"₺129,99",https://ardenmarket.com.tr/akdeniz-toros-pilic-taslik-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_taslik.jpg
Et Ve Tavuk,Pınar Dana Et Misket Hindi Köfte 36 Adet 470 Gr,"₺329,95",https://ardenmarket.com.tr/pinar-dana-et-misket-hindi-kofte-36-adet-470-gr.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/_/p_nar_dana_et_misket_hindi_k_fte_36_adet_470_gr.png
