Category,Product Name,Price,Date
Makina-El Aletleri,INGCO CIDLI20558E Kömürsüz Li-ion Akülü Darbeli Matkap 13 MM 20V 2.0Ah,5929.78,2026-03-16
Makina-El Aletleri,PALMERA BG520A SIRT TIRPAN,6971.96,2026-03-16
Makina-El Aletleri,RTM9120 Şarjlı Budama Testeresi 16.8W.2*2AH,5800.0,2026-03-16
Makina-El Aletleri,RTMMAX RTM0124 HAVALI ZIMBA VE ÇİVİ ÇAKMA TAB.,3170.9,2026-03-16
Makina-El Aletleri,RTRMAX / RTM 332 ŞARJLI MATKAP  ÇİFT AKÜ 12 V,1588.96,2026-03-16
Makina-El Aletleri,RTRMAX /RTM0135 HAVALI ÇİVİ ÇAKMA TABANCASI,3706.89,2026-03-16
Makina-El Aletleri,RTRMAX RTM 1570 MATKAP DARBELİ 13 MM 710 W,3899.0,2026-03-16
Makina-El Aletleri,RTRMAX RTM396 BOYA KARIŞTIRICI,5123.98,2026-03-16
Makina-El Aletleri,RTRMAX RTM3990 ELEKTRİKLİ PLANYA 900 W,2978.75,2026-03-16
Makina-El Aletleri,RTRMAX/RTM850 HİDROFOR 1200W 46 MT,8847.0,2026-03-16
Yapı Market & Bahçe,1 KÜRESEL VANA SANAYİ TİPİ KALDE,899.0,2026-03-16
Yapı Market & Bahçe,28X32 CM PAKET ÇİÇEK TOPRAĞI 3 LT,45.9,2026-03-16
Yapı Market & Bahçe,ABANT 31X50 CM PAKET ÇİÇEK TOPRAĞI 10 LT,85.0,2026-03-16
Yapı Market & Bahçe,AKÇALI SPREY 326 BOYA 400 ML PARLAK SİYAH.,420.0,2026-03-16
Yapı Market & Bahçe,AYAR METAL YAPRAK TIRMIĞI AYARLI,699.0,2026-03-16
Yapı Market & Bahçe,Abant 8X37 CM PAKET ÇİÇEK TOPRAĞI 5 LT,60.9,2026-03-16
Yapı Market & Bahçe,BAHÇE SULAMA SET.8 FONK.MEŞEM,1087.96,2026-03-16
Yapı Market & Bahçe,BOSCH ART 30 KENAR KESME MAKİNESİ,2789.0,2026-03-16
Yapı Market & Bahçe,BOSCH GBH 2-28 KIRICI DELİCİ,11343.96,2026-03-16
Yapı Market & Bahçe,CANDAN PPC-42 PLASTİK BOTU MAKASI PPRC 16-42 Mm,735.69,2026-03-16
Yapı Market & Bahçe,"CATPOWER CATE5102 AKÜLÜ VİDALAMA 20W 1,5AH",2800.0,2026-03-16
Yapı Market & Bahçe,CMC-TOOLS 42 MM PVC BORU KESME MAKASI GRİ,362.96,2026-03-16
Yapı Market & Bahçe,DAYSON OTO MASTİK EXTRA 280 GR BEYAZ,275.98,2026-03-16
Yapı Market & Bahçe,DAYSON OTO MASTİK EXTRA 280 RG GRİ,299.88,2026-03-16
Yapı Market & Bahçe,DEKOR POLİÜRETAN DİZLİK 318 (BİR ADET),945.0,2026-03-16
Yapı Market & Bahçe,DEKOR SIVA VE ALÇI TEKNESİ 50 LT 080,592.0,2026-03-16
Yapı Market & Bahçe,DEKOR182 SÜNGERLİ MALA 14 CM,385.95,2026-03-16
Yapı Market & Bahçe,DMAX 4066 PLASTİK CAM VANTUZU ÜÇLÜ,434.8,2026-03-16
Yapı Market & Bahçe,EBATLI ÇADIR BEZİ 4X4 MT,699.0,2026-03-16
Yapı Market & Bahçe,ELTA 0601 01 0010 KURBAGAÇIK 10 NO,993.96,2026-03-16
Yapı Market & Bahçe,ELTA 0601 01 0012 KURBAGAÇIK 12 NO,1489.69,2026-03-16
Yapı Market & Bahçe,ELTOS EY110 YAĞDANLIK 500 ML,299.89,2026-03-16
Yapı Market & Bahçe,ELTOS KD104 KIL TESTERE KOLU,331.0,2026-03-16
Yapı Market & Bahçe,EİNHELL TC-JS 80/1 KİT DEKUPAJ TESTERE,2000.0,2026-03-16
Yapı Market & Bahçe,FİSKARS 1015618 PARÇALAMA BALTASI XS X7,2000.0,2026-03-16
Yapı Market & Bahçe,HAVA TABANCASI SAATLİ DMAX 4115,489.89,2026-03-16
Yapı Market & Bahçe,KALE 155 20-034 STANDART SİL.DAİRE KİLİDİ DAR BLST,298.0,2026-03-16
Yapı Market & Bahçe,KALEKİM ULTRA FUGA GRİ 5/1 KG,598.0,2026-03-16
