Product Title,Monthly Inflation(%)
3'LÜ PAMUKLU UZUN ÇORAP ERKEK ÇOCUK,0.0
3'LÜ PAMUKLU UZUN ÇORAP KIZ ÇOCUK,0.0
3'LÜ PATİK ÇORAP,0.0
3'LÜ PİJAMA TAKIMI KIZ ÇOCUK,0.0
3'LÜ SAÇ AKSESUARI KIZ ÇOCUK,0.0
3'LÜ SLİP KÜLOT,-13.750343758593978
3'LÜ TAKIM KISA KOLLU TİŞÖRT SWEATSHİRT EŞOFMAN ALTI ERKEK ÇOCUK,0.0
3D PAMUKLU CAP ŞAPKA KIZ ÇOCUK,0.0
3D SİMLİ KUMAŞ CAP ŞAPKA KIZ ÇOCUK,0.0
3’LÜ BRİEF KÜLOT,-50.00125003125078
5'Lİ PAMUKLU PATİK ÇORAP,0.0
5'Lİ PAMUKLU PATİK ÇORAP KIZ ÇOCUK,0.0
5'Lİ PAMUKLU SNEAKER ÇORAP,0.0
5'Lİ PAMUKLU SOKET ÇORAP,0.0
5'Lİ PAMUKLU SOKET ÇORAP KIZ ÇOCUK,0.0
5'Lİ PAMUKLU UZUN ÇORAP,0.0
5'Lİ PAMUKLU UZUN ÇORAP ERKEK ÇOCUK,0.0
5'Lİ PAMUKLU UZUN ÇORAP KIZ BEBEK,0.0
5'Lİ UZUN ÇORAP,0.0
7'Lİ PAMUKLU PATİK ÇORAP,0.0
7'Lİ PATİK ÇORAP,0.0
7'Lİ SNEAKER ÇORAP,0.0
90'S SLIM FIT PANTOLON,0.0
90'S WIDE LEG GABARDİN PANTOLON KIZ ÇOCUK,0.0
90'S WIDE LEG GENİŞ PAÇA JEAN PANTOLON KIZ ÇOCUK,0.0
90'S WIDE LEG JEAN PANTOLON KIZ ÇOCUK,0.0
90'S WIDE LEG YÜKSEK BEL DÜZ PAÇA UZUN JEAN PANTOLON,0.0
90'S WIDE LEG YÜKSEK BEL JEAN YIKAMALI PANTOLON,0.0
90'S WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,0.0
90'S WIDE LEG İSPANYOL PAÇA GABARDİN PANTOLON KIZ ÇOCUK,0.0
A FORM MAXİ ETEK,0.0
A KESİM AKIŞKAN KUMAŞ MAXİ ETEK,0.0
A KESİM DANTEL MİDİ ELBİSE,-30.000200001333344
A KESİM DESENLİ MİDİ ELBİSE,0.0
A KESİM ETEK,-3.9522955277256147
A KESİM GÖMLEK YAKA POPLİN MİDİ ELBİSE,0.0
A KESİM KETEN KARIŞIMLI ETEK,0.0
A KESİM MAXİ ETEK,-10.865468195909198
A KESİM MİDİ ETEK,20.98788751973788
A KESİM MİNİ ETEK,-13.333481483127576
A KESİM NORMAL BEL ASTARLI DANTEL MAXİ ETEK,0.0
A KESİM NORMAL BEL DANTELLİ MİNİ ETEK,-40.000307694674575
A KESİM NORMAL BEL SATEN ETEK,0.0
A KESİM PAMUKLU MİDİ ELBİSE,0.0
A KESİM POPLİN ELBİSE,0.0
A KESİM POPLİN MİDİ ELBİSE,0.0
A KESİM SATEN ETEK,0.0
A KESİM TERRY COTTON MİDİ ELBİSE,0.0
AIRTECH FLARE FIT BELİ SARAN SPORCU PANTOLON,0.0
AIRTECH FLARE FİT TOPARLAYICI YÜKSEK BEL İSPANYOL PAÇA SOFT TOUCH SPORCU PANTOLON,-10.000142859183716
AIRTECH LONG FİT DİK YAKA MODAL HIRKA,-40.000307694674575
AIRTECH NBA BROOKLYN NETS FLARE FIT İSPANYOL PAÇA STANDART BOY PANTOLON,0.0
AIRTECH NBA CHICAGO BULLS WIDE LEG DOKUMA PANTOLON,-30.000333337037077
AIRTECH NBA LOS ANGELES LAKERS WİDE LEG EŞOFMAN ALTI,0.0
AIRTECH NBA MIAMI HEAT STRAIGHT FIT CEPLİ PANTOLON,0.0
AIRTECH NBA NEW YORK KNICKS STRAIGHT FIT PANTOLON,0.0
