pk,sku,base_code,name,brand,category,color,size,regular_price,sale_price,discount_pct,currency,stock
1191795,8684287818989,4SAM10702HK,Yıkamalı Tişört Slogan İşlemeli Bisiklet Yaka Kısa Kollu,Koton,MENSWEAR > STREETWEAR > MEN > JERSEY > TSHIRT SS,GRİ,M,729.99,729.99,0.0,TRY,0
1189028,8683968998965,4SAM10206HK,Slogan Baskılı Tişört Slim Fit Bisiklet Yaka Kısa Kollu Pamuklu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > TSHIRT SS,MAVİ,S,499.99,499.99,0.0,TRY,1
1188941,8683968447968,4SAM60003HK,Yazlık Gömlek Kısa Kollu Klasik Yaka Düğmeli Regular Fit,Koton,MENSWEAR > CASUAL > MEN > WOVEN TOPS > SHIRTS SS,BEJ,L,899.99,899.99,0.0,TRY,0
1188372,8683968427243,4SAM10002MK,Yakalı Tişört Slim Fit Düğmeli Kısa Kollu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > TSHIRT SS POLO BSC,BEYAZ,S,949.99,949.99,0.0,TRY,0
1187832,8684287270879,4SAM40112HW,Beli Lastikli Pantolon Chino Dikiş Detaylı Cepli Etiket Baskılı,Koton,MENSWEAR > CASUAL > MEN > WOVEN BOTTOMS > TROUSERS,ANTRASİT,44,1799.99,1799.99,0.0,TRY,0
1187824,8684287044883,4SAM40045NK,Jogger Eşofman Altı Beli Bağcıklı Fermuar Cepli,Koton,TRENDS > SPORTSWEAR > MEN > JERSEY > SWEAT BOTTOMS,SİYAH,M,1199.99,1199.99,0.0,TRY,0
1187751,8684287746930,4SAM10697HK,Oversize Tişört Slogan Baskılı Bisiklet Yaka Kısa Kollu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > TSHIRT SS,SİYAH,L,779.99,779.99,0.0,TRY,0
1184379,8683966434267,4WAM70217MK,Kolej Hoodie Baskılı Kanguru Cep Detaylı Şardonlu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > SWEATSHIRTS,HAKİ,XXL,1079.99,1079.99,0.0,TRY,0
1183802,8683966435073,4WAM70226MK,Slogan Baskılı Hoodie Kanguru Cep Detaylı Kapşonlu Şardonlu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > SWEATSHIRTS,GRİ,XXL,1249.99,1249.99,0.0,TRY,1
1183051,8684286123862,4SAM10271HK,Bisiklet Yaka Tişört Kumaş Detaylı Kısa Kollu Pamuklu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > TSHIRT SS BSC,HAKİ,XXL,799.99,799.99,0.0,TRY,0
1182893,8683968339652,4SAM10069HK,Basic Oversize Tişört Bisiklet Yaka Düşük Omuzlu Kısa Kollu Pamuklu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > TSHIRT SS BSC,BEJ,M,459.99,459.99,0.0,TRY,0
1182871,8683968997371,4SAM10160HK,Basic Tişört Bisiklet Yaka Kısa Kollu Pamuklu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > TSHIRT SS BSC,BEJ,XXL,529.99,529.99,0.0,TRY,0
1182741,8684286256645,4SAM40077HW,Bermuda Şort Beli Bağcıklı Cep Detaylı,Koton,MENSWEAR > STREETWEAR > MEN > WOVEN BOTTOMS > SHORTS,LACİVERT ÇİZGİLİ,38,1499.99,1499.99,0.0,TRY,102
1182427,8683966436117,4WAM70256MK,Arkası Baskılı Hoodie Sloganlı Kanguru Cepli Şardonlu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > SWEATSHIRTS,KAHVERENGİ,M,999.99,999.99,0.0,TRY,2
1182400,8684286012821,4SAM60001HW,Yazlık Gömlek Kısa Kollu Klasik Yaka Düğmeli Regular Fit,Koton,MENSWEAR > CASUAL > MEN > WOVEN TOPS > SHIRTS SS,BEYAZ,L,999.99,999.99,0.0,TRY,0
1181674,8683966357030,4WAM70246MK,Yazlık Oversize Tişört Bisiklet Yaka Slogan Baskılı,Koton,MENSWEAR > CASUAL > MEN > JERSEY > SWEATSHIRTS,MAVİ,L,999.99,999.99,0.0,TRY,1
1181595,8684286999634,4SAM70008HT,Polo Yaka İnce Triko Tişört Slim Fit Kısa Kollu Kırçıllı,Koton,MENSWEAR > SMART > MEN > KNITWEAR > SWEATERS,LACİVERT,XL,1599.99,1599.99,0.0,TRY,0
1181546,8684286120052,4SAM10111MK,Yakalı Tişört Düğme Detaylı Kısa Kollu Dokulu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > TSHIRT SS POLO BSC,BEYAZ,S,849.99,849.99,0.0,TRY,0
1181483,8684286496744,4WAM50030MK,Peluş Ceket Fermuarlı Çift Cepli Klasik Yaka Uzun Kollu,Koton,MENSWEAR > STREETWEAR > MEN > JERSEY > JACKETS,LACİVERT,M,3079.99,3079.99,0.0,TRY,8
1181463,8684286117267,4SAM10093MK,Polo Yaka Tişört Kısa Kollu Düğmeli Dokulu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > TSHIRT SS POLO,SİYAH,S,999.99,999.99,0.0,TRY,1
1180501,8684287394933,4SAM70137MK,Bisiklet Yaka Kazak Kazayağı Desenli Uzun Kollu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > SWEATERS,BEYAZ DESENLİ,L,749.99,749.99,0.0,TRY,0
1180241,8684286457875,4SAM10314HK,Oversize Tişört Yıkamalı Bisiklet Yaka Kısa Kollu,Koton,MENSWEAR > STREETWEAR > MEN > JERSEY > TSHIRT SS,HAKİ,L,999.99,999.99,0.0,TRY,0
1180170,8683966435790,4WAM70252MK,Arkası Baskılı Hoodie Uzakdoğu Temalı Kanguru Cep Detaylı Şardonlu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > SWEATSHIRTS,GRİ,XXL,1199.99,1199.99,0.0,TRY,0
1178151,8684286885821,4WAM20006NW,Spor Yelek Dik Yaka Fermuarlı Cep Detaylı Paraşüt Kumaş,Koton,TRENDS > SPORTSWEAR > MEN > OUTERWEAR > JACKETS,BEJ,M,2599.99,2599.99,0.0,TRY,1
1177801,8684286601681,4SAM10060NK,Spor Tişört Polo Yaka Kısa Kollu Düğmeli,Koton,TRENDS > SPORTSWEAR > MEN > JERSEY > TSHIRT SS,SİYAH,XL,779.99,779.99,0.0,TRY,1
1177533,8683968427496,4SAM10003NK,Spor Tişört Reflektör Baskılı Kısa Kollu Bisiklet Yaka,Koton,TRENDS > SPORTSWEAR > MEN > JERSEY > TSHIRT SS,YEŞİL,L,599.99,599.99,0.0,TRY,0
1177509,8684286456663,4SAM10245HK,Kapşonlu Tişört Kısa Kollu Kanguru Cep Detaylı Düşük Omuzlu,Koton,MENSWEAR > STREETWEAR > MEN > JERSEY > TSHIRT SS,BEJ,XXL,999.99,999.99,0.0,TRY,0
1176098,8683968960269,4WAM40123HW,Beli Bağcıklı Pantolon Slim Fit Cep Detaylı,Koton,MENSWEAR > SMART > MEN > WOVEN BOTTOMS > TROUSERS,BEJ,42,1599.99,1599.99,0.0,TRY,0
1175413,8684286035530,4WAM70370MK,Kısa Kollu Sweat Yarım Fermuarlı Dik Yaka Rahat Kesim,Koton,MENSWEAR > STREETWEAR > MEN > JERSEY > SWEATSHIRTS,BEJ,S,999.99,999.99,0.0,TRY,1
1175069,8683966434304,4WAM70218MK,Kapşonlu Sweatshirt Kolej Baskılı Kanguru Cep Detaylı Şardonlu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > SWEATSHIRTS,YEŞİL,L,1249.99,1249.99,0.0,TRY,0
1174898,8684286456700,4SAM10245HK,Kapşonlu Tişört Kısa Kollu Kanguru Cep Detaylı Düşük Omuzlu,Koton,MENSWEAR > STREETWEAR > MEN > JERSEY > TSHIRT SS,SİYAH,L,899.99,899.99,0.0,TRY,0
1174868,8684287135444,4SAM40170ND,Paraşüt Kot Pantolon Beli Lastikli Stoperli Dikiş Detaylı Cepli,Koton,KOTON JEANS > MENSWEAR > MEN > DENIM > TROUSERS,SİYAH,S,1299.99,1299.99,0.0,TRY,1
1173489,8683966434083,4WAM70215MK,Kolej Hoodie Baskılı Kanguru Cep Detaylı Şardonlu,Koton,MENSWEAR > CASUAL > MEN > JERSEY > SWEATSHIRTS,KAHVERENGİ,XXL,699.99,699.99,0.0,TRY,0
1172628,8683968450135,4SAM60021HW,Spor Gömlek Cep Detaylı Klasik Yaka Çıtçıt Düğmeli Dokulu Regular Fit,Koton,MENSWEAR > CASUAL > MEN > WOVEN TOPS > SHIRTS LS,DEVE TÜYÜ,M,1349.99,1349.99,0.0,TRY,0
1172546,8684287319509,4SAM60157HW,Slim Fit Gömlek Cep Detaylı Klasik Yaka Düğmeli Uzun Kollu,Koton,MENSWEAR > SMART > MEN > WOVEN TOPS > SHIRTS LS BSC,BEYAZ,L,1199.99,1199.99,0.0,TRY,0
1172535,8684286525949,4SAM10051NK,Spor Tişört Slogan Baskılı Bisiklet Yaka Kısa Kollu,Koton,TRENDS > SPORTSWEAR > MEN > JERSEY > TSHIRT SS,SİYAH,L,599.99,599.99,0.0,TRY,0
