urun_id,urun_adi,kategori,fiyat,urun_url
571,Bmes 571 Iş Güvenlik Ayakkabısı S2 Deri 45 Numara,İş Güvenlik Ürünleri,"592,02TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-is-guvenlik-ayakkabisi-s2-deri-45-numara
571,Bmes 571 S2 Çelik Burunlu Deri Iş Ayakkabısı No 40,İş Güvenlik Ürünleri,"572,01TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-s2-celik-burunlu-deri-is-ayakkabisi-no-40
571,Bmes 571 S2 Çelik Burunlu Deri Iş Ayakkabısı No 41,İş Güvenlik Ürünleri,"500,00TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-s2-celik-burunlu-deri-is-ayakkabisi-no-41
571,Bmes 571 S2 Çelik Burunlu Deri Iş Ayakkabısı No 44,İş Güvenlik Ürünleri,"500,00TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-s2-celik-burunlu-deri-is-ayakkabisi-no-44
2,BMES İŞ GÜVENLİK AYAKKABISI ÇELİK BURUN DERİ S2 36-46 NUMARALAR,İş Güvenlik Ürünleri,"629,20TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-is-guvenlik-ayakkabisi-celik-burun-deri-s2-36-46-numaralar
1,BMES İŞ GÜVENLİK AYAKKABISI ÇELİK BURUN SÜET S1 36-46 NUMARALAR,İş Güvenlik Ürünleri,"660,00TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-is-guvenlik-ayakkabisi-celik-burun-suet-s1-36-46-numaralar
43,Çelik Burunlu Deri İş Ayakkabısı No 43 Bmes 571 S2,İş Güvenlik Ürünleri,"500,00TL",https://www.hancivata.com/is-guvenlik-urunleri/celik-burunlu-deri-is-ayakkabisi-no-43-bmes-571-s2
,Dafne Yangın-Acil Çıkış/exıt (Sol Üst Yön)Dekota,İş Güvenlik Ürünleri,"35,53TL",https://www.hancivata.com/is-guvenlik-urunleri/dafne-yangin-acil-cikis-exit-sol-ust-yondekota
75,DELİNATÖR 75CM ŞERİT AYIRICI,İş Güvenlik Ürünleri,"366,08TL",https://www.hancivata.com/is-guvenlik-urunleri/delinator-75cm-serit-ayirici
1202,Demir 1202 S2 Deri Kışlık Ayakkabı Çelik Burun,İş Güvenlik Ürünleri,"600,00TL",https://www.hancivata.com/is-guvenlik-urunleri/demir-1202-s2-deri-kislik-ayakkabi-celik-burun
1,Ebax Kırmızı Siyah Pütürlü Latex Eldiven 1 Adet No: 9,İş Güvenlik Ürünleri,"35,53TL",https://www.hancivata.com/is-guvenlik-urunleri/ebax-kirmizi-siyah-puturlu-latex-eldiven-1-adet-no-9
50,ELMAS DOKULU SİYAH KALIN HİJYENİK NİTRİL ELDİVEN LARGE 50 ADET,İş Güvenlik Ürünleri,"352,00TL",https://www.hancivata.com/is-guvenlik-urunleri/elmas-dokulu-siyah-kalin-hijyenik-nitril-eldiven-large-50-adet
50,ELMAS DOKULU SİYAH KALIN HİJYENİK NİTRİL ELDİVEN MEDİUM 50 ADET,İş Güvenlik Ürünleri,"352,00TL",https://www.hancivata.com/is-guvenlik-urunleri/elmas-dokulu-siyah-kalin-hijyenik-nitril-eldiven-medium-50-adet
50,ELMAS DOKULU SİYAH KALIN HİJYENİK NİTRİL ELDİVEN X-LARGE 50 ADET,İş Güvenlik Ürünleri,"352,00TL",https://www.hancivata.com/is-guvenlik-urunleri/elmas-dokulu-siyah-kalin-hijyenik-nitril-eldiven-x-large-50-adet
81,Eltos Ayarlı Çapak Gözlüğü Şeffaf Ce Koruyucu Gözlük,İş Güvenlik Ürünleri,"57,20TL",https://www.hancivata.com/is-guvenlik-urunleri/eltos-ayarli-capak-gozlugu-seffaf-ce-koruyucu-gozluk-81
0965,Emek Ikaz Levhaları Asansör Dairesi Girilmez Ikaz Levhası- 0965,İş Güvenlik Ürünleri,"114,40TL",https://www.hancivata.com/is-guvenlik-urunleri/emek-ikaz-levhalari-asansor-dairesi-girilmez-ikaz-levhasi-0965
0964,Emek Ikaz Levhaları Hidrofor Odası Girilmez Levhası - 0964,İş Güvenlik Ürünleri,"88,00TL",https://www.hancivata.com/is-guvenlik-urunleri/emek-ikaz-levhalari-hidrofor-odasi-girilmez-levhasi-0964
0933,Emek Ikaz Levhaları Yangın Toplanma Yeri Levhası- 0933,İş Güvenlik Ürünleri,"27,00TL",https://www.hancivata.com/is-guvenlik-urunleri/emek-ikaz-levhalari-yangin-toplanma-yeri-levhasi-0933
,Emek Sığınak,İş Güvenlik Ürünleri,"34,32TL",https://www.hancivata.com/is-guvenlik-urunleri/emek-siginak
,Emirhan Cepli Mühendis Ikaz Yeleği Turuncu M,İş Güvenlik Ürünleri,"102,96TL",https://www.hancivata.com/is-guvenlik-urunleri/emirhan-cepli-muhendis-ikaz-yelegi-turuncu-m
,Essafe Baret Vidalı Ayarlı Mavi,İş Güvenlik Ürünleri,"71,04TL",https://www.hancivata.com/is-guvenlik-urunleri/essafe-baret-vidali-ayarli-mavi
,Essafe Beyaz Baret Ayarlı,İş Güvenlik Ürünleri,"94,72TL",https://www.hancivata.com/is-guvenlik-urunleri/essafe-beyaz-baret-ayarli
43,Gezer Sarı Çizme (43 Numara),İş Güvenlik Ürünleri,"296,01TL",https://www.hancivata.com/is-guvenlik-urunleri/gezer-sari-cizme-43-numara
