District,Rooms,price_numeric,city,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Yeşilyurt,4+1,21500.0,malatya,04,0.0,-2.272727272727273,2.380952380952381,
Yeşilyurt,4.5+1,27500.0,malatya,04,0.0,0.0,0.0,
Yeşilyurt / Köyler,1+1,8000.0,malatya,04,0.0,-38.46153846153847,0.0,
Yeşilyurt / Köyler,2+1,15250.0,malatya,04,-1.6129032258064515,1.6666666666666667,0.0,
Yeşilyurt / Köyler,2.5+1,20500.0,malatya,04,0.0,0.0,0.0,
Yeşilyurt / Köyler,3+1,10000.0,malatya,04,0.0,0.0,0.0,
Yeşilyurt / Köyler,3.5+1,9500.0,malatya,04,-5.0,8.571428571428571,18.75,
Yeşilyurt / Köyler,4+1,19000.0,malatya,04,0.0,0.0,0.0,
Yeşilyurt / Köyler,5+1,25000.0,malatya,04,0.0,0.0,0.0,
Yeşilyurt / Merkez,1+1,12750.0,malatya,04,-1.9230769230769231,-3.7735849056603774,-5.555555555555555,
Yeşilyurt / Merkez,2+0,14950.0,malatya,04,0.0,24.583333333333332,24.583333333333332,
Yeşilyurt / Merkez,2+1,15000.0,malatya,04,0.0,0.0,0.0,
Yeşilyurt / Merkez,2.5+1,14000.0,malatya,04,0.0,0.0,,
Yeşilyurt / Merkez,3+1,19000.0,malatya,04,0.0,0.0,0.0,
Yeşilyurt / Merkez,3+2,22000.0,malatya,04,0.0,0.0,0.0,
Yeşilyurt / Merkez,3.5+1,17500.0,malatya,04,0.0,-2.7777777777777777,-2.7777777777777777,
Yeşilyurt / Merkez,4+1,24000.0,malatya,04,0.0,3.225806451612903,0.0,
Yeşilyurt / Merkez,5+1,26000.0,malatya,04,0.0,-2.803738317757009,-2.803738317757009,
Karakoçan,1+1,13000.0,elazig,04,0.0,0.0,18.181818181818183,
Karakoçan,2+1,7500.0,elazig,04,0.0,0.0,0.0,
Karakoçan,3+1,8000.0,elazig,04,0.0,0.0,-5.88235294117647,
Kovancılar,1+1,15000.0,elazig,04,0.0,0.0,,
Kovancılar,2+1,14500.0,elazig,04,0.0,0.0,0.0,
Kovancılar,3+1,12000.0,elazig,04,0.0,0.0,0.0,
Kovancılar / Köyler,1+1,18500.0,elazig,04,0.0,,,
Maden / Gezin,2+1,8000.0,elazig,04,,,,
Maden / Hazar,3+1,14000.0,elazig,04,,,,
Merkez,1+1,21000.0,elazig,04,0.0,3.7037037037037033,2.4390243902439024,
Merkez,2+0,11000.0,elazig,04,-24.137931034482758,-24.137931034482758,-24.137931034482758,
Merkez,2+1,11500.0,elazig,04,1.098901098901099,3.3707865168539324,9.523809523809524,
Merkez,3+1,10825.0,elazig,04,3.0952380952380953,3.0952380952380953,3.0952380952380953,
Merkez,4+1,21500.0,elazig,04,-4.444444444444445,-14.000000000000002,-14.000000000000002,
Merkez,5+1,42000.0,elazig,04,0.0,0.0,0.0,
Merkez,Stüdyo (1+0),13500.0,elazig,04,0.0,0.0,0.0,
Merkez / 1800 Evler,1+1,18000.0,elazig,04,-5.263157894736842,2.857142857142857,2.857142857142857,
