tarih,malatya_avg_inflation_1d,malatya_tuik_weighted_1d,malatya_avg_inflation_7d,malatya_tuik_weighted_7d,malatya_avg_inflation_15d,malatya_tuik_weighted_15d,malatya_avg_inflation_30d,malatya_tuik_weighted_30d,elazig_avg_inflation_1d,elazig_tuik_weighted_1d,elazig_avg_inflation_7d,elazig_tuik_weighted_7d,elazig_avg_inflation_15d,elazig_tuik_weighted_15d,elazig_avg_inflation_30d,elazig_tuik_weighted_30d,tunceli_avg_inflation_1d,tunceli_tuik_weighted_1d,tunceli_avg_inflation_7d,tunceli_tuik_weighted_7d,tunceli_avg_inflation_15d,tunceli_tuik_weighted_15d,tunceli_avg_inflation_30d,tunceli_tuik_weighted_30d,malatya_avg_inflation_2026-05-23,malatya_tuik_weighted_2026-05-23,elazig_avg_inflation_2026-05-23,elazig_tuik_weighted_2026-05-23,tunceli_avg_inflation_2026-05-23,tunceli_tuik_weighted_2026-05-23
2026-05-08,0.167483,0.167483,0.840611,0.840611,1.204423,1.204423,5.41013,5.41013,0.525588,0.525588,-0.988542,-0.988542,0.223945,0.223945,-1.548163,-1.548163,0.0,0.0,-2.155412,-2.155412,-11.367734,-11.367734,-18.115942,-18.115942,,,,,,
2026-05-09,0.9503,0.9503,1.52231,1.52231,2.512494,2.512494,6.208781,6.208781,0.37143,0.37143,-0.408901,-0.408901,-0.156937,-0.156937,-0.569053,-0.569053,1.395349,1.395349,-0.406619,-0.406619,-6.903623,-6.903623,-3.921857,-3.921857,,,,,,
2026-05-10,-0.951436,-0.951436,0.327421,0.327421,1.619896,1.619896,5.746531,5.746531,0.324781,0.324781,-0.300238,-0.300238,-0.138253,-0.138253,-0.697218,-0.697218,0.0,0.0,0.058027,0.058027,-1.978862,-1.978862,-5.543478,-5.543478,,,,,,
2026-05-11,0.156313,0.156313,1.585637,1.585637,1.161419,1.161419,4.267968,4.267968,0.309984,0.309984,0.410789,0.410789,0.707388,0.707388,-0.762693,-0.762693,-2.554348,-2.554348,-6.262555,-6.262555,-3.737441,-3.737441,-7.149915,-7.149915,,,,,,
2026-05-12,-0.160289,-0.160289,3.310687,3.310687,1.692277,1.692277,4.184398,4.184398,0.409252,0.409252,-0.624506,-0.624506,-0.65007,-0.65007,0.719518,0.719518,2.906977,2.906977,1.55249,1.55249,9.542231,9.542231,10.053027,10.053027,,,,,,
2026-05-13,-0.001455,-0.001455,-0.21031,-0.21031,1.520635,1.520635,5.024612,5.024612,-1.161228,-1.161228,-0.705871,-0.705871,-0.787455,-0.787455,0.17337,0.17337,1.5625,1.5625,2.094415,2.094415,2.165337,2.165337,1.075269,1.075269,,,,,,
2026-05-14,0.839525,0.839525,0.9841,0.9841,0.820403,0.820403,11.46296,11.46296,-0.16791,-0.16791,-0.044684,-0.044684,-0.958708,-0.958708,-1.108526,-1.108526,-0.159314,-0.159314,4.244186,4.244186,-0.56383,-0.56383,0.0,0.0,,,,,,
2026-05-15,0.143737,0.143737,1.122246,1.122246,0.833059,0.833059,9.885232,9.885232,0.775114,0.775114,1.393748,1.393748,0.917397,0.917397,1.581545,1.581545,-6.200593,-6.200593,-2.543605,-2.543605,-4.744385,-4.744385,-17.012411,-17.012411,,,,,,
2026-05-16,-0.581753,-0.581753,-0.119617,-0.119617,2.206732,2.206732,7.671083,7.671083,-0.334907,-0.334907,0.068501,0.068501,-0.060639,-0.060639,0.513256,0.513256,1.948052,1.948052,-2.173913,-2.173913,-3.237743,-3.237743,-17.836022,-17.836022,,,,,,
2026-05-17,0.734978,0.734978,1.752486,1.752486,2.026174,2.026174,7.828337,7.828337,-0.53837,-0.53837,-0.935836,-0.935836,-0.390639,-0.390639,1.172848,1.172848,0.952381,0.952381,4.130435,4.130435,3.704492,3.704492,-1.595745,-1.595745,,,,,,
