Date,Price,District,Rooms
2026-03-30,30000,Yahşihan,3+1
2026-03-30,39000,Yahşihan,4+1
2026-03-30,20000,"Merkez
Sanayi",3+1
2026-03-30,9500,Yahşihan,Stüdyo (1+0)
2026-03-30,13000,Yahşihan,2+1
2026-03-30,13500,Yahşihan,2+0
2026-03-30,12250,"Merkez
Sanayi",2+1
2026-03-30,14000,Yahşihan,2+1
2026-03-30,22500,Yahşihan,3+1
2026-03-30,19500,"Merkez
Fabrikalar",3+1
2026-03-30,21250,Yahşihan,1+1
2026-03-30,18000,Yahşihan,2+1
2026-03-30,9500,"Merkez
Sanayi",2+1
2026-03-30,15750,"Merkez
Fabrikalar",1+1
2026-03-30,20000,Yahşihan,2+1
2026-03-30,26000,"Merkez
Tepebaşı",3+1
2026-03-30,20500,Yahşihan,1+1
2026-03-30,25000,Yahşihan,1+1
2026-03-30,16000,"Merkez
Tepebaşı",3+1
2026-03-30,12500,Yahşihan,1+1
2026-03-30,24000,"Merkez
Fabrikalar",3+1
2026-03-30,25000,"Merkez
Tepebaşı",3+1
2026-03-30,18500,"Merkez
Sanayi",3+1
2026-03-30,13000,Yahşihan,2+1
2026-03-30,10500,"Merkez
Tepebaşı",3+1
2026-03-30,11000,"Merkez
Fabrikalar",3+1
2026-03-30,12000,Yahşihan,1+1
2026-03-30,12000,"Merkez
Fabrikalar",3+1
2026-03-30,15750,"Merkez
Sanayi",2+1
2026-03-30,14000,Yahşihan,2+1
2026-03-30,8000,"Merkez
Yuva",3+1
2026-03-30,24000,"Merkez
Fabrikalar",3+1
2026-03-30,20000,"Merkez
Fabrikalar",3+1
2026-03-30,8500,"Merkez
Tepebaşı",3+1
2026-03-30,15500,"Merkez
Fabrikalar",3+1
2026-03-30,18500,"Merkez
Fabrikalar",3+1
2026-03-30,20000,"Merkez
Fabrikalar",2+1
2026-03-30,21000,"Merkez
Tepebaşı",3+1
2026-03-30,13000,"Merkez
Tepebaşı",3+1
2026-03-30,25000,Yahşihan,1+1
2026-03-30,15000,Yahşihan,3+0
2026-03-30,13500,Yahşihan,2+1
2026-03-30,9400,Yahşihan,2+0
2026-03-30,13000,"Merkez
Sanayi",2+1
2026-03-30,16500,"Merkez
Fabrikalar",2+1
2026-03-30,12500,Yahşihan,2+1
2026-03-30,19000,Yahşihan,3+1
2026-03-30,13000,"Merkez
Fabrikalar",3+1
2026-03-30,16000,"Merkez
Tepebaşı",3+1
2026-03-30,16000,"Merkez
Fabrikalar",3+1
2026-03-30,10500,Yahşihan,1+1
2026-03-30,15000,Yahşihan,2+0
2026-03-30,25000,"Merkez
Sanayi",3+1
2026-03-30,23000,"Merkez
Fabrikalar",3+1
