ID,SKU,Product Name,Category,Price (TL),URL
54,CETA.H27-130,CETA FORM H27-130 Elektronikçi Yassı Kargaburun,Kargaburunlar,"619,32",https://www.nalburcuk.com/urun/ceta-form-h27-130-elektronikci-yassi-kargaburun
55,CETA.H26-130,Ceta Form H26-130 Elektronikçi Yuvarlak Kargaburun 130mm,Kargaburunlar,"619,32",https://www.nalburcuk.com/urun/ceta-form-h26-130-elektronikci-yuvarlak-kargaburun
56,CETA.H25-155,CETA FORM H25-155 Elektronikçi İğne Kargaburun,Kargaburunlar,"619,32",https://www.nalburcuk.com/urun/ceta-form-h25-155-elektronikci-igne-kargaburun
57,CETA.H24-130,CETA FORM H24-130 Elektronikçi Eğri Kargaburun,Kargaburunlar,"619,32",https://www.nalburcuk.com/urun/ceta-form-h24-130-elektronikci-egri-kargaburun
58,CETA.H21N-130SB,CETA FORM H21N-130SB Elektronikçi Eğri Tepe Keski (Dar Kesici Ağızlı),Keski ve Zımbalar,"755,82",https://www.nalburcuk.com/urun/ceta-form-h21n-130sb-elektronikci-egri-tepe-keski-dar-kesici-agizli
59,CETA.H20T-120SB,CETA FORM H20T-120SB Elektronikçi Yan Keski (Sivri Kafa-Açılı Kesim),Yankeskiler,"902,46",https://www.nalburcuk.com/urun/ceta-form-h20t-120sb-elektronikci-yan-keski-sivri-kafa-acili-kesim
60,CETA.H21S-125SB,CETA FORM H21S-125SB Elektronikçi Tepe Keski,Keski ve Zımbalar,"714,48",https://www.nalburcuk.com/urun/ceta-form-h21s-125sb-elektronikci-tepe-keski
61,CETA.H20C-118SB,CETA FORM H20C-118SB Elektronikçi Yan Keski (Mini Kafa-Açılı Kesim),Yankeskiler,"902,46",https://www.nalburcuk.com/urun/ceta-form-h20c-118sb-elektronikci-yan-keski-mini-kafa-acili-kesim
62,CETA.H20S-120FL,CETA FORM H20S-120FL Elektronikçi Yan Keski (Sıfır Kesim),Yankeskiler,"883,74",https://www.nalburcuk.com/urun/ceta-form-h20s-120fl-elektronikci-yan-keski-sifir-kesim
63,CETA.H20S-120SB,CETA FORM H20S-120SB Elektronikçi Yan Keski (Açılı Kesim),Yankeskiler,"883,74",https://www.nalburcuk.com/urun/ceta-form-h20s-120sb-elektronikci-yan-keski-acili-kesim
