date,product-name,product-price,category,source
2026-05-01,%3 SODYUM KLORUR COZELTISI 50 ML (SETLI),1.05,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR COZELTISI 50 ML (SETSIZ),0.73,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR SOLUSYON   500 ML CAM(SETLI),1.62,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR SOLUSYON   500 ML CAM(SETSIZ),1.32,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR SOLUSYON  PVC 150 ML(SETLI),1.1300000000000001,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR SOLUSYON  PVC 150 ML(SETSIZ),0.85,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR SOLUSYON 1000 ML CAM(SETLI),1.93,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR SOLUSYON 1000 ML CAM(SETSIZ),1.79,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR SOLUSYON PVC 250 ML(SETLI),0.92,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR SOLUSYON PVC 250 ML(SETSIZ),0.6,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ 500 ML SOL. SETLI,1.64,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ 500 ML SOLUSYON,1.49,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE,1.79,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ PVC 500 ML (SETLI),1.9,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ PVC 500 ML(SETSIZ),1.6300000000000001,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SISE 500 ML(SETLI),1.9,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SISE 500 ML(SETSIZ),1.6300000000000001,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI COZELTISI 1000 ML (SETLI-CAM),3.26,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI COZELTISI 1000 ML (SETSIZ-CAM),2.9,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI COZELTISI 250 ML (SETLI),1.04,İlaç,TİTCK
