Name,Brand,SalePrice,RegularPrice,StockCode,URL,CategoryURL,cleaned_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Servis Tekeri Frenli Döner 80 mm,,320.4,320.4,"STFD080            320,40 TL            250,98 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-frenli-doner-80x30-mm,https://nalburtek.com/hirdavat-ve-nalbur,320.4,04,0.0,0.0,0.5649717514124151,
Beyaz Çelik Civata DIN 933 8.8 - M8x40,,3.77,3.77,"BC0840           3,77 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-40,https://nalburtek.com/hirdavat-ve-nalbur,3.77,04,0.0,0.0,0.0,
Servis Tekeri Frenli Döner 100 mm,,349.77,349.77,"STFD100            349,77 TL            280,35 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-frenli-doner-100x35-mm,https://nalburtek.com/hirdavat-ve-nalbur,349.77,04,0.0,0.0,0.5635260630804116,
Beyaz Çelik Civata DIN 933 8.8 - M8x45,,4.13,4.13,"BC0845           4,13 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-45,https://nalburtek.com/hirdavat-ve-nalbur,4.13,04,0.0,0.0,0.0,
Desa Üçlü Bahçe Seti Metal Kürek-Çapa-Tırmık,,360.0,360.0,"BS0001            360,00 TL            300,00 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/bahce-aletleri/capa-cesitleri/prd-uclu-bahce-seti-kurek-capa-tirmik,https://nalburtek.com/hirdavat-ve-nalbur,360.0,04,0.0,11.11111111111111,11.11111111111111,
Sunta Vidası 3.5x35 (1000 Adet),,417.84,417.84,"SV3535            417,84 TL            387,58 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-35-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur,417.84,04,0.0,0.0,0.0,
Servis Tekeri Frenli Döner 125 mm,,400.5,400.5,"STFD125            400,50 TL            315,06 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-frenli-doner-125x40-mm,https://nalburtek.com/hirdavat-ve-nalbur,400.5,04,0.0,0.0,0.5649717514124294,
Beyaz Çelik Civata DIN 933 8.8 - M8x50,,4.46,4.46,"BC0850           4,46 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-50,https://nalburtek.com/hirdavat-ve-nalbur,4.46,04,0.0,0.0,0.0,
Düz Lama Bağlantı Sac Gönye 40x80mm,,11.3,11.3,"DG4080           11,30 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/gonye-ve-kosebentler/prd-duz-gonye-40mm-x-80mm,https://nalburtek.com/hirdavat-ve-nalbur,11.3,04,0.0,0.0,0.0,
Servis Tekeri Frenli Döner 150 mm,,835.71,835.71,"STFD150            835,71 TL            667,50 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-frenli-doner-150x45-mm,https://nalburtek.com/hirdavat-ve-nalbur,835.71,04,0.0,0.0,0.5643666819089859,
