date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Mar 2026,Oils,Olive Oil,Liter,1.1,427.66,470.43,429.95,472.95,23,Komili Ege Sızması Zeytinyağı 1 Lt; Komili Ege Sızması Zeytinyağı 2 Lt; Komili Riviera Zeytinyağı 1 Lt; Komili Riviera Zeytinyağı 2 Lt; Komili Sızma Zeytinyağı 1 Lt; Komili Sızma Zeytinyağı 2 Lt; Kristal Anadolu Mirası Natural Sızma Zeytinya…; Kristal Dolgun Güçlü Naturel Sızma Zeytinyağı…; Kristal Dolgun Güçlü Naturel Sızma Zeytinyağı…; Kristal Dolgun Güçlü Sızma Zeytinyağı Pet Şiş…; Kristal Natural Sızma Yumuşak Zeytinyağı Cam …; Kristal Naturel Sızma Ayvalık Zeytinyağı 500 …; Kristal Riviera Zeytinyağı 1 Lt; Kristal Riviera Zeytinyağı 2 Lt; Kristal Sızma Dolgun Güçlü Zeytinyağı Pet Şiş…; Poyraz Ege Natürel Sızma Zeytinyağı 3 Lt; Poyraz Riviera Zeytinyağı 1 Lt; Yudum Egemden Natural Sızma Zeytinyağı Yumuşa…; Yudum Egemden Riviera Zeytinyağı 1 Lt; Yudum Egemden Riviera Zeytinyağı 2 Lt; Yudum Egemden Riviera Zeytinyağı 500 Ml; Yudum Egemden Yumuşak Lezzet Sızma Zeytinyağı…; Yudum Egemden Zeytinyağı Yumuşak Lezzet 2 Lt
Mar 2026,Other Food Products,Grissini,Kg,2.1,,,,,0,—
Apr 2026,Dairy Products,Yogurt,Kg,59.7,93.13,5559.86,93.27,5568.22,21,Eker Efsane Tam Yağlı Yoğurt 750 Gr; Eker Efsane Yoğurt 250 Gr; Eker Efsane Yoğurt 350 Gr; Eker Homojenize Yoğurt 1500 Ml; Eker Yoğurt 150 Gr; Eker Yoğurt Kova 2 Kg; İçim Doğal Yoğurt 500 Gr; İçim Doğal Yoğurt 750 Gr; İçim Tam Yağlı Yoğurt 1200 Gr; İçim Yarım Yağlı Yoğurt 2 Kg; İçim Yarım Yağlı Yoğurt 3000 Gr; Pınar Lezzetin Alası Yoğurt 500 Gr.; Pınar Yarım Yağlı Doğal Yoğurt 2000 Gr; Sütaş Homojen Yoğurt 1500 Gr; Sütaş Kaymaksız Yoğurt 1000 Gr; Sütaş Kaymaksız Yoğurt 2000 Gr; Sütaş Light Yoğurt 650 Gr; Sütaş Yarım Yağlı Kaymaksız Kase Yoğurt 3000 …; Torku Tam Yağlı Yoğurt 900 Gr; Yörükoğlu Ev Yapımı Tadında Yoğurt 2000 Gr; Yörükoğlu Homojenize Yoğurt 750 Gr
Apr 2026,Dairy Products,White Cheese,Kg,5.7,400.17,2280.97,336.54,1918.28,18,Gürmar Ekstra Klasik Beyaz Peynir - 350 Gr.; Gürmar Lüks Klasik Beyaz Peynir - 350 Gr.; Gürmar Mevsim Beyaz Peynir - 350 Gr.; Gürsüt Klasik Beyaz Peynir 300 Gr; Gürsüt Köy Taze Beyaz Peynir - 500 Gr.; Gürsüt Köy Taze Beyaz Peynir 500 Gr; Gürsüt Tadım Beyaz Peynir - 350 Gr.; İçim Süzme Beyaz Peynir 500 Gr; İçim Süzme Beyaz Peynir 900 Gr; İçim Tam Yağlı Beyaz Peynir 900 Gr; İçim Taze Peynir 180 Gr; Pınar Tam Yağlı Taze Beyaz Peynir 180 Gr; Sütaş Klasik Beyaz Peynir 450 Gr; Sütaş Light Beyaz Peynir 700 Gr; Sütaş Süzme Beyaz Peynir 250 Gr; Sütaş Süzme Beyaz Peynir 500 Gr; Sütaş Süzme Beyaz Peynir 900 Gr; Sütaş Tam Yağlı Beyaz Peynir 900 Gr
Apr 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,1274.9,5864.54,1274.9,5864.54,2,Dana Kol Kuşbaşı - 500 Gr.; Kuzu Kuşbaşı - 500 Gr.
Apr 2026,Meat and Protein,Chicken,Kg,10.3,330.37,3402.81,284.9,2934.47,16,"Akdeniz Toros Bütün Piliç (Donuk Olarak Satıl…; Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak…; Akdeniz Toros Piliç Baget (Donuk Olarak Satıl…; Akdeniz Toros Piliç Bonfile (Donuk Olarak Sat…; Akdeniz Toros Piliç But (Donuk Olarak Satılır…; Akdeniz Toros Piliç Kanat (Donuk Olarak Satıl…; Akdeniz Toros Piliç Nuggut 500 Gr; Erpiliç Baget - 1 Kg.; Erpiliç But - 1 Kg.; Erpiliç Pirzola - 1 Kg.; Erpiliç Schnitzel 300 Gr; Erpiliç Üst Kanat - 1 Kg.; Hastavuk Piliç Yaprak Ka - 1 Kg.; Lezita Poşetli Bütün Piliç - 2,5 Kg.; Pınar Piliç Şnitzel 415 Gr; Tavuk-Kemikli Göğüs Tabaklı (Donuk Olarak Sat…"
Apr 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
Apr 2026,Meat and Protein,Eggs,Piece,120.0,7.67,920.4,7.65,918.0,12,Enver Ağa 10lu L Yumurta; Enver Ağa 15li L Yumurta; Enver Ağa 20li L Yumurta; Enver Ağa 30lu M Yumurta; Enver Ağa 6lı L Yumurta; İkizta Gezen Tavuk Yumurtası 10'lu; İkizta L- Büyük Boy Yumurta 10'lu; İkizta L- Büyük Boy Yumurta 15'li; İkizta L- Büyük Boy Yumurta 20'li; İkizta M Boy Yumurta 6'lı; İkizta M- Orta Boy Yumurta 30'lu; Yeşil Foça Gezen Tavuk Yumurtası 10'lu Large
Apr 2026,Legumes,Chickpeas,Kg,1.8,110.74,199.33,104.06,187.31,4,Ala Çiftçi Koçbaşı Nohut 1 kg; Burcu Haşlama Nohut 600 Gr; Yayla Beyaz Kabak Nohut 1 Kg; Yayla Koçbaşı Nohut 1 Kg
Apr 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,951.97,2570.32,945.0,2551.5,12,Dorleo Yer Fıstığı 175 Gr; Lüks Ceviz İçi - 250 Gr.; Master Farm Ceviz İçi 150 gr; Master Farm Çiğ Fındık İçi 180 gr; Master Nut Fındık İçi 130 gr; Master Nut Tuzlu Fındık İçi 140 gr; Master Nut Yer Fıstığı Tuzlu 160 gr; Peyman Bahçeden İç Ceviz 140 Gr; Peyman Bahçeden Kızartılmış Yer Fıstığı 150 G…; Peyman Bahçeden Tuzlu Kavrulmuş Fındık 140 Gr; Peyman Nuttz Tuzlu Yer Fıstığı 145 Gr; Peyman Nutzz Tacco Yer Fıstığı 145 Gr
