title,price,tuik_category,inflation_1d,inflation_7d,inflation_15d,inflation_30d
Aromachology Refreshing Aromatic Deodorant - Tazeleyici Aromatik Deodorant,1180.0,13,0.0,0.0,0.0,
Citrus Verbena Deodorant - Citrus Verbena Deodorant,1180.0,13,0.0,0.0,0.0,
Lavande Poivre Noir (L'Occitan) Roll on - Lavande Poivre Noir (L'Occitan) Roll on,1180.0,13,0.0,0.0,0.0,
Verbena Shower Gel & Eco-Refill Duo - Mine Çiçeği Duş Jeli & Eko- Yedek İkilisi,3080.0,13,0.0,0.0,0.0,
Gentle & Balance Shampoo - Dengeleyici Şampuan,1550.0,13,0.0,0.0,0.0,
Intensive Repair Micellar Pre Shampoo - Onarıcı Miselar Ön Yıkama Şampuanı,1800.0,13,0.0,0.0,0.0,
Intensive Repair Shampoo - Onarıcı Şampuan,1550.0,13,0.0,0.0,0.0,
Purifying Freshness Shampoo - Arındırıcı & Canlandırıcı Şampuan,500.0,13,0.0,0.0,0.0,
Purifying Freshness Shampoo Eco-Refill - Arındırıcı & Canlandırıcı Şampuan Eko-Yedek,2080.0,13,0.0,0.0,0.0,
Gentle & Balance Shampoo Eco-Refill - Dengeleyici Şampuan Eko-Yedek,2080.0,13,0.0,0.0,0.0,
Volume & Strength Shampoo Eco-Refill - Hacim & Dolgunluk Veren Şampuan Eko Yedek,2080.0,13,0.0,0.0,0.0,
Volume & Strength Shampoo - Hacim & Dolgunluk Veren Şampuan,2330.0,13,0.0,0.0,0.0,
Volume & Strength Travel Size Shampoo - Hacim & Dolgunluk Veren Seyahat Boy Şampuan,500.0,13,0.0,0.0,0.0,
Citrus Verbena Shampoo - Citrus Verbena Şampuan,1210.0,13,0.0,0.0,0.0,
Volume & Strength Conditioner Eco-Refill - Hacim & Dolgunluk Saç Kremi Eko Yedek,2490.0,13,0.0,0.0,0.0,
Volume & Strength Conditioner - Hacim & Dolgunluk Saç Kremi,2800.0,13,0.0,0.0,0.0,
Citrus Verbena Conditioner - Citrus Verbena Saç Kremi,1210.0,13,0.0,0.0,0.0,
Gentle & Balance Conditioner Eco-Refill - Dengeleyici Saç Kremi Eko-Yedek,2490.0,13,0.0,0.0,0.0,
Aromachology Gentle & Balance Conditioner - Aromakoloji Dengeleyici Saç Kremi,2800.0,13,0.0,0.0,0.0,
Gentle & Balance Conditioner - Dengeleyici Saç Kremi,1550.0,13,0.0,0.0,0.0,
Purifying Freshness Conditioner - Arındırıcı & Canlandırıcı Saç Kremi,1550.0,13,0.0,0.0,0.0,
Intensive Repair Conditioner - Onarıcı Saç Kremi,590.0,13,0.0,0.0,0.0,
Aromachology Intense Repairing Conditioner - Aromakoloji Onarıcı Saç Kremi,2800.0,13,0.0,0.0,0.0,
Aromachology Intense Repairing Conditioner Eco-Refill - Aromakoloji Onarıcı Saç Kremi Eko-Yedek,2490.0,13,0.0,0.0,0.0,
Purifying Freshness Conditioner Eco-Refill - Arındırıcı & Canlandırıcı Saç Kremi Eko-Yedek,2490.0,13,0.0,0.0,0.0,
Immortelle Pro Youth Scalp Serum - Immortelle Gençleştirici Saç Serumu,3050.0,13,0.0,0.0,0.0,
Soothing Defence Serum - Yatıştırıcı ve Koruyucu Saç Serumu,2420.0,13,0.0,0.0,0.0,
Aromachology Scalp Night Serum - Aromakoloji Saç Derisi Gece Serumu,2420.0,13,0.0,0.0,0.0,
Aromachology Anti Hair-Loss Serum - Aromakoloji Saç Dökülmesi Önleyici Serum,2420.0,13,0.0,0.0,0.0,
Intensive Repair Protective Mist - Onarıcı Koruyucu Mist,1800.0,13,0.0,0.0,,
Anti Frizz Emulsion - Elektriklenme Önleyen Saç Losyonu,1800.0,13,0.0,0.0,0.0,
Volume & Strength Leave In Conditioner - Volume & Strength Hacim & Güç Veren Saçta Kalan Bakım Ürünü,1800.0,13,0.0,0.0,0.0,
Aromachology Intense Repairing Infused Oil - Aromakoloji Onarıcı Saç Bakım Yağı,1490.0,13,0.0,0.0,0.0,
Intensive Repair Mask - Onarıcı Saç Maskesi,2180.0,13,0.0,0.0,0.0,
Purifying Freshness Vinegar Hair Tonic - Arındırıcı & Canlandırıcı Saç Toniği,1800.0,13,0.0,0.0,0.0,
Aromachology Intense Repairing Hair Syling Balm - Aromakoloji Saç Şekillendirici Balm,1800.0,13,0.0,0.0,0.0,
Aromachology Purifying Freshness Dry Shampoo - Aromakoloji Arındırıcı & Canlandırıcı Kuru Şampuan,1550.0,13,0.0,0.0,0.0,
Almond Night Eau de Toilette - Almond Night EDT Parfüm,4040.0,13,0.0,0.0,0.0,
Barbotine Eau de Parfum - Barbotine Parfüm EDP,4350.0,13,0.0,0.0,0.0,
Lavander Blanche Eau De Toilette - Beyaz Lavanta EDT Parfüm,3730.0,13,0.0,0.0,0.0,
Osmanthus Abricot Eau de Toilette - Osmanthus Abricot EDT Parfüm,3730.0,13,0.0,0.0,0.0,
Cherry Blossom Eau de Toilette - Kiraz Çiçeği Parfüm EDT,1210.0,13,0.0,0.0,0.0,
Osmanthus Eau de Toilette Spray  - Osmanthus EDT Sprey,1240.0,13,0.0,0.0,0.0,
Citrus Verbena Eau de Toilette - Citrus Verbena Parfüm EDT,4040.0,13,0.0,0.0,0.0,
Terre de Lumiere Eau de Parfum – Terre de Lumiere Parfüm EDP,4350.0,13,0.0,0.0,0.0,
White Lavender Eau de Toilette - Beyaz Lavanta Parfüm EDT,3730.0,13,0.0,0.0,0.0,
Pamplemousse Rhubarbe Eau de Toilette - Pamplemousse Rhubarbe Parfüm EDT,3730.0,13,0.0,0.0,0.0,
