item_name,price,tarih,kategori,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Huxol Tablet Tatlandırıcı 650 Tablet,169.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,13.422818791946309,13.422818791946309
Veronelli Uzun Erişte 500 Gr,52.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.216494845360824
Mutlu Makarna Burgu 500 Gr,31.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,-11.267605633802818
Mutlu Makarna Tel Şehriye 500 Gr,31.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,-11.267605633802818
Mutlu Makarna Arpa Şehriye 500 Gr,31.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,-11.267605633802818
Mutlu Makarna Spagetti 500 Gr,31.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,-11.267605633802818
Tukaş Haşlanmış Nohut 800 Gr,96.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.222222222222221
Tukaş Haşlanmış Fasulye 800 Gr,96.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.222222222222221
Tukaş Garnitür 560Gr,71.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,2.142857142857143
Heinz Hardal 240 Gr,192.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Yazar Mısır Unu 5 Kg,390.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Defne Yaprağı 50 Gr,49.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kilikya Şalgam Suyu Tatlı (Glutensiz – Şekersiz) 1 Lt,61.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Keten Tohumu 100 Gr,34.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Kişniş 100 Gr,38.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Kabuk Tarçın 100 Gr,102.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Sezar Salata Sosu 250 Ml,244.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,,0.0
Kühne %100 Nar Ekşisi 250 Ml,352.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Soya Sosu 250 Ml,198.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Közlenmiş Biber 2500 Gr,713.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,,0.0
Kühne Közlenmiş Patlıcan 640 Gr,220.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Jalapeno Biber Turşusu 650 Gr,177.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Biberiye Turşusu 325 Gr,149.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Salatalık Turşusu 670 Gr,214.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Tuz Az Salatalık Turşusu 670 Gr,246.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Gewürzgurken Salatalık Turşusu 670 Gr,219.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Cüccü Kornişon Turşusu 340 Gr,208.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Acı Hardal 265 Gr,131.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Elma Sirkesi Cam 500 Ml,92.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,17.197452229299362,17.197452229299362
Yudum Egemden Naturel Sızma Zeytinyağı Yumuşak Lezzet 1 Lt,520.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,,
Penguen Közlenmiş Patlıcan Salatası 520 Gr,116.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pop Buster Mikrodalga Mısır 3×100 Gr,209.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Tep Tip Hindistan Cevizi Sütü 400 Ml,247.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,
Öncü Közlenmiş Biber 680 Gr,157.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
