tarih,kategori,urun_adi,fiyat,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
2026-05-22,temel-gida,Bibercizade Kimyon 250 Gr,144.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Köfte Harcı 90 Gr,72.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Köri 120 Gr,59.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Kuş Üzümü 120 Gr,147.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Limon Tuzu 1 Kg,253.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Limon Tuzu 200 Gr,83.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Mahlep 100 Gr,229.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Mavi Haşhaş 120 Gr,82.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Nane 40 Gr,44.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Pasta Süsü 100 Gr,53.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Pul Biber 120 Gr,88.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Sumak 120 Gr,105.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Susam 150 Gr,77.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Tane Kara Biber 60 Gr,88.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Tane Zencefil 120 Gr,106.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Tarçın 120 Gr,88.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Tatlı Biber 250 Gr,160.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Tatlı Toz Biber 120 Gr,89.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Tatlı Toz Biber 250 Gr,129.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Toz Tatlı Biber 1 Kg,369.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Yenibahar 100 Gr,126.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Zencefil 100 Gr,88.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Zerdeçal 100 Gr,68.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Billur Demir Mineralli İyotlu Sofra Tuzu 500 Gr,76.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Billur İyotlu Tuz 750 Gr,43.5,TRY,01,0.0,0.0,3.571428571428571,3.571428571428571
2026-05-22,temel-gida,Billur Karton Tuz 250 Gr,41.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Billur Tuz İyotlu 3 Kg,217.5,TRY,01,0.0,0.0,1.1627906976744187,1.1627906976744187
2026-05-22,temel-gida,Billur Tuz İyotlu Tuzluklu 125 Gr,27.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,"Billur Tuz Rafine İyotlu Sofra Tuzu 1,5 Kg",89.5,TRY,01,0.0,0.0,2.8735632183908044,2.8735632183908044
2026-05-22,temel-gida,Billur Tuz Sodyumu Azaltılmış İyotsuz Sofra Tuzu 500 Gr,129.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Billur Tuz Sofrada Öğütme Deniz Tuzu 500 Gr,72.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Billur Tuz Sofrada Öğütme Yemeklik Himalaya Kristal Granül Doğal Kaya Tuzu 200 Gr Değirmenli,103.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Billur Tuzluklu Tuz 500 Gr,55.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Biryağ Ayçiçek Yağı 1 Lt,173.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Biryağ Ayçiçek Yağı 2 Lt,323.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Çikolata Sosu 98 Gr,60.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Çilekli Puding 120 Gr,45.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Domates Çorbası 65 Gr,45.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Ezogelin Çorbası 80 Gr,44.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Kakaolu Puding 132 Gr,45.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Krem Şanti 150 Gr,74.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Krem Şanti 75 Gr,44.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Kremalı Mantar Çorbası 65 Gr,45.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Kremalı Tavuk Çorbası 62 Gr,45.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Mercimek Çorbası 72 Gr,45.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Şehriyeli Tavuk Suyu Çorbası 80 Gr,44.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Tarhana Çorbası 65 Gr,45.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Vanilyalı Puding 125 Gr,45.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bizim Mutfak Yayla Çorbası 80 Gr,44.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Burcu Acı Biber Salçası 1500 Gr,303.0,TRY,01,0.0,0.0,0.0,0.1652892561983471
2026-05-22,temel-gida,Burcu Acı Sos 100 Ml,61.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Burcu Acı Tatlı Karışık Salça 1500 Gr,296.0,TRY,01,0.0,0.0,0.0,0.5093378607809848
2026-05-22,temel-gida,Burcu Ajvar Acı 310 Gr,79.5,TRY,01,0.0,0.0,0.0,0.6329113924050633
