tarih,grup_id,urun_adi,fiyat
2026-03-18 00:19:11,44,Nestle Kitkat Chunky Cookie Crumble Gofret 38 Gr,35.5
2026-03-18 00:19:11,44,Viking Soft Gül & Zambak Çamaşır Yumuşatıcı 1400 ml,69.95
2026-03-18 00:19:11,44,Perwoll Renkliler İçin Sıvı Çamaşır Deterjanı 2.97 Lt,299.95
2026-03-18 00:19:11,44,Hasata Basmati Pirinç 1 Kg,144.95
2026-03-18 00:19:11,44,Colgate 360 Fresh Yumuşak 1+1 Diş Fırçası,129.95
2026-03-18 00:19:11,44,Colgate Üçlü Etki Ağız Bakım Suyu 500 Ml,129.95
2026-03-18 00:19:11,44,Hobby Glow&Shine Çiçek Bahçesi Duş Jeli 750 Ml,79.95
2026-03-18 00:19:11,44,Hobby Glow&Shine Meyve Şöleni Duş Jeli 750 Ml,79.95
2026-03-18 00:19:11,44,Hobby Glow&Shine Okyanus Duş Jeli 750 Ml,79.95
2026-03-18 00:19:11,44,İnişdibi Sade Doğal Maden Suyu 200 Ml x 6 lı,54.95
2026-03-18 00:19:11,44,Dimes Elma - Orman Meyveli Meyve Suyu 1 Lt,69.95
2026-03-18 00:19:11,44,Dimes Elma - Tropik Meyveli Meyve Suyu 1 Lt,69.95
2026-03-18 00:19:11,44,Arbella Mantı Makarna 500 Gr,24.95
2026-03-18 00:19:11,44,Dalan Family Natural Sıvı Sabun 3 Lt,119.95
2026-03-18 00:19:11,48,Portakal Washington Kg,59.9
2026-03-18 00:19:11,48,Solo Bambu Katkılı Havlu Kağıt 16'lı,239.95
2026-03-18 00:19:11,48,Türk Şeker Toz Şeker 3 Kg,129.95
2026-03-18 00:19:11,48,Yonca Ayçiçek Yağı Pet 4 Lt,389.95
2026-03-18 00:19:11,48,Yeşillik Tere Adet,9.9
2026-03-18 00:19:11,48,Yeşillik Nane Adet,9.9
2026-03-18 00:19:11,48,Yeşillik Roka Adet,9.9
2026-03-18 00:19:11,48,Yeşillik Dereotu Adet,9.9
2026-03-18 00:19:11,48,Yeşillik Maydanoz Adet,9.9
2026-03-18 00:19:11,48,Patates Kg,24.9
2026-03-18 00:19:11,48,Avokado Adet,79.9
2026-03-18 00:19:11,48,Çilek Kg,189.9
2026-03-18 00:19:11,48,Muz Yerli Kg,99.9
2026-03-18 00:19:11,48,Soğan Kuru Kg,17.9
2026-03-18 00:19:11,48,Çaykur Tiryaki 500 Gr,149.95
2026-03-18 00:19:11,49,Cire Aseptine Soft Avokado Özlü Yoğun Nemlendirici Prebiyotikli Krem 300 Ml,79.99
2026-03-18 00:19:11,49,Cire Aseptine Soft Aloe Vera Özlü Rahatlatıcı Besleyici Prebiyotikli Krem 300 Ml,79.99
2026-03-18 00:19:11,49,Clear Men Erkek Şampuan Kepeğe Karşı Etkili 600 Ml,229.95
2026-03-18 00:19:11,49,Düşler Bahçesi Anti Sigara Oda ve Araç Kokusu 400 Ml,149.95
2026-03-18 00:19:11,49,Düşler Bahçesi Anti Sigara - Kötü Kokulara Karşı Oda ve Araç Kokusu 400 Ml,149.95
2026-03-18 00:19:11,49,Finish Bulaşık Makinesi Tuzu 1300 Gr,99.95
2026-03-18 00:19:11,49,Doğuş Toz Şeker 5 Kg,239.95
2026-03-18 00:19:11,49,Cif Krem Mucizesi Sakura Parfümlü Yüzey Temizleyici 750 ml,104.95
