grup_id,urun_adi,fiyat
52,Whiskas Biftekli Kuru Kedi Maması 300 Gr,129.95
52,Whiskas Ton Balıklı Kuru Kedi Maması 300 Gr,129.95
52,Whiskas Tavuklu ve Gravy Soslu Konserve Kedi Maması 400 Gr,164.95
52,Whiskas Sığır Etli ve Gravy Soslu Konserve Kedi Maması 400 Gr,164.95
52,Whiskas Ton Balıklı Konserve Yaş Kedi Maması 400 Gr,164.95
52,Whiskas Tasty Mix Somonlu ve Havuçlu Yaş Kedi Maması 85 Gr,37.95
52,Whiskas Tasty Mix Kuzulu ve Hindili Yaş Kedi Maması 85 Gr,37.95
52,Whiskas Kuzulu Yaş Kedi Maması 85 Gr,37.95
52,"Whiskas Tasty Mix Kuzulu, Havuçlu ve Tavuklu Yaş Kedi Maması 85 Gr",37.95
52,Pedigree Tavuklu Konserve Yaş Mama 400 Gr,164.95
52,Pedigree Biftekli Poşet Yaş Mama 100 Gr,49.95
52,Dreamies Mix Peynirli ve Somonlu Kedi Ödül Maması 60 Gr,79.95
52,Dreamies Mix Peynirli Sığır Etli Kedi Ödül Maması 60 Gr,79.95
52,Pedigree Jumbone Mini Köpek Ödül Maması 160 Gr,119.95
52,Pedigree Rodeo Biftek Köpek Ödül Maması 70 Gr,99.95
52,Pedigree Konserve Sığır Etli Köpek Maması 400 Gr,164.95
52,Pedigree Konserve Tavuklu Yavru Köpek Maması 400 Gr,164.95
52,Dreamies Somonlu Kedi Ödül Maması 60 Gr,79.95
52,Dreamies Tavuklu Kedi Ödül Maması 60 Gr,79.95
