product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
"Angela Mum 9x6,5x11 cm Kırmızı",1999.99,05,0.0,0.0,0.0,
Angela Yılbaşı Ağaç Süsü Multicolor,1749.99,05,0.0,0.0,0.0,
"Angelina Çelik 6lı Bıçak 19,5 cm Pembe",1749.99,05,0.0,0.0,0.0,
Angelo Seramik Pasta Seti 18 Parça 6 Kişilik Renkli,1599.99,05,0.0,0.0,-84.000084000084,
Angely New Bone China Kupa 270 ml Beyaz,1199.99,05,0.0,0.0,0.0,
Angely New Bone China Kupa 270 ml Gri,999.99,05,0.0,0.0,0.0,
Angled New Bone China 2 Parça 2 Kişilik Kahve Fincan Takımı 90 ml Lila,1999.99,05,0.0,0.0,0.0,
Angled New Bone China 2 Parça 2 Kişilik Kahve Fincan Takımı 90 ml Turkuaz,1999.99,05,0.0,0.0,33.333555557037045,
Anica Yılbaşı Ağaç Süsü 7 cm Gold,1999.99,05,0.0,0.0,0.0,
Anica Yılbaşı Ağaç Süsü 7 cm Kırmızı,1999.99,05,0.0,0.0,0.0,
Anica Yılbaşı Ağaç Süsü 7 cm Silver,1999.99,05,0.0,0.0,0.0,
Anissa Kar Küresi 14 cm Kırmızı,5999.99,05,0.0,0.0,0.0,
"Anissa Metal Dekoratif Tabak 27,5x22x4 cm Gümüş",4999.99,05,,0.0,455.56061734019266,
Anissa Takı Kutusu 16x16x6 cm Gold,500.0,05,0.0,0.0,,
Anissa Yılbaşı Ağaç Süsü Multicolor,1299.99,05,0.0,0.0,0.0,
"Anna Banyo Sıvı Sabunluk 14,5 cm Pembe",287.99,05,0.0,0.0,14.286281201634985,
"Anna Banyo Sıvı Sabunluk 14,5 cm Şeffaf",1499.99,05,0.0,0.0,0.0,
"Antique Ribbon Polyresin Dekoratif Obje 11,5 cm Siyah",639.99,05,0.0,0.0,,
Antoine Cam Tereyağlık,1999.99,05,0.0,0.0,0.0,
Apple 20li Kağıt Peçete Kırmızı,1049.99,05,0.0,0.0,0.0,
"Apple Biblo 11,5x11,5x13cm Kahve",559.99,05,0.0,0.0,-84.00024000068572,
Apple Biblo 14x14x16cm Gri,799.99,05,0.0,0.0,-84.000168000336,
Apple Rose Kolonya 200 ml Şeffaf,227.99,05,0.0,0.0,0.0,
Apple Rose Oda Spreyi 300 ml Şeffaf,1499.99,05,0.0,0.0,0.0,
Apple Rose Çubuklu Oda Kokusu 95 ml Şeffaf,2999.99,05,0.0,0.0,0.0,
Aqua Pamuk Banyo Havlusu 90x150 cm Fildişi,719.99,05,0.0,0.0,0.0,
Aqua Pamuk Banyo Havlusu 90x150 cm Gri,699.99,05,0.0,0.0,-12.500156251953149,
Aqua Pamuk Banyo Havlusu 90x150 cm Lacivert,899.99,05,0.0,0.0,0.0,
Aqua Pamuk Banyo Havlusu 90x150 cm Yeşil,699.99,05,0.0,0.0,0.0,
Aqua Pamuk Yüz Havlusu 50x80 cm Fildişi,1999.99,05,0.0,0.0,0.0,
Aqua Pamuk Yüz Havlusu 50x80 cm Gri,1999.99,05,0.0,0.0,0.0,
Aqua Pamuk Yüz Havlusu 50x80 cm Lacivert,1999.99,05,0.0,0.0,,
Aqua Pamuk Yüz Havlusu 50x80 cm Yeşil,1999.99,05,0.0,0.0,0.0,
Aqualis 20li Kağıt Peçete 33x33 cm Mavi-Beyaz,1049.99,05,0.0,0.0,0.0,
Aquamarine Dijital Baskı Dekoratif Kırlent 35x55 cm Mavi - Yeşil,419.99,05,0.0,0.0,0.0,
Aquamarine Seramik Vazo 15 cm Beyaz,699.99,05,0.0,0.0,-12.50125,
Aquamarine Seramik Vazo 18 cm Lacivert,699.99,05,0.0,0.0,-12.50125,
Aquatic Flowers King Size Çok Amaçlı Örtü 240x220 cm Lacivert,4499.99,05,0.0,0.0,0.0,
Aquatic Flowers Tek Kişilik Çok Amaçlı Örtü 160x220 cm Lacivert,489.99,05,0.0,0.0,0.0,
Aquatic Flowers Çift Kişilik Çok Amaçlı Örtü 200x220 cm Lacivert,639.99,05,0.0,0.0,-84.00021000052502,
Aquatine Pamuk Kurulama Bezi 30x50 cm Beyaz - Mavi,799.95,05,0.0,0.0,0.0,
Arbre Halı 100x200 cm Bej,6749.99,05,0.0,0.0,0.0,
Arbre Halı 100x300 cm Bej,9999.99,05,0.0,0.0,0.0,
Arcane Runner 40x140 cm Beyaz - Lacivert,2199.99,05,0.0,0.0,0.0,
Areka Yılbaşı Ağacı Süsü 10 cm Gold,1149.99,05,0.0,0.0,0.0,
Areka Çerçeve 13x18 cm Kahverengi,3499.99,05,0.0,0.0,0.0,
Aremis Çerçeve 13x18 cm Krem,1499.99,05,0.0,0.0,0.0,
Arena Koltuk Şalı 170x210 cm Bej,2999.99,05,0.0,,0.0,
Arian Bone Porselen 4 Parça 2 Kişilik Kahve Fincan Takımı 90 ml Yeşil-mor,1999.99,05,0.0,0.0,0.0,
Arian Borosilikat Saklama Kabı Şeffaf,153.99,05,0.0,0.0,0.0,
Arian Nova Borosilikat Saklama Kabı Şeffaf,1499.99,05,0.0,0.0,0.0,
Ariella Dekoratif Jüt Kilim Multicolor,1759.99,05,0.0,0.0,-84.00007636370579,
Arina Cam Ayaklı Kase Yeşil-Turuncu,999.99,05,-16.666805556712973,-16.666805556712973,0.0,
Aris Mum 10 cm Kırmızı,879.99,05,0.0,0.0,0.0,
Aris Mum 10 cm Yeşil,879.99,05,0.0,0.0,0.0,
Aris Seramik Abajur Bej,7999.99,05,0.0,0.0,0.0,
Arlena Seramik 2li Kahve Fincan Takımı 105 ml Açık Turuncu-Pudra,1499.99,05,0.0,0.0,0.0,
Arlo Halı 200x290 cm Gri-Beyaz,29999.99,05,0.0,0.0,0.0,
Arlo Halı Gri-Beyaz,5999.99,05,0.0,0.0,455.5597737016083,
Armin Yılbaşı Kar Küresi 21 cm Kırmızı,1519.99,05,0.0,0.0,-84.00008842114572,
Arnie Cam Kesme Tahtası Renkli,2249.99,05,0.0,0.0,0.0,
Arnie Dekoratif Kırlent 35x50 cm Ekru,3999.99,05,0.0,0.0,0.0,
Arnie Çelik Rende 23x7 cm Bordo,1999.99,05,0.0,0.0,0.0,
Artistic Bloom Dekoratif Kırlent 40 cm Kahverengi,3999.99,05,0.0,0.0,0.0,
