item_name,price,category,date,tuik_category,per_item_inflation_2026-05-23
Fluffy Cotton Plus Pamuklu Banyo Havlusu 70x140 cm Gri,2499.99,Banyo,2026-05-24,05,0.0
Fluffy Cotton Plus Pamuklu El Havlusu 30x45 cm Gri,999.99,Banyo,2026-05-24,05,0.0
Fluffy Cotton Plus Pamuklu Yüz Havlusu 50x80 cm Bej,1299.99,Banyo,2026-05-24,05,0.0
Fluffy Cotton Plus Pamuklu Yüz Havlusu 50x80 cm Sage,1499.99,Banyo,2026-05-24,05,0.0
Frame Pamuk Bornoz Beyaz,1039.99,Banyo,2026-05-24,05,0.0
Frame Pamuk Bornoz Gri,1039.99,Banyo,2026-05-24,05,0.0
Frame Pamuk Yüz Havlusu 50x70 cm Beyaz,999.95,Banyo,2026-05-24,05,0.0
Frame Pamuk Yüz Havlusu 50x70 cm Gri,999.95,Banyo,2026-05-24,05,0.0
Funny Stripe Pamuklu Baskılı Plaj Havlusu 90x150 cm Pembe,639.99,Banyo,2026-05-24,05,0.0
Gina Bambu Çamaşır Sepeti Açık Kahve,2499.99,Banyo,2026-05-24,05,0.0
Glossy Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Beyaz,1039.99,Banyo,2026-05-24,05,0.0
Glossy Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Yeşil,1039.99,Banyo,2026-05-24,05,0.0
Golden Pine Pamuk Nakışlı Yüz Havlusu 50x80 cm Beyaz,2199.99,Banyo,2026-05-24,05,0.0
Grid Pamuk Yüz Havlusu 50x70 cm Hardal,999.95,Banyo,2026-05-24,05,0.0
Grid Pamuk Yüz Havlusu 50x70 cm Koyu Yeşil,999.95,Banyo,2026-05-24,05,0.0
Grid Pamuk Yüz Havlusu 50x70 cm Somon,999.95,Banyo,2026-05-24,05,0.0
Gridline Kaydırmaz Taban Banyo Paspası Seti Beyaz,314.99,Banyo,2026-05-24,05,0.0
Gridline Kaydırmaz Taban Banyo Paspası Seti Gri,1999.99,Banyo,2026-05-24,05,
Gridline Kaydırmaz Taban Banyo Paspası Seti Hardal,319.99,Banyo,2026-05-24,05,0.0
Gridline Kaydırmaz Taban Banyo Paspası Seti Koyu Yeşil,1999.99,Banyo,2026-05-24,05,0.0
Gridline Kaydırmaz Taban Banyo Paspası Seti Somon,1749.99,Banyo,2026-05-24,05,0.0
Honeycomb Pamuklu Peştemal 90x150 cm Açık Bej-Lacivert-Kiremit,384.99,Banyo,2026-05-24,05,0.0
Jess 3lü Set Banyo Seti 20 cm Yeşil,3999.99,Banyo,2026-05-24,05,0.0
Jeylo Pamuklu Plaj Havlusu 90x150 cm Ekru-Sarı,2999.99,Banyo,2026-05-24,05,0.0
Leafy Bambu Banyo Havlusu 70x140 cm Açık Bej,489.99,Banyo,2026-05-24,05,0.0
Leafy Bambu Banyo Havlusu 70x140 cm Ekru,489.99,Banyo,2026-05-24,05,0.0
Leafy Bambu Banyo Havlusu 70x140 cm Gri,519.99,Banyo,2026-05-24,05,0.0
Leafy Bambu Banyo Havlusu 70x140 cm Pembe,489.99,Banyo,2026-05-24,05,0.0
Leafy Bambu Banyo Havlusu Krem,2499.99,Banyo,2026-05-24,05,0.0
Leafy Bambu El Havlusu 30x50 cm Açık Bej,999.99,Banyo,2026-05-24,05,0.0
Leafy Bambu El Havlusu 30x50 cm Ekru,999.99,Banyo,2026-05-24,05,0.0
Leafy Bambu El Havlusu 30x50 cm Gri,999.99,Banyo,2026-05-24,05,0.0
Leafy Touch Pamuk Jakarlı Banyo Havlusu 90x150 cm Ekru,559.99,Banyo,2026-05-24,05,0.0
Leafy Touch Pamuk Jakarlı Banyo Havlusu 90x150 cm Yeşil,419.99,Banyo,2026-05-24,05,0.0
Leafy Touch Pamuk Jakarlı El Havlusu 30x40 cm Ekru,1049.99,Banyo,2026-05-24,05,0.0
Leafy Touch Pamuk Jakarlı El Havlusu 30x40 cm Yeşil,1049.99,Banyo,2026-05-24,05,0.0
Leafy Touch Pamuk Jakarlı Yüz Havlusu 50x80 cm Ekru,1499.99,Banyo,2026-05-24,05,0.0
Leafy Touch Pamuk Jakarlı Yüz Havlusu 50x80 cm Yeşil,1499.99,Banyo,2026-05-24,05,0.0
Leafy Touch Pamuk Yüz Havlusu 50x80 cm Açık Yeşil,2249.99,Banyo,2026-05-24,05,0.0
