District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Erdemli / Kocahasanlı,1+1,13600.0,04,3.172413793103447,4.615384615384616,,8.80791330278565
Erdemli / Kocahasanlı,2+1,14666.666666666666,04,-2.2222222222222263,-13.725490196078436,,-14.72868217054264
Erdemli / Kocahasanlı,3+1,14500.0,04,0.0,-3.3333333333333335,,0.0
Erdemli / Köyler,2+1,11000.0,04,-89.2156862745098,-90.73033707865169,,-92.90322580645162
Erdemli / Köyler,3+1,20500.0,04,-81.19266055045871,-85.25179856115108,,-85.18072289156626
Erdemli / Köyler,4+1,25000.0,04,0.0,0.0,,
Erdemli / Limonlu,1+1,13750.0,04,-41.07142857142857,-39.92718446601942,,-63.81578947368421
Erdemli / Limonlu,2+1,9500.0,04,-88.70967741935483,-86.53846153846155,,-73.23943661971832
Erdemli / Limonlu,3+1,14750.0,04,0.0,0.0,,
Erdemli / Merkez,1+1,16691.197802197803,04,-45.09860845234805,-46.23607875232784,,-27.482756617335763
Erdemli / Merkez,1.5+1,20000.0,04,0.0,,,
Erdemli / Merkez,2+1,18905.66037735849,04,-61.013246071081625,-59.95685076804642,,-27.578338013059227
Erdemli / Merkez,2.5+1,27500.0,04,0.0,0.0,,10.0
Erdemli / Merkez,3+1,20887.5,04,-78.95465994962217,-85.05366726296958,,-72.95443227091634
Erdemli / Merkez,4+1,30500.0,04,-36.12565445026178,-36.12565445026178,,-52.95629820051414
Erdemli / Çeşmeli,1+1,16453.125,04,-79.06061088132358,-78.40221515741975,,-76.39378478664193
Erdemli / Çeşmeli,2+1,21527.777777777777,04,-80.49708381442994,-80.00515995872033,,-71.91368907694718
Erdemli / Çeşmeli,2.5+1,20000.0,04,-73.33333333333333,-73.33333333333333,,-90.47619047619048
Erdemli / Çeşmeli,3+1,24000.0,04,-82.95973222436352,-84.46458294803033,,-84.15335463258786
Erdemli / Çeşmeli,4+1,33000.0,04,0.0,-5.714285714285714,,
Gülnar / Merkez,2+1,16500.0,04,26.923076923076923,26.923076923076923,,43.47826086956522
Gülnar / Merkez,3+1,14625.0,04,0.0,-6.8471337579617835,,5.5412371134020635
Gülnar / Ovacık,1+1,17000.0,04,900.0,-8.108108108108109,,-1.4492753623188406
Gülnar / Ovacık,2+0,10500.0,04,0.0,0.0,,-4.545454545454546
Gülnar / Ovacık,2+1,16250.0,04,-29.347826086956523,-26.136363636363637,,-15.94827586206896
Gülnar / Ovacık,3+1,24750.0,04,0.0,0.0,,3.125
Mezitli,1+1,18190.14794520548,04,-7.442763433977616,-7.233545314768699,,-2.901650826155168
Mezitli,1.5+1,16833.333333333332,04,0.0,0.0,,2.798982188295158
Mezitli,2+0,25000.0,04,0.0,0.0,,0.0
Mezitli,2+1,23454.684895833332,04,-12.491961057194162,-12.30370266151197,,-18.295962482738073
Mezitli,2+2,20000.0,04,0.0,0.0,,-4.761904761904762
Mezitli,2.5+1,26654.714285714286,04,2.190784465147362,1.9034832564537985,,-3.676807794663886
Mezitli,3+1,25519.243076923078,04,-38.158677294300674,-35.656292928552226,,-28.610359484835996
Mezitli,3.5+1,27500.0,04,-13.157894736842108,-14.0625,,-21.875
Mezitli,4+1,32901.66,04,-66.92125758349718,-71.59239848537509,,-69.92425682840323
Mezitli,5+1,35000.0,04,-77.95275590551181,-78.03634462021179,,-67.25750861644511
Mezitli,Stüdyo (1+0),13250.0,04,-1.8518518518518516,-0.6250000000000046,,-1.8518518518518516
Mezitli / Davultepe,1+1,18412.416666666668,04,-0.31130154196090765,4.20053117553614,,-23.40265624252856
Mezitli / Davultepe,2+1,22259.109589041094,04,-30.172383931212405,-30.280508700017457,,-24.026472620185775
Mezitli / Davultepe,2.5+1,22250.0,04,0.0,-2.3765996343692923,,1.1363636363636365
