District,Rooms,Price
Merkez / Kutlubey,2+1,12.500 TL
Merkez / Kutlubey,Stüdyo (1+0),12.500 TL
Merkez / Tokmacık,2+1,15.000 TL
Merkez / Anadolu,3+1,15.000 TL
Merkez / Anadolu,3+1,12.500 TL
Merkez / Anadolu,2+1,13.000 TL
Merkez / Kepeci,1+1,13.000 TL
Merkez / Kutlubey,3+1,15.000 TL
Merkez / Kepeci,1+1,12.500 TL
Merkez / Anadolu,2+1,13.000 TL
Merkez / Anadolu,2+1,14.000 TL
Eğirdir,2+0,14.000 TL
Yalvaç,3+1,12.500 TL
Merkez / Anadolu,1+1,13.000 TL
Merkez / Çelebiler,2+0,13.000 TL
Merkez / Çelebiler,2+1,14.000 TL
Merkez / Çelebiler,1+1,13.000 TL
Merkez / Anadolu,2+1,14.000 TL
Merkez / Kutlubey,3+1,13.000 TL
Merkez / Anadolu,3+1,13.000 TL
Merkez / Anadolu,2+1,14.000 TL
Merkez / Anadolu,1+1,14.500 TL
Merkez / Çelebiler,1+1,15.000 TL
Merkez / Anadolu,1+1,17.000 TL
Merkez / Kepeci,1+1,17.500 TL
Merkez / Çelebiler,3+1,18.000 TL
Uluborlu,3+1,17.000 TL
Merkez / Anadolu,2+1,16.000 TL
