City,District,Rooms,Price
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,20000.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,15000.0
Ankara_Altindag,AltındağGültepe Mh.,2+1,30000.0
Ankara_Altindag,YeşilözBaraj Mah.,3+1,40000.0
Ankara_Altindag,AltındağGültepe Mh.,2+1,33500.0
Ankara_Altindag,AltındağGültepe Mh.,1+1,33500.0
Ankara_Altindag,AltındağÖrnek Mh.,3+1,38000.0
Ankara_Altindag,AltındağGültepe Mh.,3+1,23000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,33000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,24000.0
Ankara_Altindag,HasköyDoğantepe Mh.,3+1,25000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,18000.0
Ankara_Altindag,YeşilözBaraj Mah.,3+1,16500.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,27500.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,32000.0
Ankara_Altindag,HasköyGüneşevler Mh.,4+1,30000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,19900.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,23000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,28000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,36000.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,3+1,110000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,28000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,2+1,20000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,3+1,25000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,14500.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,23000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,2+1,13500.0
Ankara_Altindag,YeşilözBaraj Mah.,3+1,32000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,25000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,1+1,17500.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,2.5+1,30000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,22000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,3+1,20000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,24000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,25000.0
Ankara_Altindag,AltındağGültepe Mh.,2+1,23000.0
Ankara_Altindag,AltındağÖrnek Mh.,3+1,19000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,18500.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,21000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,21000.0
Ankara_Altindag,YeşilözBaraj Mah.,4+1,8900.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,31000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,24500.0
Ankara_Altindag,AltındağUlubey Mah.,3+1,25000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,20000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,25000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,29000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,19500.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,20000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,2+1,18000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,24500.0
Ankara_Altindag,YeşilözBaraj Mah.,4+1,19000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,26000.0
Ankara_Altindag,AltındağGültepe Mh.,5+1,40000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,21000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,28000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,39000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,5+1,70000.0
Ankara_Altindag,AltındağKarapürçek Mh.,2+1,16750.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,21000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,24000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,3+1,25000.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,32500.0
Ankara_Altindag,AltındağGültepe Mh.,3+1,21000.0
Ankara_Altindag,AltındağGültepe Mh.,3+1,21000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,36500.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,19750.0
Ankara_Altindag,AltındağKarapürçek Mh.,2+1,17000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,2+1,32000.0
Ankara_Altindag,AltındağGültepe Mh.,3+1,25000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,2+1,18000.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,2+1,52000.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,28000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,4+1,26500.0
Ankara_Altindag,UlubeyBattalgazi Mh.,3+1,25500.0
Ankara_Altindag,AltındağKaracaören Mh.,2+1,21000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,24000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,19000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,26000.0
Ankara_Altindag,HasköyGüneşevler Mh.,1+1,12000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,22000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,18000.0
Ankara_Altindag,AltındağHacettepe Mah.,3+1,40000.0
Ankara_Altindag,AltındağUlubey Mah.,3+1,23000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,2+1,18500.0
Ankara_Altindag,HasköyGüneşevler Mh.,2+1,19900.0
Ankara_Altindag,AltındağHacettepe Mah.,,100000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,2+1,17500.0
Ankara_Altindag,AltındağGültepe Mh.,2+1,14000.0
Ankara_Altindag,HasköyGüneşevler Mh.,4+1,42000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,3+1,22000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,21000.0
Ankara_Altindag,AltındağGültepe Mh.,3+1,21000.0
Ankara_Altindag,AltındağÖrnek Mh.,2+1,13000.0
