category,product_name,price_tl,unit,date
Süt Kahvaltılık,Danone Hüpper Çikolatalı Puding 70 gr,34.95,Kg,2026-03-15
Süt Kahvaltılık,Danone Hüpper Muzlu Puding 70 gr,34.95,Kg,2026-03-15
Süt Kahvaltılık,Danone Kakaolu Süt 180 ml,26.45,Litre,2026-03-15
Süt Kahvaltılık,Danone Laktozsuz Süt 1 lt,69.95,Litre,2026-03-15
Süt Kahvaltılık,Danone Mix Çilekli Yoğurt 2x90 gr,51.95,Kg,2026-03-15
Süt Kahvaltılık,Danone Mix Karışık Meyveli Yoğurt 2x90 gr,51.95,Kg,2026-03-15
Süt Kahvaltılık,Danone Orman Meyveli Yoğurt 400 gr,89.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Süprix Marvel Hediyeli 90 gr,57.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Süprix Prenses Hediyeli 90 gr,57.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Yocrush 2 Renk Topcuk 150 ml,48.95,Litre,2026-03-15
Süt Kahvaltılık,Danone Yocrush Kakaolu Gevrek 150 ml,48.95,Litre,2026-03-15
Süt Kahvaltılık,Danone Yocrush Renkli Halka149 ml,48.95,Litre,2026-03-15
Süt Kahvaltılık,Danone Yoshake Berriscus 200 ml,39.45,Litre,2026-03-15
Süt Kahvaltılık,Danone Yoshake Mangonas 200 ml,39.45,Litre,2026-03-15
Süt Kahvaltılık,Deva Tam Yağlı Yoğurt 1 kg,75.95,Kg,2026-03-15
Süt Kahvaltılık,Deva Tam Yağlı Yoğurt 2 kg,129.95,Kg,2026-03-15
Süt Kahvaltılık,Deva Tam Yağlı Yoğurt 500 gr,39.95,Kg,2026-03-15
Süt Kahvaltılık,Deva Yağlı Yoğurt 3 kg,175.95,Kg,2026-03-15
Süt Kahvaltılık,Dimes Milkshake Antep Fıstıklı & Beyaz Çikolatalı 310 ml,45.0,Litre,2026-03-15
Süt Kahvaltılık,Dimes Milkshake Brownie&Çikolatalı 310 ml,45.0,Litre,2026-03-15
Süt Kahvaltılık,Dimes Milkshake Çilek-Vanilya 310 ml,45.0,Litre,2026-03-15
Süt Kahvaltılık,Deva Tam Yağlı Yoğurt 1.5 kg,94.95,Kg,2026-03-15
Süt Kahvaltılık,Doğa Evi Glutensiz Yer Fıstığı Ezmesi 350 gr,139.95,Kg,2026-03-15
Süt Kahvaltılık,Doğa Evi Glutensiz Yulaf Ezmesi 300 gr,69.95,Kg,2026-03-15
Süt Kahvaltılık,Doğa Evi Yulaf Ezmesi 400 gr,53.25,Kg,2026-03-15
Süt Kahvaltılık,Doğruluk Peynir Keçi 600 gr,439.95,Kg,2026-03-15
Süt Kahvaltılık,Danone Çilekli Süt 180 ml,26.45,Litre,2026-03-15
Süt Kahvaltılık,Doyfarm Piliç Büfe Salam 750 gr,99.95,Kg,2026-03-15
Süt Kahvaltılık,Doyfarm Piliç Mini Sosis 500 gr,89.95,Kg,2026-03-15
Süt Kahvaltılık,Düzce Tarım Tereyağ 1000 gr,589.95,Kg,2026-03-15
Süt Kahvaltılık,Düzce Tarım Tost Peyniri 600 gr,199.95,Kg,2026-03-15
Süt Kahvaltılık,Cihanbeyli Manda Sütlü Kaymak kg,1599.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Bidon Yoğurt 2000 gr,139.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Çırpılmış Yoğurt 500 gr,59.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Efsane Yoğurt 750 gr,79.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Kaymak 100 gr,72.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Kaymak 200 gr,133.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Probiotik Yoğurt Çilek 4X100 gr,79.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Probiotik Yoğurt Hurma&chia 125 gr,29.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Probiotik Yoğurt Hurma&Chia 4X100 gr,79.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Probiotik Yoğurt İncir&Yulaf 125 gr,29.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Probiotik Yoğurt İncir&Yulaf 4X100 gr,79.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Probiotik Yoğurt Kayısılı 4X100 gr,79.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Probiotik Yoğurt Orman Meyveli 4X100 gr,79.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Probiyotik Yoğurt 500 gr,59.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Süzme Yoğurt Kova 500 gr,104.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Süzme Yoğurt Kova 900 gr,189.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Tava Yoğurt 1 kg,99.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Yarım Yağlı Yoğurt 1.5 kg,99.95,Kg,2026-03-15
Süt Kahvaltılık,Eker Yarım Yağlı Yoğurt 2000 gr,129.95,Kg,2026-03-15
Süt Kahvaltılık,Ekici Beyaz Peynir kg,359.95,Kg,2026-03-15
Süt Kahvaltılık,Ekici Hellim Peyniri 225 gr,129.95,Kg,2026-03-15
Süt Kahvaltılık,Ekici Kaşar Peynir 600 gr,289.95,Kg,2026-03-15
Süt Kahvaltılık,Ekici Tam Yağlı Beyaz Peynir 500 gr,199.95,Kg,2026-03-15
