id,sku,name,brand,category,sub_category,family,regular_price,shown_price,discount_rate,unit,status,image_url,product_url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
QE75Q7FAAUXTK,QE75Q7FAAUXTK,"75"" QLED Q7F 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,QLED Q7F 4K Samsung Vision AI Smart TV (2025),71499.0,71499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe75q7faauxtk/gallery/tr-qled-q7-545582-qe75q7faauxtk-thumb-551925010,https://www.samsung.com/tr/tvs/qled-tv/q7f-75-inch-qled-4k-smart-tv-qe75q7faauxtk/,09,0.0,0.0,,
QE85Q7FAAUXTK,QE85Q7FAAUXTK,"85"" QLED Q7F 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,QLED Q7F 4K Samsung Vision AI Smart TV (2025),91299.0,91299.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe85q7faauxtk/gallery/tr-qled-q7-545582-qe85q7faauxtk-thumb-551925039,https://www.samsung.com/tr/tvs/qled-tv/q7f-85-inch-qled-4k-smart-tv-qe85q7faauxtk/,09,0.0,0.0,,
UE98DU9000UXTK,UE98DU9000UXTK,"98"" Crystal UHD TV DU9000 4K Smart TV",Samsung,TVs,UHD 4K TV,98 Inch Crystal UHD DU9000 4K Tizen OS Smart TV (2024),129999.0,129999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/ue98du9000uxtk/gallery/tr-crystal-uhd-du9000-ue98du9000uxtk-thumb-542261484,https://www.samsung.com/tr/tvs/uhd-4k-tv/du9000-98-inch-crystal-uhd-4k-tizen-os-smart-tv-ue98du9000uxtk/,09,0.0,0.0,,
SM-A376BZADTUR,SM-A376BZADTUR,Galaxy A37 5G,Samsung,Smartphones,Galaxy A,Galaxy A37 5G,23999.0,23999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a376bzadtur/gallery/tr-galaxy-a37-5g-sm-a376-586399-sm-a376bzadtur-thumb-551922346,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a37-5g-awesome-charcoal-128gb-sm-a376bzadtur/,08,0.0,0.0,,
SM-A376BZAGTUR,SM-A376BZAGTUR,Galaxy A37 5G,Samsung,Smartphones,Galaxy A,Galaxy A37 5G,27999.0,27999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a376bzagtur/gallery/tr-galaxy-a37-5g-sm-a376-586399-sm-a376bzagtur-thumb-551922365,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a37-5g-awesome-charcoal-256gb-sm-a376bzagtur/,08,0.0,0.0,,
SM-A376BDGDTUR,SM-A376BDGDTUR,Galaxy A37 5G,Samsung,Smartphones,Galaxy A,Galaxy A37 5G,23999.0,23999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a376bdgdtur/gallery/tr-galaxy-a37-5g-sm-a376-586399-sm-a376bdgdtur-thumb-551922307,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a37-5g-awesome-graygreen-128gb-sm-a376bdgdtur/,08,0.0,0.0,,
SM-A376BLVDTUR,SM-A376BLVDTUR,Galaxy A37 5G,Samsung,Smartphones,Galaxy A,Galaxy A37 5G,23999.0,23999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a376blvdtur/gallery/tr-galaxy-a37-5g-sm-a376-586399-sm-a376blvdtur-thumb-551906636,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a37-5g-awesome-lavender-128gb-sm-a376blvdtur/,08,0.0,0.0,,
SM-A376BLVGTUR,SM-A376BLVGTUR,Galaxy A37 5G,Samsung,Smartphones,Galaxy A,Galaxy A37 5G,27999.0,27999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a376blvgtur/gallery/tr-galaxy-a37-5g-sm-a376-586399-sm-a376blvgtur-thumb-551906656,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a37-5g-awesome-lavender-256gb-sm-a376blvgtur/,08,0.0,0.0,,
SM-A376BZWDTUR,SM-A376BZWDTUR,Galaxy A37 5G,Samsung,Smartphones,Galaxy A,Galaxy A37 5G,23999.0,23999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a376bzwdtur/gallery/tr-galaxy-a37-5g-sm-a376-586399-sm-a376bzwdtur-thumb-551906675,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a37-5g-awesome-white-128gb-sm-a376bzwdtur/,08,0.0,0.0,,
SM-A376BZWGTUR,SM-A376BZWGTUR,Galaxy A37 5G,Samsung,Smartphones,Galaxy A,Galaxy A37 5G,27999.0,27999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a376bzwgtur/gallery/tr-galaxy-a37-5g-sm-a376-586399-sm-a376bzwgtur-thumb-551906695,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a37-5g-awesome-white-256gb-sm-a376bzwgtur/,08,0.0,0.0,,
SM-A576BDBBTUR,SM-A576BDBBTUR,Galaxy A57 5G,Samsung,Smartphones,Galaxy A,Galaxy A57 5G,30999.0,30999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a576bdbbtur/gallery/tr-galaxy-a57-5g-sm-a576-sm-a576bdbbtur-thumb-551906096,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a57-5g-awesome-navy-128gb-sm-a576bdbbtur/,08,0.0,0.0,,
SM-A576BDBDTUR,SM-A576BDBDTUR,Galaxy A57 5G,Samsung,Smartphones,Galaxy A,Galaxy A57 5G,34999.0,34999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a576bdbdtur/gallery/tr-galaxy-a57-5g-sm-a576-sm-a576bdbdtur-thumb-551906115,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a57-5g-awesome-navy-256gb-sm-a576bdbdtur/,08,0.0,0.0,,
SM-A576BZABTUR,SM-A576BZABTUR,Galaxy A57 5G,Samsung,Smartphones,Galaxy A,Galaxy A57 5G,30999.0,30999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/sm-a576bzabtur/gallery/tr-galaxy-a57-5g-sm-a576-sm-a576bzabtur-thumb-551906134,https://www.samsung.com/tr/smartphones/galaxy-a/galaxy-a57-5g-awesome-gray-128gb-sm-a576bzabtur/,08,0.0,0.0,,
