ProductName,Total_Period_Change_%,2026-03_Change_%,2026-04_Change_%
%100 500ML ECE LIMON PET SUYU,-0.0,-1.1102230246251565e-14,0.0
%100 55G CIPSI EZMELI FIRINLANMIŞ FISTIK NOHUT NOUTOS ZÜBER,14.98,7.748150216389771,6.7115833117388
%100 750ML AMONYAK CIF EN KIRLERI KREM SPREY TEMIZLEYICI VE YAĞ YÜZEY ZORLU ÇIKARIR,17.56,-5.39288307915754,24.261172605431568
%100 750ML CIF CIF GÜCÜ KREM KREM SPREY,-0.0,-1.1102230246251565e-14,0.0
%100 800G BITKISEL DALAN LAVANTALI OLUŞAN ROXY SABUN TOZ YAĞLARDAN,0.0,0.0,0.0
%100 800G PIRINA SABUN TARIŞ,0.0,0.0,0.0
%100 800G SABUN TARIŞ ZEYTINYAĞLI,0.0,0.0,0.0
%100 900ML ABC ARAP BITKISEL KAYNAKLI SABUNU,0.0,0.0,0.0
%100 ANANAS MANGO MUZ NAREN PORTAKAL SIKMA SUYU,-2.5,0.0,-2.500000000000002
%100 CAPPY ELMA SUYU,0.0,0.0,0.0
%100 CİTY ELMA FARM ORGANİK SU...,0.0,0.0,0.0
%100 CİTY FARM ORGANIK S... VISNE,0.0,0.0,0.0
%100 EKME... TAMBUGDAYLI TAVA UNO,0.0,0.0,0.0
%100 EKŞISI NAR ÖNCÜ,0.0,0.0,0.0
%100 EKŞİSİ NAR TK,0.0,0.0,0.0
%100 ELMA KAYISI NAREN SIKMA SUYU ŞEFTALI,-24.56,-12.13668977258907,-14.144264040457799
%100 ELMA SUYU TK,0.0,0.0,0.0
%100 ELMA SUYU TK VİŞNE,0.0,0.0,0.0
%100 ELMA SUYU TK ŞEFTALİ,0.0,0.0,0.0
%100 EZMESIKG FISTIK NUTMATIK,0.0,0.0,0.0
%100 KARIŞIK MEYVE SARI SUY... TK,0.0,0.0,0.0
%100 KIRMIZI MEYVELER NAREN SIKMA SUYU,4.61,7.928979691110305,-3.076923076923077
%100 NAR NAREN SIKMA SUYU,6.72,10.111662531017384,-3.076923076923077
%100 NAR SUYU TK,0.0,0.0,0.0
%100 NAREN PORTAKAL SIKMA SUYU,6.72,10.111662531017384,-3.076923076923077
%13 FINDIK KAKAOLU KREMASI TK,0.0,0.0,0.0
%14 %7 ( )KG DANA KIYMA YAĞ,7.32,4.440892098500626e-14,7.318768983056989
%15 %40 (%45 EZINE KEÇI KOYUN PEYNIRIKG TAHSILDAROĞLU İNEK),14.83,3.4581249718431017,10.992571174764576
%15 %45 EZINE KEÇI KOYUN PEYNIRI(%40 TAHSILDAROĞLU İNEK),14.83,3.5773706605273237,10.864788576073714
%15 121G DAHA FAZLA MISIR ÇEREZI ÇEREZZA,0.0,0.0,0.0
%15 200ML KREMA PIŞIRMELIK YAĞLI YÖRÜKOĞLU,0.0,0.0,0.0
%15 200ML KREMA SÜTAŞ YAĞLI YEMEKLIK,0.0,0.0,0.0
%15INEK %40KEÇI (%45KOYUN ) 450G EZINE PEYNIRI TAHSILDAROĞLU,4.35,-5.6983902047672,10.654284373981326
%15INEK %40KEÇI (%45KOYUN ) 500G EZINE PEYNIRI TAHSILDAROĞLU,4.35,-5.5912776069332315,10.528740170434038
