Price,Location,Rooms
130.000 TL,Muratpaşa/Lara,4+1
390.000 TL,Kaş/Kalkan,5+1
50.000 TL,Serik,4+1
60.000 TL,Serik,4+1
130.000 TL,DemreKale(Demre),5+1
100.000 TL,Kaş/Kalkan,2+1
90.000 TL,Muratpaşa/Lara,3+1
15.500 TL,Kaş/Kalkan,5+1
100.000 TL,Kemer,3.5+1
175.000 TL,Muratpaşa/Lara,5+1
42.000 TL,Aksu/Köyler,2+1
138.000 TL,Serik,4+1
26.000 TL,Kaş/Kalkan,4+1
115.000 TL,Aksu,4+1
80.000 TL,Döşemealtı/Yeşilbayır,5+1
30.000 TL,Serik/Belek,5+1
65.000 TL,Serik,4+1
40.000 TL,Muratpaşa/Lara,2+1
125.000 TL,Kemer/Göynük,3+1
80.000 TL,Serik/Belek,4+1
100.000 TL,Kemer,5+1
50.000 TL,Serik,4+1
65.000 TL,Alanya,3+1
65.000 TL,Serik,4+1
45.000 TL,Serik/Belek,3+1
40.000 TL,Manavgat/Taşağıl,4+1
60.000 TL,Muratpaşa/Lara,6+1
90.000 TL,Serik/Belek,4+1
45.000 TL,Manavgat/Köyler,4+3
75.000 TL,Döşemealtı/Yeniköy,5+1
70.000 TL,Manavgat/Köyler,3+2
55.000 TL,Aksu,2+1
20.000 TL,Demre/Kale(Demre),2+0
50.000 TL,Demre/Kale(Demre),3+1
35.000 TL,Serik,4+1
6.850 TL,Kaş/Kalkan,2+1
7.000 TL,Serik/Belek,2.5+1
75.000 TL,Serik,4+1
100.000 TL,Döşemealtı/Merkez,7+1
87.000 TL,Konyaaltı/Arapsuyu,5+1
95.000 TL,Kemer,2+1
5.000 TL,Kaş/Kalkan,2+1
160.000 TL,Döşemealtı/Yeşilbayır,4+1
78.000 TL,Alanya,3+1
95.000 TL,Konyaaltı/Arapsuyu,4+1
70.000 TL,Konyaaltı/Köyler,3+2
35.000 TL,Serik,3+1
80.000 TL,Döşemealtı/Yeniköy,4+1
55.000 TL,Aksu/Çalkaya,3+1
18.000 TL,Kemer,4+1
80.000 TL,Kaş/Kalkan,6+3
119.000 TL,Kaş/Kalkan,3+1
82.600 TL,Kaş/Kalkan,2+1
57.000 TL,Aksu/Köyler,4+1
9.500 TL,Serik,3+1
5.000 TL,Kaş/Kalkan,3+1
55.000 TL,Muratpaşa/Lara,3+1
35.000 TL,Manavgat/Ilıca,3+1
90.000 TL,Kepez/Köyler,5+1
16.500 TL,Kemer,4+1
36.000 TL,Manavgat/Ilıca,3+1
94.000 TL,Muratpaşa/Lara,5+1
6.000 TL,Demre/Kale(Demre),2+1
150.000 TL,Döşemealtı/Yeşilbayır,6+1
43.000 TL,Manavgat,3+1
225.000 TL,Alanya,4+1
25.000 TL,Demre/Kale(Demre),3+1
8.500 TL,Serik/Belek,4+1
55.000 TL,Aksu,2+1
38.500 TL,Serik,3+1
60.000 TL,Konyaaltı/Köyler,3+1
26.000 TL,Serik,2+1
11.000 TL,Alanya/İncekum (Yeşilköy),4+1
110.000 TL,Aksu,4+1
65.000 TL,Döşemealtı/Yeşilbayır,4+1
7.000 TL,Kaş/Kalkan,4+1
22.750 TL,Manavgat/Köyler,4+1
70.000 TL,Serik,4+1
60.000 TL,Serik/Belek,4+1
55.000 TL,Serik/Belek,3+1
35.000 TL,Kaş/Kalkan,1+1
45.000 TL,Kaş/Kalkan,2+1
200.000 TL,Serik/Belek,7+1
10.000 TL,Kaş/Kalkan,3+1
14.500 TL,Kaş/Kalkan,2+1
60.000 TL,Kaş/Köyler,3+1
140.000 TL,Kemer,4+1
7.000 TL,Kaş,2+1
45.000 TL,Serik,3+1
25.000 TL,Kaş/Köyler,2+1
35.000 TL,KaşKöyler,7+1
55.000 TL,Kaş/Köyler,2+1
180.000 TL,Alanya,3+2
160.000 TL,Konyaaltı/Arapsuyu,5+1
