Product Name,Product Cost,Rooms
Merkez / Yalnızbağ,20500.0,3+1
Merkez / Başbağlar,22000.0,3+1
Merkez / Bahçelievler,26000.0,3+1
Merkez / Yalnızbağ,26000.0,3+1
Merkez / Çarşı,25000.0,3+1
Merkez / Çarşı,20500.0,2+1
Merkez / Çarşı,28500.0,2+0
Merkez / Demirkent,22000.0,2+1
Merkez / Başbağlar,22000.0,3+1
Merkez / Başbağlar,22000.0,3+1
Merkez / Çarşı,24000.0,2+0
Merkez / Yalnızbağ,23500.0,3+1
Merkez / Yalnızbağ,25500.0,3+1
Merkez / Ulalar,21000.0,3+1
Merkez / Bahçelievler,23000.0,3+1
Merkez / İnönü,25000.0,3.5+1
Merkez / Başbağlar,25000.0,3+1
Merkez / Çarşı,25000.0,1+1
Merkez / Çarşı,25000.0,2+1
Refahiye,20000.0,3+1
Merkez / Yalnızbağ,20000.0,2+1
Merkez / Başbağlar,20500.0,2+1
Merkez / Halitpaşa,26000.0,2+1
Merkez / Çarşı,20000.0,2+1
Merkez / Çarşı,20000.0,1+1
Merkez / Çarşı,23000.0,3+1
Merkez / Başbağlar,20000.0,3+1
Merkez / İnönü,21000.0,2+1
Merkez / İnönü,22500.0,2+0
Merkez / Başbağlar,32500.0,4+1
Merkez,20000.0,3+1
Merkez / Yalnızbağ,24000.0,3+1
Merkez / Çarşı,21000.0,3+1
Merkez / İnönü,25000.0,3+1
Merkez / Çarşı,23000.0,3+1
Merkez / Başbağlar,21000.0,2+1
Merkez / Başbağlar,25500.0,3+1
Merkez / İnönü,20500.0,1+1
Merkez / Başbağlar,21500.0,3+1
Merkez / Ulalar,20000.0,3+1
Merkez / İnönü,21000.0,1+1
Merkez / Bahçelievler,20000.0,4+1
Merkez / Başbağlar,25000.0,3+1
Merkez / Başbağlar,20250.0,2+1
Merkez / Yalnızbağ,20000.0,3+1
Merkez / İnönü,22000.0,2+1
Merkez / Çarşı,20400.0,1+1
Merkez / Yalnızbağ,26500.0,3+1
Merkez / Çarşı,24000.0,3+1
Merkez / Başbağlar,28000.0,1+1
Merkez / Çarşı,20000.0,2+1
Merkez / İnönü,24000.0,3+1
Merkez / Çarşı,24000.0,1+1
Merkez / Başbağlar,21000.0,3+1
Merkez / Başbağlar,20000.0,2+0
Merkez / Çarşı,20000.0,2+1
Merkez / Bahçelievler,22000.0,3+1
Merkez / İnönü,22000.0,2+0
Merkez / Bahçelievler,25500.0,3.5+1
Merkez / Başbağlar,22500.0,1+1
Merkez / Çarşı,20000.0,2+0
Merkez / Çarşı,27500.0,4+1
Merkez / Çarşı,22000.0,1+1
Merkez / Başbağlar,21000.0,2+1
Merkez / İnönü,21500.0,3+1
Merkez / Başbağlar,21000.0,2+1
Merkez / Başbağlar,20500.0,3+1
Merkez / Çarşı,21000.0,3+1
Merkez / Yalnızbağ,21000.0,3+1
Merkez / Başbağlar,22500.0,2+1
Merkez / Başbağlar,22000.0,1+1
Merkez / Yalnızbağ,20500.0,1+1
Merkez / Başbağlar,25000.0,1+1
Merkez / İnönü,21000.0,2+1
Merkez / Başbağlar,22500.0,2+1
Merkez / Başbağlar,22000.0,2+1
Merkez / Başbağlar,26500.0,3+1
Merkez / Halitpaşa,20000.0,2+1
Merkez,25000.0,3+1
Merkez / İnönü,22000.0,2+1
Merkez / Çarşı,20500.0,1+1
Merkez / Başbağlar,29500.0,4+1
Refahiye / Tercan,26500.0,2+1
