District,Rooms,Price
Merkez / Doğukent,3+1,7.500 TL
Merkez,3+1,8.500 TL
Merkez / Yurtbaşı,2+1,20.750 TL
Merkez / Sürsürü,1+1,15.500 TL
Merkez / Sürsürü,4+1,20.000 TL
Merkez / Sürsürü,3+1,14.000 TL
Merkez,3+1,10.000 TL
Merkez / Sürsürü,3+1,13.000 TL
Merkez / Mustafapaşa,3+1,11.000 TL
Merkez / Sürsürü,3+1,21.500 TL
Merkez / 1800 Evler,3+1,20.000 TL
Merkez / Sürsürü,2+1,15.000 TL
Merkez / Sürsürü,3+1,15.000 TL
Merkez / 1800 Evler,6+1,27.000 TL
Merkez / İzzetpaşa,3+1,9.500 TL
Merkez / Sürsürü,3+1,25.000 TL
Merkez / Sürsürü,2+1,9.000 TL
Merkez / Sürsürü,2+1,24.500 TL
Merkez / 1800 Evler,3+1,17.500 TL
Maden / Hazar,3.5+1,165.000 TL
Palu,3+1,6.500 TL
Merkez,3+1,11.000 TL
Merkez / Sürsürü,1+1,19.750 TL
Merkez / Sürsürü,2+1,18.000 TL
Merkez / İzzetpaşa,3+1,19.000 TL
Merkez,3+1,15.000 TL
Merkez / Sürsürü,4+1,18.000 TL
Palu,2+1,9.250 TL
Merkez / Sürsürü,1+1,15.000 TL
