Tarih,UrunID,UrunAdi,FiyatFloat
2026-09-06,1391497,PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol  + PS5 Şarj İstasyonu (Yeni Sürüm),46414.77
2026-09-06,1865278,iPhone 17 Pro 256GB Gümüş Akıllı Cep Telefonu MG8G4TU/A,112370.1
2026-09-06,1853746,V16 Piston Animal Kablosuz Süpürge (Mat Siyah/Bakır),45999.0
2026-09-06,1878367,Playstation 5 Pro 2TB Oyun Konsolu + 2. PS5 Oyun Kolu + PS5 Şarj İstasyonu,79598.98
2026-09-06,1846489,Mini 5 Pro Fly More Combo Plus RC 2 Drone,68999.0
2026-09-06,1620036, Playstation 5 Pro 2TB Oyun Konsolu + 2. PS5 Oyun Kolu,78067.4
2026-09-06,1865304,iPhone 17 Pro Max 256GB Kozmik Turuncu,123194.85
2026-09-06,1809628,Airwrap i.d.™ Saç Şekillendirme ve Kurutma Seti (Ceramic Pink),28999.0
2026-09-06,1865279,iPhone 17 Pro 256GB Kozmik Turuncu Akıllı Cep Telefonu MG8H4TU/A,112370.1
2026-09-06,1380851,G G29 Driving Force Shifter Yarış Direksiyonu ve Vites Seti,22104.21
2026-09-06,1660376,Normatec Premier Bacak Masaj Aleti,84900.0
2026-09-06,1865379,RD545 Innerscan Pro Segmental Vücut Analizi Akıllı Dijital Tartı,141896.0
2026-09-06,1861311,J620 Creatista Pro Kapsüllü Gümüş Kahve Makinesi + Termos Hediyeli,45881.18
2026-09-06,2075139,"Legion 5 15IAX10 83F00087TR Intel Core Ultra 7 255HX 32GB RAM 1TB SSD RTX 5070 15.1"" Windows 11 Home Gaming Laptop 83F00087TR",109999.0
2026-09-06,1630208,Beosound A9 Multiroom Siyah Bluetooth Hoparlör,309999.0
2026-09-06,1885697,KG86PAXB0N iQ700 BlackSteel Total noFrost Alttan Donduruculu Buzdolabı,112399.0
2026-09-06,1116038,Triflex HX2 Lotus Beyazı Şarjlı Dikey Süpürge,53990.0
2026-09-06,2077741,"The Movingstyle 27LSM7F QHD 27"" Smart Dokunmatik Taşınabilir LED Tv",54999.0
2026-09-06,1754811,Air 3 Acısız Safir Buz Soğutma 700.000 Atım Mor IPL Lazer Epilasyon Aleti + Deri Kutu Hediyeli,23999.0
2026-09-06,1615620,Forerunner 965 Karbon Gri DLC Titanyum Siyah Gri 47mm Silikon Kayışlı Akıllı Saat,39690.0
2026-09-06,1874257,PlayStation 5 825GB Slim Digital Edition Oyun Konsolu (Bilkom Garantili),44393.0
2026-09-06,1763605,Katana 17 HX B14WFK-216XTR I7-14650HX 32GB DDR5 1TB SSD 8GB RTX5060 17.3 QHD 240Hz DOS Laptop ,124999.0
2026-09-06,1729780,"iPad 11. Nesil A16 11"" Wi-Fi 128GB Mavi Tablet MD4A4TU/A",25772.16
2026-09-06,2075933,Ear a Siyah Kulak İçi Bluetooth Kulaklık,5999.0
2026-09-06,2089776,Charmera Milenyum Anahtarlık Fotoğraf Makinesi + Kamera Charmera RK0603,3995.0
2026-09-06,1729778,"iPad 11. Nesil A16 11"" Wi-Fi 128GB Gümüş Tablet MD3Y4TU/A",25772.16
2026-09-06,1343990,Cinetic Big Ball Absolute 2 Elektrikli Süpürge,21999.0
2026-09-06,1841470,"ThinkPad X1 2in1 Gen 10 Aura Edition Ultra 7 258V 2.8K 32GB Ram 1TB SSD 5G LTE 14"" Windows 11 Pro Laptop 21NU0023TX",154347.13
2026-09-06,1980152,S8 Pro Beyaz Akıllı Robot Süpürge ,16499.0
2026-09-06,1596681,Fenix 8 Amoled Sapphire Karbon Gri DLC Titanyum 47mm Siyah/Gri Kayışlı Akıllı Saat,64680.0
