Product Name,Price,Category
Siyah Büzgü Detaylı Anvelop Elbise,5999.95,elbise
Mor Straplez Elbise,7999.95,elbise
Siyah Kolsuz Örme Büzgülü Elbise,6999.95,elbise
Lacivert Büzgü Detaylı Anvelop Elbise,5999.95,elbise
Kahverengi Büzgü Detaylı Elbise,4999.95,elbise
Bordo Halter Yaka Elbıse,5999.95,elbise
Kahverengi Çiçek Desenli Kısa Elbise,12999.95,elbise
Kahverengi Tek Omuz Simli Örme Elbise,4999.95,elbise
Siyah V Yaka Kolsuz Elbise,3999.95,elbise
Kahverengi Asimetrik Örme Elbise,6999.95,elbise
Gri Yırtmaç Detaylı Örme Elbise,5999.95,elbise
Gold Uzun Örme Taşlı Elbise,5999.95,elbise
Kahverengi Yırtmaç Detaylı Örme Elbise,7999.95,elbise
Turuncu Kolsuz Volanlı Saten Elbise,5999.95,elbise
Siyah Kolsuz Midi Saten Elbise,5999.95,elbise
Yeşil Büzgü Detaylı Yırtmaçlı Elbise,3999.95,elbise
Siyah Büzgü Sırt Detaylı Örme Elbise,5999.95,elbise
Yeşil V Yaka Kolsuz Büzgülü Elbise,5999.95,elbise
Siyah Dantel Detaylı Askılı Elbise,7999.95,elbise
Saks V Yaka Kolsuz Büzgülü Elbise,5999.95,elbise
Siyah Uzun Pileli Tafta Elbise,9999.95,elbise
Lacivert Yırtmaçlı Jarse Elbise,3999.95,elbise
Siyah Moda Tutkusu Bağlama Detaylı Elbise,4999.95,elbise
Siyah Sırt Dekolteli Saten Elbise,3999.95,elbise
Yeşil Degaje Yaka Uzun Elbise,3999.95,elbise
Siyah Asimetrik Saten Elbise,4999.95,elbise
Kahverengi Kolsuz Midi Boy Elbise,12999.95,elbise
Lacivert Asimetrik Örme Elbise,3999.95,elbise
Bordo Kolsuz Midi Boy Elbise,12999.95,elbise
Siyah İp Askılı Triko Elbise,4999.95,elbise
Siyah Asimetrik Örme Elbise,3999.95,elbise
Yeşil Sırt Dekolteli Saten Elbise,3999.95,elbise
Siyah Tek Omuz Taşlı Örme Elbise,6999.95,elbise
Yeşil Halter Yaka Elbıse,5999.95,elbise
