District,Rooms,Price
Osmangazi,2+1,13.000 TL
Osmangazi / Demirtaş,1+1,13.000 TL
Osmangazi / Altıparmak,2+1,13.000 TL
Osmangazi / Emek,2+1,12.500 TL
Nilüfer / Görükle,1+1,13.500 TL
Yıldırım / Yeşilyayla,2+1,12.000 TL
Nilüfer / Görükle,2+1,13.000 TL
Nilüfer / Görükle,Stüdyo (1+0),12.000 TL
Nilüfer / Görükle,1+1,13.500 TL
Nilüfer / Görükle,1+1,13.000 TL
Osmangazi / Ulucami,1+1,13.000 TL
İnegöl,2+1,12.000 TL
Nilüfer / Görükle,1+1,13.500 TL
İnegöl / Alanyurt,2+1,13.000 TL
Nilüfer / Görükle,1+1,13.250 TL
Nilüfer / Görükle,1+1,12.500 TL
Gemlik,2+1,12.500 TL
Nilüfer / Akçalar,2+1,13.000 TL
Yıldırım / Yeşilyayla,2+1,12.000 TL
Gemlik,2+1,12.000 TL
Gemlik,2+1,12.000 TL
Nilüfer / Görükle,2+1,12.000 TL
Nilüfer / Görükle,1+1,12.000 TL
Yıldırım,2+1,13.500 TL
İnegöl,2+1,13.000 TL
İnegöl,2+1,12.500 TL
Nilüfer / Görükle,2+1,13.000 TL
Nilüfer / Görükle,1+1,13.000 TL
Yıldırım / Emirsultan,2+1,12.000 TL
Nilüfer / Görükle,2+1,13.500 TL
Nilüfer / Görükle,2+1,13.500 TL
Nilüfer / Görükle,1+1,12.500 TL
Nilüfer / Görükle,2+1,13.000 TL
Yıldırım / Emirsultan,Stüdyo (1+0),12.000 TL
Mustafakemalpaşa,2+1,13.000 TL
Nilüfer / Görükle,Stüdyo (1+0),12.000 TL
Yıldırım / Ertuğrulgazi,2+1,13.000 TL
Osmangazi / Çekirge,2+1,12.000 TL
Yıldırım / Ertuğrulgazi,2+1,12.000 TL
Osmangazi / Soğanlı,2+1,12.000 TL
Nilüfer / Görükle,1+1,13.500 TL
Yıldırım / Esenevler,2+1,13.000 TL
Yıldırım / Eğitim,2+1,13.000 TL
Osmangazi / Tayakadın,Stüdyo (1+0),12.000 TL
Yıldırım,2+1,12.500 TL
Gemlik,2+1,12.500 TL
Nilüfer / Görükle,2+1,13.999 TL
Yıldırım / Ertuğrulgazi,2+1,13.500 TL
Osmangazi / Altıparmak,2+1,12.000 TL
Nilüfer / Görükle,1+1,12.750 TL
Osmangazi,2+1,12.500 TL
Osmangazi,2+1,13.500 TL
Osmangazi / Bağlarbaşı,2+1,13.000 TL
Nilüfer / Görükle,1+1,13.500 TL
İnegöl,1+1,13.000 TL
Osmangazi / Demirtaş,1+1,13.000 TL
Orhangazi,3+1,13.500 TL
Mudanya / Güzelyalı,1+1,13.000 TL
Nilüfer / Görükle,1+1,13.000 TL
Nilüfer / Görükle,1+1,13.000 TL
Nilüfer / Görükle,1+1,13.000 TL
Nilüfer / Görükle,1+1,12.500 TL
Osmangazi / Emek,2+1,13.000 TL
Gemlik,2+1,13.000 TL
Yıldırım / Yeşilyayla,2+1,13.000 TL
Karacabey,2+1,13.000 TL
Gemlik,2+1,13.000 TL
Nilüfer / Görükle,1+1,12.500 TL
Nilüfer / Görükle,2+1,13.000 TL
Nilüfer / Görükle,Stüdyo (1+0),12.000 TL
Gemlik,3+1,13.000 TL
Nilüfer / Görükle,1+1,13.000 TL
Osmangazi / Emek,2+1,13.500 TL
Osmangazi / Altıparmak,2+1,12.500 TL
Gemlik,2+1,12.000 TL
İnegöl,2+1,13.500 TL
Keles,2+1,13.000 TL
İnegöl / Tahtaköprü,2+1,13.500 TL
Nilüfer / Görükle,2+1,12.500 TL
