date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Mar 2026,Oils,Olive Oil,Liter,1.1,488.55,537.41,434.5,477.95,299.0,328.9,34,Komili Natürel Sızma Zeytinyağı 2 L; Komili Natürel Sızma Zeytinyağı 500 ml; Komili Natürel Sızma Zeytinyağı Teneke 5 L; Komili Natürel Sızma Zeytinyağı1 L; Komili Riviera Zeytinyağı 1 L; Komili Riviera Zeytinyağı 2 L; Komili Riviera Zeytinyağı 250 ml; Komili Riviera Zeytinyağı 5 L; Komili Riviera Zeytinyağı 500 ml; Kristal Natürel Sızma Zeytinyağı Cam Şişe 1 L; Kristal Natürel Sızma Zeytinyağı Cam Şişe 500…; Kristal Natürel Sızma Zeytinyağı Teneke 4 L; Kristal Organik Natürel Sızma Zeytinyağı Cam …; Kristal Riviera Zeytinyağı 1 L; Marmarabirlik Natürel Sızma Zeytinyağı Cam Şi…; Marmarabirlik Natürel Sızma Zeytinyağı Cam Şi…; Marmarabirlik Natürel Sızma Zeytinyağı Teneke…; Marmarabirlik Riviera Zeytinyağı Cam Şişe 1 L; Marmarabirlik Riviera Zeytinyağı Cam Şişe 250…; Marmarabirlik Riviera Zeytinyağı Teneke 5 L; Tariş Güney Ege Sızma Natürel Zeytinyağı 2 L; Tariş Güney Ege Sızma Zeytinyağı 5 L; Tariş Güney Ege Sızma Zeytinyağı Cam Şişe 750…; Tariş Kuzey Ege Sızma Zeytinyağı Cam Şişe 250…; Tariş Kuzey Ege Sızma Zeytinyağı Cam Şişe 500…; Tariş Kuzey Ege Sızma Zeytinyağı Teneke 5 L; Tariş Riviera Zeytinyağı Cam Şişe 250 ml; Tariş Riviera Zeytinyağı Cam Şişe 500 ml; Tariş Riviera Zeytinyağı Cam Şişe 750 ml; Tariş Riviera Zeytinyağı Teneke 1 L; Tariş Riviera Zeytinyağı Teneke 2 L; Tariş Riviera Zeytinyağı Teneke 5 L; Tariş Sızma Natürel Edremit & Ayvalık Zeytiny…; Tariş Sızma Natürel Organik Zeytinyağı Cam Şi…
Mar 2026,Other Food Products,Grissini,Kg,2.1,450.05,945.11,479.2,1006.32,282.61,593.48,4,Ülker Altınbaşak Grissini 46 g; Ülker Altınbaşak Grissini Kepekli 125 g; Ülker Altınbaşak Grissini Sade 125 g; Ülker Altınbaşak Grissini Çavdarlı Karabuğday…
Apr 2026,Dairy Products,Yogurt,Kg,59.7,98.46,5878.06,79.5,4746.15,44.95,2683.52,29,Atmaca Yoğurt Yarım Yağlı 2500 g; Atmaca Yoğurt Yarım Yağlı 5000 g; Bayram Bidon Yoğurt 2500 g; Bayram Yoğurt 1000 g; Eker Efsane Yoğurt 750 Gr; Kebir %3 Yağlı Yoğurt Kova 1750 g; Kebir Yoğurt Bidon 2500 g; Kebir Yoğurt Bidon Köy Tipi 1000 g; Kebir Yoğurt Bidon Köy Tipi 2000 g; Kebir Yoğurt Bidon Köy Tipi 5 kg; Kebir Yoğurt Yarım Yağlı Kova 4 kg; Pınar Doğal Yoğurt 500 g; Pınar Doğal Yoğurt 750 Gr; Pınar Yoğurt 1200 GR; Pınar Yoğurt 2000 gr %1 Yağlı; Sütaş Kaymaksız Yoğurt 1 kg; Sütaş Kaymaksız Yoğurt 1.5 kg; Sütaş Kaymaksız Yoğurt 3 kg; Sütaş Kaymaksız Yoğurt 500 g; Yeşil Mavi Yoğurt Bidon 1000 g; Yeşil Mavi Yoğurt Bidon 2500 g; Yeşil Mavi Yoğurt Bidon 4950 g; Yeşil Mavi Yoğurt Kova 1000 g; Yeşil Mavi Yoğurt Kova 2000 g; İçim Doğal Yoğurt 1000 g; İçim Doğal Yoğurt 1200 g; İçim Doğal Yoğurt 2000 g; İçim Doğal Yoğurt 3000 g; İçim Doğal Yoğurt 500 g
Apr 2026,Dairy Products,White Cheese,Kg,5.7,363.49,2071.89,333.12,1898.78,215.62,1229.03,46,Aytaç Tam Yağlı Beyaz Peynir 800 g; Ayça Az Yağlı Beyaz Peynir 800 g; Damalı Beyaz Peynir Klasik Kg; Eker Klasik Peynir 500 gr Tam Yağlı; Ekici Beyaz Peynir Kg; Ekici Beyaz Peynir Klasik 450 Gr 3 Dilim; Ekici Beyaz Peynir Lokum Kıvamında 250 Gr; Ekici Beyaz Peynir Tam Yağlı 500 g; Ekici Lokum Kıvamında Beyaz Peynir 800 g; Gezici Beyaz Peynir Az Tuzlu Kg; Gezici Taze Peynir Kg; Kaanlar Trakya Beyaz Peynir 800 g; Kaanlar Çiftlik Taze Beyaz Peynir kg; Kebir Beyaz Peynir 500 g; Kebir Beyaz Peynir 800 g; Muratbey Sürmeli Beyaz Peynir Tam Yağlı 400 G…; Ova Beyaz Peynir 1 Kg; Ova Beyaz Peynir 400 Gr; Ova Beyaz Peynir 700 Gr Pls; Ova Beyaz Peynir Kg; Ova Beyaz Peynir Tnk 1 Kg; Ova Beyaz Peynir Tnk 1800 Gr; Peysan Edirne Klasik Beyaz Peynir Tam Yağlı 3…; Pınar Beyaz Peynir 180 Gr; Pınar Beyaz Peynir 400 Gr; Pınar Beyaz Peynir Kahvaltı Keyfi 800 Gr; Pınar Beyaz Peynir Salamura 800 Gr; Pınar Taze Peynir 180Gr Kahvaltı Keyfi; Sütaş Beyaz Peynir 250 g; Sütaş Light Plus Beyaz Peynir 500 g; Sütaş Plus Beyaz Peynir 500 g; Sütaş Plus Beyaz Peynir 900 g; Sütaş Süzme Beyaz Peynir 250 g; Sütaş Süzme Beyaz Peynir 500 g; Sütaş Süzme Beyaz Peynir 900 g; Tahsildaroğlu Klasik İnek Beyaz Peynir 450 Gr; Teksüt Beyaz Peynir 900 Gr; Torku Beyaz Peynir 500 g; Torku Beyaz Peynir 900 g; Yardımcı Beyaz Peynir Kg; İçim Beyaz Peynir 500 g; İçim Süzme Beyaz Peynir 500 g; İçim Süzme Beyaz Peynir 750 g; İçim Süzme Beyaz Peynir 900 g; İçim Tam Yağlı Süzme Beyaz Peynir 250 g; İçim Tam Yağlı Taze Beyaz Peynir 900 g
Apr 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,890.0,4094.0,890.0,4094.0,850.0,3910.0,2,Dana Kuşbaşı  Kg; Yağsız Kuşbaşı Kg
Apr 2026,Meat and Protein,Chicken,Kg,10.3,212.31,2186.79,180.0,1854.0,64.1,660.23,9,Şenpiliç Baget Kg; Şenpiliç Pirzola Kg; Şenpiliç Poşet Piliç Kg; Şenpiliç Poşet Piliç Kg 1651-1950 gr; Şenpiliç Tabaklı Bonfile Kg; Şenpiliç Tabaklı Kelebek Kg; Erpiliç Schnitzel 700 Gr; Gedik Donuk Piliç Kova 750 Gr; Pınar Piliç Schnitzel 415 Gr
Apr 2026,Meat and Protein,Fish,Kg,6.9,,,,,,,0,—
Apr 2026,Meat and Protein,Eggs,Piece,120.0,5.73,687.6,5.0,600.0,4.33,519.6,7,Hapeloğlu Yumurta 30'lu  (M tipi); Kaçkar Yumurta 15 li; Özkan Açık Alanda Gezen Tavuk Yumurtası M- A …; Ümit Yumurta Duble Beyaz Kapaklı 15'Li L-Boy; Ümit Yumurta Duble Sarı Kapaklı 15'Li L-Boy; Ümit Yumurta Sarı 30'Lu M; Ümit Yumurta Serbest Gezen Tavuk Yumurtası 15…
Apr 2026,Legumes,Chickpeas,Kg,1.8,145.39,261.7,133.7,240.66,107.5,193.5,10,"Leblebi Beyaz Nohut Kg; Doğal Beyaz Nohut 1 Kg; Doğal Koçbaşı Nohut 8,5 mm 1 kg; Doğal Nohut 1 Kg Koçbaşı; Duru Irı Nohut 1 Kg; Duru Koçbaşı Nohut 1 Kg; Nohut İspanyol Kg; Tat Bakliyat Beyaz Nohut 1000 g; Tat Bakliyat Nohut 1 Kg Koçbaşı; Tat Bakliyat Nohut Koçbaşı 2000 Gr"
Apr 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,943.21,2546.67,1100.0,2970.0,165.0,445.5,9,Ceviz İçi Kg; Kavrulmuş Fındık Kg; Tadım Ceviz İçi 150 g; Tadım Ceviz İçi 70 g; Tadım Fındık İçi 90 g; Tadım Fındık İçi Kavrulmuş 180 g; Tadım Kavrulmuş Yer Fıstığı 180 g; Tadım İşlenmiş Yer Fıstığı 90 g; Tuzlu İç Fıstık Kg
