product_id,url,name,sku,marka,stok_durumu,birim,price,currency,scraped_at
4901,https://yapimaks.com/125-45-pis-su-pvc-dirsek-kalde-p4901,"125/45 Dirsek 45°, Pis Su, Çap=125 mm",KALDE.5213ELB0N0045,KALDE,Birim: Adet,Adet,"70,00",TRY,2026-03-17 22:30:20
4875,https://yapimaks.com/125-500-pis-su-boru-pprc-kalde-p4875,"125/500 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 125 x 500 mm",KALDE.5203TBE0N0500,KALDE,Birim: Adet,Adet,"102,00",TRY,2026-03-17 22:30:23
14223,https://yapimaks.com/125-90-pis-su-pvc-dirsek-kalde-p14223,"125/87 Dirsek 87°, Pis Su, Çap=125 mm",KALDE.5213ELB0N0087,KALDE,Birim: Adet,Adet,"87,00",TRY,2026-03-17 22:30:26
4923,https://yapimaks.com/125-kayar-manson-pis-su-pvc-kalde-p4923,"125'lik Kayar Manşon, Pis Su",KALDE.5213SOC0N0000,KALDE,Birim: Adet,Adet,"95,00",TRY,2026-03-17 22:30:29
4889,https://yapimaks.com/125-kelepce-pis-su-pvc-kalde-p4889,"125'lik Pis Su Boru Kelepçe, Çap=125 mm",KALDE.5213BCCON0000,KALDE,Birim: Adet,Adet,"37,00",TRY,2026-03-17 22:30:31
4925,https://yapimaks.com/125-tapa-pis-su-kalde-p4925,"125 Pis Su Tapa, Çap=125 mm",KALDE.5213STE0N0000,KALDE,Birim: Adet,Adet,"44,00",TRY,2026-03-17 22:30:34
3581,https://yapimaks.com/14-16-dns-50x100-5-cm-karbonlu-fawori-p3581,Fawori EPS Karbonlu ısı yalıtım levhası 5 cm 14-16 dns 50x100 cm (1 P=10 adet; 5 m2),FAWORİ.001,FAWORI,Birim: PAKET,PAKET,"750,00",TRY,2026-03-17 22:30:37
3793,https://yapimaks.com/16-1-2-dis-disli-rekor-kalde-p3793,"16 1/2"" Dış Dişli Erkek Dönüş Rakor (Pe-RT Boru Bağlantılı)",KALDE.3411NMF160B00,FIRAT,Birim: Adet,Adet,"65,00",TRY,2026-03-17 22:30:40
3792,https://yapimaks.com/16-1-2-ic-disli-rekor-kalde-p3792,"16 1/2"" İç Dişli Mini Rakor (Pe-RT Boru Bağlantılı)",KALDE.3411NFF160B01,KALDE,Birim: Adet,Adet,"67,00",TRY,2026-03-17 22:30:43
1707,https://yapimaks.com/16dns-dalmacyali-5cm-50x100cm-10ad-5m2-p1707,"Capatect Dalmaçyalı ısı yalıtım levhası 5 cm 16 dns 50x100 cm (1 P=10 adet; 5 m2), Filli Boya",CAPATECT.001,FİLLİ BOYA,Birim: PAKET,PAKET,"950,00",TRY,2026-03-17 22:30:46
14851,https://yapimaks.com/16x16-sabit-rekor-pe-x-kalde-p14851,Sabit Rekor 16x16 (Pe-X),KALDE.3411NPF161600,KALDE,Birim: Adet,Adet,"175,00",TRY,2026-03-17 22:30:49
4799,https://yapimaks.com/20-1-2-batarya-baglantisi-ciftli-kalde-p4799,"20 1/2"" Çiftli Batarya Bağlantısı, PPRC",KALDE.3222BAT200B04,KALDE,Birim: Adet,Adet,"115,00",TRY,2026-03-17 22:30:52
4798,https://yapimaks.com/20-1-2-batarya-baglantisi-tekli-disi-kalde-p4798,,,,,,,TRY,2026-03-17 22:30:55
11231,https://yapimaks.com/20-1-2-dis-disli-dirsek-pprc-kalde-p11231,"20 1/2"" Erkek Dirsek, Dış Dişli Dirsek, PPRC",KALDE.3222EMO200C00,KALDE,Birim: Adet,Adet,"60,00",TRY,2026-03-17 22:31:05
4820,https://yapimaks.com/20-1-2-dis-disli-rekor-pprc-kalde-p4820,"20 1/2"" Erkek Nipel, Dış Dişli Rakor, PPRC",KALDE.3222NMO200B00,KALDE,Birim: Adet,Adet,"39,00",TRY,2026-03-17 22:31:08
4804,https://yapimaks.com/20-1-2-ic-disli-dirsek-pprc-kalde-p4804,"20 1/2"" Dişi Dirsek, İç Dişli Dirsek, PPRC",KALDE.3222EFO200B00,KALDE,Birim: Adet,Adet,"33,00",TRY,2026-03-17 22:31:10
4814,https://yapimaks.com/20-1-2-ic-disli-rekor-pprc-kalde-p4814,"20 1/2"" Dişi Nipel, İç Dişli Rakor, PPRC",KALDE.3222NFO200B00,KALDE,Birim: Adet,Adet,"31,00",TRY,2026-03-17 22:31:14
4825,https://yapimaks.com/20-1-2-ic-disli-te-pprc-kalde-p4825,"20 1/2"" Dişi Te, İç Dişli Te, PPRC, 20 mm x 1/2"" x 20 mm",KALDE.3222TFO200B20,KALDE,Birim: Adet,Adet,"33,00",TRY,2026-03-17 22:31:16
4844,https://yapimaks.com/20-1-2-rekor-oynar-basli-dis-disli-kalde-p4844,"20 1/2"" Oynar Başlı Rakor - Erkek, Dış Dişli Rakor, PPRC, 20 mm x 1/2""",KALDE.3272TUM200B00,KALDE,Birim: Adet,Adet,"89,00",TRY,2026-03-17 22:31:19
4840,https://yapimaks.com/20-1-2-rekor-oynar-basli-ic-disli-kalde-p4840,,,,,,,TRY,2026-03-17 22:31:22
4803,https://yapimaks.com/20-1-2-taharet-baglantisi-ciftli-kalde-p4803,,,,,,,TRY,2026-03-17 22:31:32
4829,https://yapimaks.com/20-1-2-te-dis-disli-pprc-kalde-p4829,,,,,,,TRY,2026-03-17 22:31:42
4760,https://yapimaks.com/20-25-20-inegal-te-pprc-kalde-p4760,,,,,,,TRY,2026-03-17 22:31:52
4808,https://yapimaks.com/20-3-4-dis-disli-dirsek-pprc-kalde-p4808,"20 3/4"" Erkek Dirsek, Dış Dişli Dirsek, PPRC",KALDE.3222EMO200B00,KALDE,Birim: Adet,Adet,"41,00",TRY,2026-03-17 22:32:02
11230,https://yapimaks.com/20-3-4-ic-dis-dirsek-pprc-kalde-p11230,"20 3/4"" Dişi Dirsek, İç Dişli Dirsek, PPRC",KALDE.3222EFO200C00,KALDE,Birim: Adet,Adet,"41,00",TRY,2026-03-17 22:32:05
4815,https://yapimaks.com/20-3-4-ic-disli-rekor-kalde-p4815,"20 3/4"" Dişi Nipel, İç Dişli Rakor, PPRC",KALDE.3222NFO200C00,KALDE,Birim: Adet,Adet,"37,00",TRY,2026-03-17 22:32:08
