product_id,name,sku,marka,stok_durumu,birim,price,currency,url,scraped_at
4825,,,,,,,TRY,https://yapimaks.com/20-1-2-ic-disli-te-pprc-kalde-p4825,2026-03-19 15:07:44
4844,,,,,,,TRY,https://yapimaks.com/20-1-2-rekor-oynar-basli-dis-disli-kalde-p4844,2026-03-19 15:07:52
4840,,,,,,,TRY,https://yapimaks.com/20-1-2-rekor-oynar-basli-ic-disli-kalde-p4840,2026-03-19 15:08:01
4803,,,,,,,TRY,https://yapimaks.com/20-1-2-taharet-baglantisi-ciftli-kalde-p4803,2026-03-19 15:08:09
4829,,,,,,,TRY,https://yapimaks.com/20-1-2-te-dis-disli-pprc-kalde-p4829,2026-03-19 15:08:18
4760,,,,,,,TRY,https://yapimaks.com/20-25-20-inegal-te-pprc-kalde-p4760,2026-03-19 15:08:27
4808,,,,,,,TRY,https://yapimaks.com/20-3-4-dis-disli-dirsek-pprc-kalde-p4808,2026-03-19 15:08:35
11230,,,,,,,TRY,https://yapimaks.com/20-3-4-ic-dis-dirsek-pprc-kalde-p11230,2026-03-19 15:08:44
4815,,,,,,,TRY,https://yapimaks.com/20-3-4-ic-disli-rekor-kalde-p4815,2026-03-19 15:08:52
11232,,,,,,,TRY,https://yapimaks.com/20-3-4-oynar-basli-rekor-dis-disli-erkek-kalde-p11232,2026-03-19 15:09:01
4773,,,,,,,TRY,https://yapimaks.com/20-45-dirsek-pprc-kalde-p4773,2026-03-19 15:09:09
4772,,,,,,,TRY,https://yapimaks.com/20-90-dirsek-kapali-pprc-kalde-p4772,2026-03-19 15:09:18
4769,,,,,,,TRY,https://yapimaks.com/20-c-kavis-pprc-kalde-p4769,2026-03-19 15:09:26
4854,,,,,,,TRY,https://yapimaks.com/20-ciftli-kelepce-pprc-kalde-p4854,2026-03-19 15:09:35
4812,,,,,,,TRY,https://yapimaks.com/20-filtre-disi-pprc-kalde-p4812,2026-03-19 15:09:44
4847,,,,,,,TRY,https://yapimaks.com/20-kapama-basligi-pprc-kalde-p4847,2026-03-19 15:09:52
4855,"20'lik Kelepçe/Tekli, PPRC, Çap=20 mm, Ölçü=20x22 mm",KALDE.3592BCK202201,KALDE,Birim: Adet,Adet,"3,00",TRY,https://yapimaks.com/20-kelepce-pprc-kalde-p4855,2026-03-19 15:10:01
4766,"20'lik Kompozit Boru, PN 25, Cam Elyaf Takviyeli Boru, PPRC, 4 m, Çap=20 mm",KALDE.3202TFR200020,KALDE,Birim: Adet,Adet,"93,00",TRY,https://yapimaks.com/20-kompozit-boru-pprc-4-m-kalde-p4766,2026-03-19 15:10:02
