item_name,price,category,color,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
V Yaka Uzun Elbise,1790.0,Keten karışımlı,Açık sarı,03,0.0,0.0,0.0,0.0
Askılı keten karışımlı top,990.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,0.0,0.0
Askılı keten karışımlı top,990.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Bohem midi etek,1390.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Bohem midi etek,1390.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,0.0
Bohem midi etek,1390.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Dökümlü kruvaze blazer,2290.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Dökümlü kruvaze blazer,2290.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Dökümlü kruvaze blazer,2290.0,Keten karışımlı,Mavi,03,0.0,0.0,0.0,0.0
Keten görünümlü çapraz askılı top,790.0,Keten karışımlı,Altın rengi,03,0.0,0.0,0.0,0.0
Keten görünümlü çapraz askılı top,790.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Keten görünümlü çapraz askılı top,790.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Asimetrik püsküllü kısa elbise,1590.0,Keten karışımlı,Kahverengi,03,0.0,0.0,,
basic keten görünümlü yelek,1490.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Keten görünümlü düğmeli yelek,1490.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,0.0
Düz kesim dökümlü kemerli pantolon,1590.0,Keten karışımlı,Ekru,03,0.0,,,
Düz kesim dökümlü kemerli pantolon,1590.0,Keten karışımlı,Siyah,03,0.0,,,
Düz kesim dökümlü kemerli pantolon,1590.0,Keten karışımlı,Lacivert,03,0.0,,,
Düz kesim dökümlü kemerli pantolon,1590.0,Keten karışımlı,Açık gri,03,0.0,,,
Düz kesim dökümlü kemerli pantolon,1590.0,Keten karışımlı,Koyu Gri,03,0.0,,,
Düz kesim dökümlü kemerli pantolon,1590.0,Keten karışımlı,Kahverengi,03,0.0,,,
Düz kesim dökümlü kemerli pantolon,1590.0,Keten karışımlı,Mor,03,0.0,,,
Sırtı bağcıklı dökümlü mini elbise,1590.0,Keten karışımlı,Açık mavi,03,0.0,0.0,,
Sırtı bağcıklı dökümlü mini elbise,1590.0,Keten karışımlı,Ekru,03,0.0,0.0,,
Sırtı bağcıklı dökümlü mini elbise,1590.0,Keten karışımlı,Kahverengi,03,0.0,0.0,,
Dökümlü Sarong Pantolon,1490.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,0.0
Dantel detaylı kısa elbise,1690.0,Keten karışımlı,Pembe,03,0.0,0.0,0.0,0.0
Dantel detaylı kısa elbise,1690.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
"Keten karışımlı, kısa, dantel elbis",1590.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
"Keten karışımlı, kısa, dantel elbis",1590.0,Keten karışımlı,Turuncu,03,0.0,0.0,0.0,0.0
Askılı fırfırlı kısa elbise,1590.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Askılı fırfırlı kısa elbise,1590.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,0.0,0.0
"Metalik iplikli, keten görünümlü, dökümlü pantolon",1590.0,Keten karışımlı,Mavi,03,0.0,0.0,0.0,
"Metalik iplikli, keten görünümlü, dökümlü pantolon",1590.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,
Basic keten karışımlı yelek,1490.0,Keten karışımlı,Mavi,03,0.0,0.0,0.0,
Qipao halter düğmeli top,1090.0,Keten karışımlı,Koyu mavi,03,0.0,0.0,0.0,0.0
Metalik iplikli rustik şort,650.0,Keten karışımlı,Açık mavi,03,0.0,-40.36697247706422,-40.36697247706422,
Düğmeli dökümlü gömlek,1090.0,Keten karışımlı,Mavi,03,0.0,0.0,0.0,
Düğmeli dökümlü gömlek,1090.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,
Düğmeli dökümlü gömlek,1090.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,
Düğmeli dökümlü gömlek,1090.0,Keten karışımlı,Lacivert,03,0.0,0.0,0.0,
Düğmeli dökümlü gömlek,1090.0,Keten karışımlı,Açık mavi,03,0.0,0.0,0.0,
Düğmeli dökümlü gömlek,1090.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,
Düğmeli dökümlü gömlek,1090.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,
Düğmeli dökümlü gömlek,1090.0,Keten karışımlı,Mor,03,0.0,0.0,0.0,
Keten Karışımlı Geniş Yaka Triko Bluz,1090.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,
Keten Karışımlı Geniş Yaka Triko Bluz,1090.0,Keten karışımlı,Pembe,03,0.0,0.0,0.0,
Keten Karışımlı Geniş Yaka Triko Bluz,1090.0,Keten karışımlı,Açık sarı,03,0.0,0.0,0.0,
Keten Karışımlı Culotte Pantolon,1490.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,
Volanlı dökümlü etek pantolon,1190.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,0.0
Volanlı dökümlü etek pantolon,1190.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
"Sırt dekolteli, parlak detaylı kısa elbise",1790.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,0.0,0.0
Dökümlü kruvaze pantolon,1590.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,
Çizgili ketenli dökümlü pantolon,1190.0,Keten karışımlı,Gri,03,0.0,0.0,0.0,
İşlemeli mini şort,1590.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,
Saten görünümlü dökümlü uzun elbise,1590.0,Keten karışımlı > Üst,Fuşya,03,0.0,0.0,0.0,
Saten görünümlü dökümlü uzun elbise,1590.0,Keten karışımlı > Üst,Koyu bej,03,0.0,0.0,0.0,
Düğmeli kolsuz top,990.0,Keten karışımlı > Üst,Krem rengi,03,0.0,0.0,0.0,
Düğmeli kolsuz top,990.0,Keten karışımlı > Üst,Beyaz,03,0.0,0.0,,
Düğmeli kolsuz top,990.0,Keten karışımlı > Üst,Kahverengi,03,0.0,0.0,,
Düğmeli kolsuz top,990.0,Keten karışımlı > Üst,Mor,03,0.0,0.0,,
Pensli klasik pantolon,1590.0,Keten karışımlı > Alt,Ekru,03,0.0,0.0,0.0,0.0
Hacimli kareli pantolon,1790.0,İkili takımlar,Pembe,03,0.0,,,
Korse büstiyer bluz,1190.0,İkili takımlar,Pembe,03,0.0,,,
Saten işlemeli qipao top,1490.0,İkili takımlar,Açık mavi,03,0.0,,,
Japandi jakarlı şort etek,1490.0,İkili takımlar,Açık mavi,03,0.0,,,
Pullu halter top,990.0,İkili takımlar,Ekru,03,0.0,,,
Pullu halter top,990.0,İkili takımlar,Pembe,03,0.0,,,
Pullu halter top,990.0,İkili takımlar,Kahverengi,03,0.0,,,
Pullu mini etek,1190.0,İkili takımlar,Ekru,03,0.0,,,
Pullu mini etek,1190.0,İkili takımlar,Pembe,03,0.0,,,
Pullu mini etek,1190.0,İkili takımlar,Kahverengi,03,0.0,,,
Balon büstiyer top,1090.0,İkili takımlar,Beyaz,03,0.0,,,
Balon büstiyer top,1090.0,İkili takımlar,Altın rengi,03,0.0,,,
Katlı poplin etek,1590.0,İkili takımlar,Beyaz,03,0.0,,,
"Kısa, çıkarılabilir kapüşonlu şişme trençkot",2790.0,İkili takımlar,Bej,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Bej,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Siyah,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Açık mavi,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Kırmızı,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Pembe,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Koyu Gri,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Açık sarı,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Kahverengi,03,0.0,,,
Yan yırtmaçlı şort etek,1190.0,İkili takımlar,Mor,03,0.0,,,
"Balon jogger pantolon, katlamalı bel, yumuşak doku",950.0,İkili takımlar,Krem rengi,03,0.0,,,
"Balon jogger pantolon, katlamalı bel, yumuşak doku",1590.0,İkili takımlar,Siyah,03,0.0,,,
"Balon jogger pantolon, katlamalı bel, yumuşak doku",950.0,İkili takımlar,Koyu lacivert,03,0.0,,,
"Balon jogger pantolon, katlamalı bel, yumuşak doku",1590.0,İkili takımlar,Açık gri,03,0.0,,,
Yumuşak dokulu yarasa kollu sweatshirt,1490.0,İkili takımlar,Krem rengi,03,0.0,,,
Yumuşak dokulu yarasa kollu sweatshirt,890.0,İkili takımlar,Siyah,03,0.0,,,
Yumuşak dokulu yarasa kollu sweatshirt,890.0,İkili takımlar,Koyu lacivert,03,0.0,,,
Yumuşak dokulu yarasa kollu sweatshirt,1490.0,İkili takımlar,Açık gri,03,0.0,,,
Halter yaka t-shirt,590.0,İkili takımlar,SOLUK EFEKTLİ GRİ DENIM,03,0.0,,,
Halter yaka t-shirt,590.0,İkili takımlar,Siyah,03,0.0,,,
Halter yaka t-shirt,590.0,İkili takımlar,Beyaz,03,0.0,,,
Halter yaka t-shirt,590.0,İkili takımlar,Açık pembe,03,0.0,,,
Halter yaka t-shirt,590.0,İkili takımlar,Açık sarı,03,0.0,,,
Halter yaka t-shirt,590.0,İkili takımlar,Kahverengi,03,0.0,,,
Katlanabilir belli mini şort,790.0,İkili takımlar,SOLUK EFEKTLİ GRİ DENIM,03,0.0,,,
Katlanabilir belli mini şort,790.0,İkili takımlar,Siyah,03,0.0,,,
Kapri jean,1590.0,İkili takımlar,Beyaz,03,0.0,,,
Militer denim blazer,2990.0,İkili takımlar,Beyaz,03,0.0,,,
Hacimli poplin pantolon,1590.0,İkili takımlar,Kiremit rengi,03,0.0,,,
Hacimli poplin pantolon,950.0,İkili takımlar,Siyah,03,0.0,,,
Hacimli poplin pantolon,950.0,İkili takımlar,Beyaz,03,0.0,,,
Hacimli poplin pantolon,950.0,İkili takımlar,Açık mavi,03,0.0,,,
Askılı büzgülü top,1090.0,İkili takımlar,Kiremit rengi,03,0.0,,,
"Yumuşak dokulu, açık omuzlu sweatshirt",1490.0,İkili takımlar,Siyah,03,0.0,,,
"Yumuşak dokulu, açık omuzlu sweatshirt",1490.0,İkili takımlar,Koyu lacivert,03,0.0,,,
"Yumuşak dokulu, açık omuzlu sweatshirt",1490.0,İkili takımlar,Koyu mavi,03,0.0,,,
"Yumuşak dokulu, açık omuzlu sweatshirt",1490.0,İkili takımlar,Pembe,03,0.0,,,
"Yumuşak dokulu, açık omuzlu sweatshirt",1490.0,İkili takımlar,Gri,03,0.0,,,
"Yumuşak dokulu, açık omuzlu sweatshirt",1490.0,İkili takımlar,Kahverengi,03,0.0,,,
