Category,Product Name,Price,Date,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akülü Vidalamalar,Gsr 120 Li 2 Ah Çift Akülü Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇ + Bosch V-line 103 Parça Uç Seti,8999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li 3 Ah Çift Bataryalı Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇ + Bosch V-line 103 Parça Uç Seti,9999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li 3 Ah Tek Akülü Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇,7499.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li Darbesiz 2 Ah Tek Akülü Vidalama Ve Bosch V-line 103 Parça Delme Ve Vidalama Seti,5999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li Darbesiz 2 Ah Tek Akülü Vidalama,4999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Butools 450 Nm Akülü Somun Bijon Sökme Takma Sikma Makinesi Matkap Vidalama Kömürsüz Motor,3800.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 183 Li 2 Ah Takip Göstergeli Tek Bataryalı Akülü Vidalama,6999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li Darbesiz 3 Ah Tek Akülü Vidalama,5499.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,"Tomax Bi̇ts Saplı Mandren ( Küçük ) 0,5 - 3,5 Mm 1/4’’",560.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 183 Li 2 Ah Takip Göstergeli Tek Batarya Ve Bosch V-line 103 Parça Delme Ve Vidalama Seti,7999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 183 Li 2 Ah Takip Göstergeli Çift Bataryalı Akülü Vidalama,8999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li Darbesiz 2 Ah Çift Akülü Vidalama Ve Bosch V-line 103 Parça Uç Seti,6999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Pst 145 T Darbeli̇ Şarjli Vi̇dalama Tornavi̇da,5814.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,"Tomax Bi̇ts Saplı Mandren ( Büyük ) 0,5 - 6,5 Mm 1/4’’",740.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İki̇li̇ Set Mk350 (ş.dekupaj+s.sikma),4035.0,2026.05.08,05,,,,
Akülü Vidalamalar,"Çift Taraflı Uç Ph1/pz1-0,60/1,0 Mm 3&#039;lü Çift Taraflı 2607001745",403.0,2026.05.08,05,,,,
Akülü Vidalamalar,Te-cd 18/50 Li-i Bl Solo Kömürsüz Akülü Darbeli Matkap - 4513942,3049.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Şarjlı Yedek Batarya 21v,759.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Milwaukee Bits Yıldız Uç Vidalama Matkap Ucu Pz2 x 50mm -10 Adet,747.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Te-cd 18 Li-i Bl Akülü Darbeli Vidalama + Pxc Starter Kit Akü 18v 2.5ah + Şarj Cihazı 900w - 4513860,4733.57,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 18v-45 Çift Akülü 2.0 Ah Darbeli Vidalama + 63 Parça Aksesuar Seti,10218.0,2026.05.08,05,0.4620981221118868,,,
Akülü Vidalamalar,Gsb 18v-65 + Gws 18v-11 + Gbh 18v-24 C 3x5.0ah,40337.0,2026.05.08,05,0.260986279578445,,,
Akülü Vidalamalar,Gsr 18v-90 C Çift Akülü 5 Ah Vidalama Makinesi,21434.0,2026.05.08,05,0.4687353520202494,,,
Akülü Vidalamalar,Mclaren Dcf85mp2t-qw 18v 2x5ah Akülü Darbeli Vidalama,16717.0,2026.05.08,05,0.46274038461538464,,,
Akülü Vidalamalar,- Impact Control Serisi Vidalama Ucu 8&#039;li Ph1/ph2x3/ph3/pz2x2/pz3 *50mm,741.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Profesyonel 12v Çift Akülü Vidalama 84 Parça &amp; 12 Köşe 360° Lazer Hizalama Set,2999.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,12v Çift Akülü Metal Şanzıman Şarjlı Darbeli Matkap Akülü Vidalama,1249.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Dd20s-40tt 20v Akülü Matkap 40nm 2 Vites Led 2.0ah + Şarj,5440.5,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Yedi̇li̇ Set (powerbank&amp;led+ Ş.hilti+ş.spral+s.sıkma+13mm Ç.mandren+ş.dekupaj+sunta Kesme),10780.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gdr 18v-220c + Gsr 18v-90c Vidalama + 2x4 Akü Kombi Seti,26370.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Atbl 16 Id-202c 2x2.0 Ah Çift Akülü Kömürsüz Darbeli Vidalama 16v - A0104084,3216.8,2026.05.08,05,0.0,,,
Akülü Vidalamalar,"Professional Tp-cd 18/70 Li-i Bl (2x2,0ah)  Akülü Darbeli Vidalama  + Einhell Vidalama Uç Seti 42 Parça M-case Kutu",8868.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,X-line 40 Parça Titanyum Karışık Aksesuar Seti 2607019600,921.4,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Rtx2022b Şarjlı Darbeli Vidalama Aküsüz,3775.55,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 18v-45 Çift Akülü 2.0 Ah Vidalama + 63 Parça Aksesuar Seti,10538.0,2026.05.08,05,0.2664129400570885,,,
Akülü Vidalamalar,X-line Premium Delme Ve Vidalama Ucu Aksesuar Seti 49 Parça- 2608p00233,1198.0,2026.05.08,05,0.5877413937867338,,,
Akülü Vidalamalar,Sfmck217m1s Matkap + Somun Sıkma Seti,11163.0,2026.05.08,05,0.7309149972929074,,,
Akülü Vidalamalar,V-line 91 Parça Vidalama Ve Matkap Ucu Aksesuar Seti - 2607017195,1964.0,2026.05.08,05,0.35769034236075625,,,
Akülü Vidalamalar,Kwb 31 Parça Bits Seti 49107100,579.99,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Tp-cd 18/60 Li-i Bl Solo Akülü Darbeli Vidalama + 2 X 2.5 Ah Starter Kit Akü,6575.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Bosch Pro Impact Pz2 90 Mm Yıldız Vidalama Ucu 2608522547,326.99,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Bosch Pro Impact Pz2 150 Mm Yıldız Vidalama Ucu 2608522548,407.49,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Sgs Sgs5529 Akülü Vidalama Seti 20w 2x2.0ah 60nm,3299.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,"Dcf850p2t-qw  Kömürsüz Darbeli Tornavida 18v 5,0ah 206nm",22199.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,1320 20 V 2.0 Ah Kömürsüz Li-ion Çift Akülü Darbeli Vidalama,3050.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Impact Control Serisi Vidalama Ucu 8&#039;li PZ2 *50mm,417.0,2026.05.08,05,0.0,,,
