Title,Weekly Inflation(%)
CHEETOS FIRINDAN 41 GR BIFTEK AILEPLUS,0.0
CHEETOS FIRINDAN 41 GR PEYNIR AILEPLUS,0.0
CHUPA CHUPS MELODY POPS CILEK 15 GR,0.0
CIF JEL 750 ML CICEK FERAHLIGI,0.0
CIF KREM 500ML AMONYAKLI,0.0
CIF KREM 500ML LIMON,0.0
CIF KREM 750  GR AMONYAKLI+LIMON 750 GR,0.0
CIF KREM 750ML AMONYAK,0.0
CIF KREM 750ML LIMON,0.0
CIF KREM SPREY 750 ML AMONYAKLI,0.0
CIF SPREY POWER BANYO 750 ML,0.0
CIF SPREY POWER MUTFAK 750 ML,0.0
CILLIT BANG 500ML TURBO LAVABO ACICI JEL,0.0
CIPSO 104 GR KETCAP S.PLUS,0.0
CIPSO 104 GR ORJINAL S.PLUS,0.0
CIPSO YOGURT S.PLUS 104 GR,0.0
CIRE ASEPTINE 150 MLVAZELİN KLASIK,-40.00500062507813
CIRE ASEPTINE 30 ML ALOE VERA EL VUCUT KREMI(FANUS,-44.46091144868469
CIRE ASEPTINE SOFT 100 ML  ALOE VERA EL YÜZ VÜCUT,-40.00666777796299
CIZMECI 65 GR WAFER MASTER FINDIKLI,0.0
CIZMECI CREPE FINDIKLI 65 GR,0.0
CIZMECI WAFER MASTER 120 GR,0.0
CLEAR MEN 350 ML SAMPUAN COOL SPORT,0.0
CLEAR MEN 350 ML SAMPUAN HIZLI STIL 2N1,0.0
CLEAR MEN 350 ML SAMPUAN LEGEND BY CR7 RONALDO,0.0
CLEAR MEN 350 ML SAMPUAN MAXIMUM FERHALIK,0.0
CLEAR MEN 350 ML SAMPUAN SAC DOKULMESINE KARSI,0.0
CLEAR MEN 350 ML SAMPUAN YOGUN ARINDIRICI,0.0
CLEAR MEN 350ML SAMP.GUNLUK ARINMA&FERAHLIK,0.0
COFFEE BARDAK 400ML 9122,0.0
COLGATE 250 ML PLAX AGIZ BAKIM SUYU MAVI,-11.111728429357186
COLGATE 500 MLPLAX AGIZ BAKIM SUYU MAVI,-9.09118458135095
COLGATE D.FIRCASI 360 1+1 OPTIK BEYAZ ORTA,-5.714448984256693
COLGATE D.FIRCASI 360 1+1 ORTA,-5.714448984256693
