product_id,product_name,category,price
17536,Pakmaya Kakaolu Puding 155 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"876,00TL"
20354,Ülker Pul Çikolata Sütlü 100 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"129,00TL"
20456,Kent Boringer Çikolatalı Topping Sos 750 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"165,00TL"
21474,Dr.Oetker Orman Meyveli 81 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"33,90TL"
22542,Bizim Krem Şanti Bitkisel Yağlı 1 L,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"125,00TL"
23292,Kent Boringer Krem Şanti 3x75 G,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"59,90TL"
11943,Dr.Oetker Kuru Hamur Mayası 3x10 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"26,90TL"
12022,Nuh Un Ankara İrmik 500 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"37,90TL"
12065,Ülker Toz Kakao 25 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"24,25TL"
12506,Dr.Oetker Kakaolu Kek Karışımı 350 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"81,90TL"
12693,Pendik Mısır Nişastası 25 Kg,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"745,00TL"
13011,Pakmaya Instant Kuru Hamur Mayası 3x10 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"636,00TL"
17482,Pakmaya Şekerli Vanilin 10x5 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"18,90TL"
17529,Pakmaya Sade Krem Şanti 75 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"35,90TL"
17534,Pakmaya Çikolatalı Sos 125 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"197,60TL"
21475,Dr.Oetker Çikolatalı Muffin 345 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"155,00TL"
22291,Dr. Oetker Çikolatalı Sos 123 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"57,90TL"
22293,Dr.Oetker Sade Krem Şanti Eko 4x72 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"139,00TL"
22424,Dr Oetker Profiterol 305 G,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"880,00TL"
