item_name,price,tarih,kategori,para_birimi
Calve Ballı Hardal Sos 260 Gr,166.0,2026-03-21,temel-gida,TRY
Calve Hardal Sos 250 Gr,151.5,2026-03-21,temel-gida,TRY
Calve Ketçap Acılı 400 Gr,113.5,2026-03-21,temel-gida,TRY
Calve Ketçap Acılı 600 Gr,132.5,2026-03-21,temel-gida,TRY
Calve Ketçap Tatlı 400 Gr,113.5,2026-03-21,temel-gida,TRY
Calve Ketçap Tatlı 600 Gr,132.5,2026-03-21,temel-gida,TRY
Calve Köri Sos 260 Gr,122.5,2026-03-21,temel-gida,TRY
Calve Mayonez 350 Gr,148.0,2026-03-21,temel-gida,TRY
Calve Mayonez 540 Gr,181.0,2026-03-21,temel-gida,TRY
Calve Ranch Sos 245 Gr,122.5,2026-03-21,temel-gida,TRY
Calve Sarımsaklı Mayonez 245 Gr,122.5,2026-03-21,temel-gida,TRY
Calve Tatlı Set Ketçap 600 Gr Mayonez 540 Gr,196.0,2026-03-21,temel-gida,TRY
Cemkar Esmer Küp Şeker 500 Gr,100.5,2026-03-21,temel-gida,TRY
Cemkar Stick Tuz 800 Gr,56.5,2026-03-21,temel-gida,TRY
Damla Aşurelik Buğday 1 Kg,70.0,2026-03-21,temel-gida,TRY
Damla Barbunya 500 Gr,133.5,2026-03-21,temel-gida,TRY
Damla Börülce 500 Gr,103.0,2026-03-21,temel-gida,TRY
Damla Çiğ Köftelik Bulgur 1 Kg,80.5,2026-03-21,temel-gida,TRY
Damla Dermason Fasulye 1 Kg,157.0,2026-03-21,temel-gida,TRY
Damla Dermason Fasulye 2 Kg,319.0,2026-03-21,temel-gida,TRY
Damla Dermason Fasulye 5 Kg,771.5,2026-03-21,temel-gida,TRY
Damla Gönen Baldo Pirinç 1 Kg,196.5,2026-03-21,temel-gida,TRY
Damla Gönen Baldo Pirinç 2 Kg,399.0,2026-03-21,temel-gida,TRY
Damla Gönen Baldo Pirinç 5 Kg,931.0,2026-03-21,temel-gida,TRY
Damla İspanyol Nohut 1 Kg,232.5,2026-03-21,temel-gida,TRY
Damla Kırmızı Mercimek 1 Kg,129.5,2026-03-21,temel-gida,TRY
Damla Kırmızı Mercimek 2 Kg,256.0,2026-03-21,temel-gida,TRY
Damla Kırmızı Mercimek 5 Kg,634.5,2026-03-21,temel-gida,TRY
Damla Koçbaşı Nohut 1 Kg,175.5,2026-03-21,temel-gida,TRY
Damla Koçbaşı Nohut 2 Kg,350.5,2026-03-21,temel-gida,TRY
Damla Koçbaşı Nohut 9 Mm 5 Kg,808.5,2026-03-21,temel-gida,TRY
Damla Köftelik Bulgur 1 Kg,83.0,2026-03-21,temel-gida,TRY
Damla Köftelik Bulgur 2 Kg,180.5,2026-03-21,temel-gida,TRY
Damla Maş Fasulyesi 500 Gr,80.5,2026-03-21,temel-gida,TRY
Damla Mısır (Popcorn) 1 Kg,75.0,2026-03-21,temel-gida,TRY
Damla Osmancık Pirinç 1 Kg,171.0,2026-03-21,temel-gida,TRY
Damla Osmancık Pirinç 2 Kg,252.0,2026-03-21,temel-gida,TRY
Damla Osmancık Pirinç 5 Kg,803.0,2026-03-21,temel-gida,TRY
Damla Pilavlık Bulgur 1 Kg,83.0,2026-03-21,temel-gida,TRY
Damla Pilavlık Bulgur 2 Kg,167.5,2026-03-21,temel-gida,TRY
Damla Pilavlık Bulgur 5 Kg,436.0,2026-03-21,temel-gida,TRY
Damla Sarı Mercimek 1 Kg,204.0,2026-03-21,temel-gida,TRY
Damla Trakya Baldo Pirinç 2 Kg,324.5,2026-03-21,temel-gida,TRY
Damla Trakya Baldo Pirinç 5 Kg,879.0,2026-03-21,temel-gida,TRY
Damla Trakya Pirinç 1 Kg,186.0,2026-03-21,temel-gida,TRY
Damla Yeşil Mercimek 1 Kg,162.0,2026-03-21,temel-gida,TRY
Damla Yeşil Mercimek 2 Kg,328.5,2026-03-21,temel-gida,TRY
Damla Yeşil Mercimek 5 Kg,782.0,2026-03-21,temel-gida,TRY
Dardanel Ekonomik Ton Balığı 4×75 Gr,266.0,2026-03-21,temel-gida,TRY
Doğalsan Organik Siyez Unu 500 Gr,100.5,2026-03-21,temel-gida,TRY
Doğalsan Organik Tam Buğday Unu 1 Kg,146.5,2026-03-21,temel-gida,TRY
Doğalsan Yulaf Kepeği 400 Gr,84.5,2026-03-21,temel-gida,TRY
Doğalsan Yulaf Unu 1 Kg,137.5,2026-03-21,temel-gida,TRY
Dola Glutensiz Fıstık Ezmesi Şekersiz 320 Gr,264.0,2026-03-21,temel-gida,TRY
Dola Glutensiz Fıstık Parçacıklı 350 Gr,264.0,2026-03-21,temel-gida,TRY
Dola Glutensiz Mısır İrmiği 400 Gr,115.5,2026-03-21,temel-gida,TRY
Dola Glutensiz Natural Beyaz Kinoa 400 Gr,258.5,2026-03-21,temel-gida,TRY
Dola Glutensiz Natural Chia Tohumu 400 Gr,269.0,2026-03-21,temel-gida,TRY
Dola Glutensiz Natural Keten Tohumu 400 Gr,145.5,2026-03-21,temel-gida,TRY
Dola Waspco Hindistan Cevizli Proteinli Bar 50 Gr,97.0,2026-03-21,temel-gida,TRY
Dolco Yumurtalı Erişte Noodle 354 Gr,106.0,2026-03-21,temel-gida,TRY
Dr.Oetker 15 Li Şekerli Vanilin,38.5,2026-03-21,temel-gida,TRY
Dr.Oetker 150 Gr Bugday Nısasta,53.5,2026-03-21,temel-gida,TRY
Dr.Oetker 315Gr Trılece (Karamel),142.5,2026-03-21,temel-gida,TRY
Dr.Oetker 70 Gr Sut.Bıt.Byz.Parcaları,197.0,2026-03-21,temel-gida,TRY
Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilyalı 34 Gr,36.5,2026-03-21,temel-gida,TRY
Dr.Oetker Bitter Çikolatalı Puding 111 Gr,60.5,2026-03-21,temel-gida,TRY
Dr.Oetker Çikolata Parçacıklı Puding 115 Gr,60.5,2026-03-21,temel-gida,TRY
Dr.Oetker Çikolatalı Antep Fıstıklı Puding 100 Gr,60.5,2026-03-21,temel-gida,TRY
Dr.Oetker Çikolatalı Bademli Puding 104 Gr,60.5,2026-03-21,temel-gida,TRY
Dr.Oetker Çikolatalı Fındıklı Puding 102 Gr,60.5,2026-03-21,temel-gida,TRY
Dr.Oetker Çikolatalı Sos 123 Gr,81.5,2026-03-21,temel-gida,TRY
Dr.Oetker Çilek Aromalı Bitkisel Jel 100 Gr,57.5,2026-03-21,temel-gida,TRY
Dr.Oetker Creme Ole Çikolata 114 gr,73.5,2026-03-21,temel-gida,TRY
Dr.Oetker Dekor Süsü Gümüş 10 Gr,41.0,2026-03-21,temel-gida,TRY
Dr.Oetker Dekor Süsü Kakaolu 10 Gr,41.0,2026-03-21,temel-gida,TRY
