tarih,kategori,urun_adi,fiyat,para_birimi
2026-04-20,temel-gida,Damla Aşurelik Buğday 1 Kg,70.50,TRY
2026-04-20,temel-gida,Damla Barbunya 500 Gr,134.00,TRY
2026-04-20,temel-gida,Damla Börülce 500 Gr,103.50,TRY
2026-04-20,temel-gida,Damla Çiğ Köftelik Bulgur 1 Kg,78.50,TRY
2026-04-20,temel-gida,Damla Dermason Fasulye 1 Kg,158.00,TRY
2026-04-20,temel-gida,Damla Dermason Fasulye 2 Kg,321.00,TRY
2026-04-20,temel-gida,Damla Dermason Fasulye 5 Kg,786.00,TRY
2026-04-20,temel-gida,Damla Gönen Baldo Pirinç 1 Kg,187.00,TRY
2026-04-20,temel-gida,Damla Gönen Baldo Pirinç 2 Kg,401.50,TRY
2026-04-20,temel-gida,Damla Gönen Baldo Pirinç 5 Kg,955.50,TRY
2026-04-20,temel-gida,Damla İspanyol Nohut 1 Kg,234.50,TRY
2026-04-20,temel-gida,Damla Kırmızı Mercimek 1 Kg,122.00,TRY
2026-04-20,temel-gida,Damla Kırmızı Mercimek 2 Kg,258.00,TRY
2026-04-20,temel-gida,Damla Kırmızı Mercimek 5 Kg,646.00,TRY
2026-04-20,temel-gida,Damla Koçbaşı Nohut 1 Kg,176.50,TRY
2026-04-20,temel-gida,Damla Koçbaşı Nohut 2 Kg,352.50,TRY
2026-04-20,temel-gida,Damla Koçbaşı Nohut 9 Mm 5 Kg,825.00,TRY
2026-04-20,temel-gida,Damla Köftelik Bulgur 1 Kg,80.50,TRY
2026-04-20,temel-gida,Damla Köftelik Bulgur 2 Kg,181.50,TRY
2026-04-20,temel-gida,Damla Maş Fasulyesi 500 Gr,81.00,TRY
2026-04-20,temel-gida,Damla Mısır (Popcorn) 1 Kg,68.50,TRY
2026-04-20,temel-gida,Damla Osmancık Pirinç 1 Kg,160.00,TRY
2026-04-20,temel-gida,Damla Osmancık Pirinç 2 Kg,348.00,TRY
2026-04-20,temel-gida,Damla Osmancık Pirinç 5 Kg,818.50,TRY
2026-04-20,temel-gida,Damla Pilavlık Bulgur 1 Kg,80.50,TRY
2026-04-20,temel-gida,Damla Pilavlık Bulgur 2 Kg,168.00,TRY
2026-04-20,temel-gida,Damla Pilavlık Bulgur 5 Kg,443.00,TRY
2026-04-20,temel-gida,Damla Sarı Mercimek 1 Kg,205.50,TRY
2026-04-20,temel-gida,Damla Trakya Baldo Pirinç 2 Kg,382.00,TRY
2026-04-20,temel-gida,Damla Trakya Baldo Pirinç 5 Kg,896.50,TRY
2026-04-20,temel-gida,Damla Trakya Pirinç 1 Kg,187.50,TRY
2026-04-20,temel-gida,Damla Yeşil Mercimek 1 Kg,163.00,TRY
2026-04-20,temel-gida,Damla Yeşil Mercimek 2 Kg,330.50,TRY
2026-04-20,temel-gida,Damla Yeşil Mercimek 5 Kg,797.00,TRY
2026-04-20,temel-gida,Dardanel Ekonomik Ton Balığı 4×75 Gr,233.00,TRY
2026-04-20,temel-gida,Doğalsan Organik Tam Buğday Unu 1 Kg,147.50,TRY
2026-04-20,temel-gida,Doğalsan Yulaf Kepeği 400 Gr,85.00,TRY
2026-04-20,temel-gida,Doğalsan Yulaf Unu 1 Kg,138.50,TRY
2026-04-20,temel-gida,Dola Glutensiz Fıstık Ezmesi Şekersiz 320 Gr,266.00,TRY
2026-04-20,temel-gida,Dola Glutensiz Fıstık Parçacıklı 350 Gr,266.00,TRY
2026-04-20,temel-gida,Dola Glutensiz Karabuğday Unu 750 Gr,246.00,TRY
2026-04-20,temel-gida,Dola Glutensiz Mısır İrmiği 400 Gr,116.50,TRY
2026-04-20,temel-gida,Dola Glutensiz Natural Beyaz Kinoa 400 Gr,260.50,TRY
2026-04-20,temel-gida,Dola Glutensiz Natural Chia Tohumu 400 Gr,270.50,TRY
2026-04-20,temel-gida,Dola Glutensiz Natural Keten Tohumu 400 Gr,146.50,TRY
2026-04-20,temel-gida,Dolco Yumurtalı Erişte Noodle 354 Gr,106.50,TRY
2026-04-20,temel-gida,Dr.Oetker 15 Li Şekerli Vanilin,45.50,TRY
2026-04-20,temel-gida,Dr.Oetker 150 Gr Bugday Nısasta,53.50,TRY
2026-04-20,temel-gida,Dr.Oetker 315Gr Trılece (Karamel),143.50,TRY
2026-04-20,temel-gida,Dr.Oetker 70 Gr Sut.Bıt.Byz.Parcaları,198.50,TRY
2026-04-20,temel-gida,Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilyalı 34 Gr,37.00,TRY
2026-04-20,temel-gida,Dr.Oetker Bitter Çikolata Sosu 125 Gr,82.00,TRY
2026-04-20,temel-gida,Dr.Oetker Bitter Çikolatalı Puding 111 Gr,60.50,TRY
2026-04-20,temel-gida,Dr.Oetker Çikolata Parçacıklı Puding 115 Gr,60.50,TRY
2026-04-20,temel-gida,Dr.Oetker Çikolatalı Antep Fıstıklı Puding 100 Gr,60.50,TRY
2026-04-20,temel-gida,Dr.Oetker Çikolatalı Bademli Puding 104 Gr,60.50,TRY
2026-04-20,temel-gida,Dr.Oetker Çikolatalı Fındıklı Puding 102 Gr,60.50,TRY
2026-04-20,temel-gida,Dr.Oetker Çikolatalı Sos 123 Gr,82.00,TRY
2026-04-20,temel-gida,Dr.Oetker Çilek Aromalı Bitkisel Jel 100 Gr,58.00,TRY
2026-04-20,temel-gida,Dr.Oetker Çilekli Puding 120 Gr,49.50,TRY
2026-04-20,temel-gida,Dr.Oetker Creme Ole Çikolata 114 gr,74.00,TRY
2026-04-20,temel-gida,Dr.Oetker Dekor Süsü Gümüş 10 Gr,41.00,TRY
2026-04-20,temel-gida,Dr.Oetker Dekor Süsü Kakaolu 10 Gr,41.00,TRY
2026-04-20,temel-gida,Dr.Oetker Dekor Süsü Konfeti 10 Gr,41.00,TRY
