Product Title,Category,Weekly Inflation(%)
%100 PAMUKLU ÇİÇEKLİ 2'Lİ ATLET KIZ ÇOCUK,Women,0.0
1 TOG ELYAF TULUM ERKEK BEBEK,Women,0.0
2'Lİ ATLET ERKEK ÇOCUK,Women,0.0
2'Lİ BİKİNİ KIZ ÇOCUK,Women,0.0
2'Lİ ERKEK BEBEK PİJAMA TAKIMI,Women,0.0
2'Lİ KIZ ÇOCUK BİKİNİ,Women,0.0
2'Lİ KURDELE SAÇ TOKASI KIZ ÇOCUK,Women,0.0
2'Lİ MAYO,Women,0.0
2'Lİ OXFORD GÖMLEK KIZ ÇOCUK,Women,0.0
2'Lİ PAMUKLU DİZ ALTI ÇORAP,Women,0.0
2'Lİ PAMUKLU UZUN ÇORAP,Women,-6.250390649415588
2'Lİ PAMUKLU UZUN ÇORAP KIZ BEBEK,Women,0.0
2'Lİ PİJAMA TAKIM,Women,0.0
2'Lİ PİJAMA TAKIMI KIZ BEBEK,Women,0.0
2'Lİ SAÇ AKSESUARI KIZ ÇOCUK,Women,0.0
2'Lİ SLİP KÜLOT,Women,0.0
2'Lİ TAKIM,Women,2.8117059914696
2'Lİ TAKIM DESENLİ GÖMLEK PANTOLON ERKEK BEBEK,Women,0.0
2'Lİ TAKIM DİNOZOR BASKILI SWEATSHİRT ALT ERKEK BEBEK,Women,0.0
2'Lİ TAKIM ERKEK ÇOCUK,Women,0.0
2'Lİ TAKIM KIZ BEBEK,Women,0.0
2'Lİ TAKIM KIZ ÇOCUK,Women,0.0
2'Lİ TAKIM SWEATSHİRT ALT ERKEK BEBEK,Women,0.0
2'Lİ TERMAL KIŞLIK ÇORAP,Women,0.0
2'Lİ UZUN ÇORAP,Women,0.0
3'LÜ,Women,17.64757786993735
3'LÜ BAMBU PATİK ÇORAP,Women,0.0
3'LÜ HİPSTER KÜLOT,Women,0.0
3'LÜ KALPLİ SAÇ AKSESUARI KIZ ÇOCUK,Women,0.0
3'LÜ KURDELE TOKA KIZ ÇOCUK,Women,0.0
3'LÜ KÜLOT SET,Women,0.0
3'LÜ PAMUKLU HAVLU ÇORAP ERKEK BEBEK,Women,0.0
3'LÜ PAMUKLU PATİK ÇORAP,Women,0.0
3'LÜ PAMUKLU PATİK ÇORAP KIZ ÇOCUK,Women,0.0
3'LÜ PAMUKLU UZUN ÇORAP,Women,0.0
3'LÜ PAMUKLU UZUN ÇORAP ERKEK ÇOCUK,Women,0.0
3'LÜ PATİK ÇORAP,Women,0.0
3'LÜ SAÇ AKSESUARI KIZ ÇOCUK,Women,0.0
3'LÜ SLİP KÜLOT,Women,1.449317371518015
3'LÜ TAKMA KİRPİK,Women,0.0
3D ETKİLİ DOĞAL GÖRÜNÜMLÜ İPEK TAKMA KİRPİK,Women,0.0
3D PAMUKLU CAP ŞAPKA KIZ ÇOCUK,Women,0.0
3D PENYE TİŞÖRT KIZ BEBEK,Women,0.0
3D SİMLİ KUMAŞ CAP ŞAPKA KIZ ÇOCUK,Women,0.0
3’LÜ BRİEF KÜLOT,Women,0.0
5'Lİ PAMUKLU PATİK ÇORAP,Women,0.6796340850086324
5'Lİ PAMUKLU PATİK ÇORAP ERKEK ÇOCUK,Women,0.0
5'Lİ PAMUKLU SNEAKER ÇORAP,Women,-1.8948437901532717e-14
5'Lİ PAMUKLU SOKET ÇORAP,Women,0.0
5'Lİ PAMUKLU SOKET ÇORAP ERKEK ÇOCUK,Women,0.0
5'Lİ PAMUKLU UZUN ÇORAP,Women,-5.263324104971741
5'Lİ PAMUKLU UZUN ÇORAP KIZ BEBEK,Women,0.0
550 ML,Women,0.0
650 ML,Women,0.0
7'Lİ PAMUKLU PATİK ÇORAP,Women,0.0
7'Lİ PAMUKLU ÇİÇEKLİ ÇORAP,Women,0.0
7'Lİ PATİK ÇORAP,Women,0.0
7'Lİ SNEAKER ÇORAP,Women,0.0
90'S SLIM FIT PANTOLON,Women,0.0
90'S WIDE LEG YÜKSEK BEL DÜZ PAÇA UZUN JEAN PANTOLON,Women,0.0
90'S WIDE LEG YÜKSEK BEL JEAN PANTOLON,Women,0.0
90'S WIDE LEG YÜKSEK BEL JEAN YIKAMALI PANTOLON,Women,0.0
90'S WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
A FORM MAXİ ETEK,Women,-4.000032000256002
A KESİM ETEK,Women,42.384526998612586
A KESİM MİDİ ETEK,Women,57.94724458334463
AFRA X DEFACTO %100 PAMUK DÜŞÜK BEL JEAN PANTOLON,Women,0.0
AFRA X DEFACTO BALLOON FIT YÜKSEK BEL JEAN YIKAMALI PANTOLON,Women,0.0
AFRA X DEFACTO COMFORT STRAIGHT YÜKSEK BEL JEAN YIKAMALI PANTOLON,Women,0.0
AFRA X DEFACTO CROP FLARE FIT NORMAL BEL JEAN PANTOLON,Women,0.0
AFRA X DEFACTO FITTED BAĞCIKLI BLUZ,Women,0.0
AFRA X DEFACTO FITTED DİK YAKA ATLET,Women,0.0
AFRA X DEFACTO FITTED FİTİLLİ KAŞKORSE ATLET,Women,0.0
AFRA X DEFACTO FITTED GÖMLEK YAKA GABARDİN BLAZER CEKET,Women,0.0
AFRA X DEFACTO LOOSE FIT OMZU AÇIK TİŞÖRT,Women,0.0
AFRA X DEFACTO LOW RISE WIDELEG DÜŞÜK BEL JEAN PANTOLON,Women,0.0
AFRA X DEFACTO NORMAL BEL SATEN KAPRİ,Women,0.0
AFRA X DEFACTO NORMAL BEL TENCEL ŞORT,Women,0.0
AFRA X DEFACTO RELAX FİT SUNİ DERİ MONT,Women,0.0
AFRA X DEFACTO SLIM FIT HALTER YAKA ATLET,Women,0.0
AFRA X DEFACTO SLIM FIT STRAPLEZ BÜRÜMCÜK BLUZ,Women,0.0
AFRA X DEFACTO SLIM FIT YARIM BALIKÇI YAKA TİŞÖRT,Women,0.0
AFRA X DEFACTO SLİM FİT BASİC FİTİLLİ KAŞKORSE ATLET,Women,0.0
AFRA X DEFACTO STRAIGHT WIDE YIRTIK DETAYLI YÜKSEK BEL JEAN YIKAMALI PANTOLON,Women,0.0
AIRTECH NBA BROOKLYN NETS FLARE FIT İSPANYOL PAÇA STANDART BOY PANTOLON,Women,0.0
AIRTECH NBA LOS ANGELES LAKERS WİDE LEG EŞOFMAN ALTI,Women,0.0
AIRTECH NBA MIAMI HEAT STRAIGHT FIT CEPLİ PANTOLON,Women,0.0
AKIŞKAN KUMAŞ GÖMLEK ERKEK ÇOCUK,Women,0.0
AKIŞKAN KUMAŞLI TULUM KIZ BEBEK,Women,0.0
AKSESUAR DETAYLI BÜRÜMCÜK TİŞÖRT,Women,0.0
ALTEREGO ITALY CUREGO NOURİSH YIPRANMIŞ SAÇLAR İÇİN BESLEYİCİ ŞAMPUAN 300 ML,Women,0.0
ANUA - HEARTLEAF 77% CLEAR PAD (GÖZENEK VE SİYAH NOKTA KARŞITI ASİTLİ TONİK PED) 160ML,Women,0.0
ANUA AİRY SUN CREAM SPF50+ PA++++ CENTELLA VE MUGWORT ÖZLÜ GÜNEŞ KREMİ 50ML,Women,0.0
APAŞ YAKA GÖMLEK ERKEK ÇOCUK,Women,0.0
ARAÇ BASKILI 2'Lİ TAKIM ERKEK BEBEK,Women,0.0
ARAÇ BASKILI 3'LÜ ATLET ERKEK ÇOCUK,Women,0.0
ARAÇ BASKILI PENYE 3'LÜ SLİP KÜLOT ERKEK ÇOCUK,Women,0.0
ARAÇ BASKILI TİŞÖRT ŞORT 2'Lİ TAKIM ERKEK BEBEK,Women,0.0
ASİMETRİK BÜRÜMCÜK KISA KOLLU TİŞÖRT,Women,0.0
ASİMETRİK KAYIK YAKA BÜRÜMCÜK TİŞÖRT,Women,0.0
ATATÜRK BASKILI TİŞÖRT ERKEK ÇOCUK,Women,0.0
ATATÜRK BASKILI TİŞÖRT KIZ ÇOCUK,Women,0.0
ATATÜRK İMZALI NAKIŞLI PAMUKLU CAP ŞAPKA ERKEK ÇOCUK,Women,0.0
ATATÜRK İMZALI PAMUKLU CAP ŞAPKA KIZ ÇOCUK,Women,0.0
ATLET,Women,-7.6925443859811065
ATLET ŞORT 2'Lİ TAKIM ERKEK BEBEK,Women,0.0
AYI BASKILI 2'Lİ ATLET KIZ ÇOCUK,Women,0.0
AYI BASKILI PENYE 3'LÜ BOXER ERKEK ÇOCUK,Women,0.0
AYI BASKILI POLO TİŞÖRT ERKEK ÇOCUK,Women,0.0
