District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Seyhan / Yeşilyurt,Stüdyo (1+0),9571.42857142857,04,0.15287922541191468,,,2.0603456693682105
Seyhan / Zincirlibağlar,1+1,21625.0,04,3.4688995215311005,,,12.924281984334204
Seyhan / Zincirlibağlar,2+1,66605.26315789473,04,-3.4317570002331657,,,20.127116458073235
Seyhan / Zincirlibağlar,3+1,56865.38461538462,04,0.0,,,-30.265025917733006
Seyhan / Zincirlibağlar,4+1,136250.0,04,0.0,,,409.3457943925234
Seyhan / Ziyapaşa,1+1,15213.70588235294,04,0.06448293072340938,,,-22.435585450494838
Seyhan / Ziyapaşa,2+0,9500.0,04,0.0,,,
Seyhan / Ziyapaşa,2+1,16650.0,04,1.3449833104260809,,,-18.927378964941575
Seyhan / Ziyapaşa,3+1,56725.470588235294,04,1.0007012701677152,,,75.42114602862287
Seyhan / Ziyapaşa,4+1,113791.66666666667,04,0.0,,,3.5253980288097044
Seyhan / Ziyapaşa,5+1,55000.0,04,0.0,,,0.0
Seyhan / Ziyapaşa,Stüdyo (1+0),8911.904761904761,04,0.0,,,-1.161869553736465
Yumurtalık,1+1,55100.0,04,7.846975088967977,,,67.81725888324873
Yumurtalık,2+0,18000.0,04,0.0,,,
Yumurtalık,2+1,17050.0,04,-13.964095099466276,,,6.638237384506039
Yumurtalık,3+1,21978.260869565216,04,0.0,,,-28.69988363482493
Yumurtalık,4+1,156000.0,04,0.0,,,0.16051364365971107
Yumurtalık / Köyler,3+1,18000.0,04,0.0,,,
Yüreğir / Anadolu,2+1,9250.0,04,0.0,,,-2.631578947368421
Yüreğir / Anadolu,4+1,12000.0,04,,,,
Yüreğir / Bahçelievler,3+1,182500.0,04,0.0,,,46.0
Yüreğir / Havutlu,2+1,121500.0,04,0.0,,,
Yüreğir / Havutlu,3+1,111333.33333333333,04,9.150326797385617,,,-39.81981981981983
Yüreğir / Haydaroğlu,3+1,205000.0,04,0.0,,,65.5132641291811
Yüreğir / Haydaroğlu,4+1,365000.0,04,0.0,,,-1.3513513513513513
Yüreğir / Karacaoğlan,2+1,112666.66666666667,04,0.0,,,-3.7037037037036993
Yüreğir / Karacaoğlan,3+1,17500.0,04,0.0,,,-30.0
Yüreğir / Karacaoğlan,Stüdyo (1+0),8000.0,04,0.0,,,
Yüreğir / Karşıyaka,2+1,16316.666666666666,04,0.0,,,-18.006700167504192
Yüreğir / Karşıyaka,3+1,205000.0,04,0.0,,,1266.6666666666665
Yüreğir / Kazım Karabekir,2+1,13700.0,04,0.0,,,-6.164383561643835
Yüreğir / Kazım Karabekir,3+1,107300.0,04,0.0,,,167.2953736654804
Yüreğir / Kazım Karabekir,4+1,274285.71428571426,04,0.0,,,-23.59729407083168
Yüreğir / Keresteciler,2+1,66553.57142857143,04,-10.989929546630565,,,-24.854830904887358
Yüreğir / Keresteciler,3+1,75350.0,04,-0.13253810470510272,,,-2.648578811369509
Yüreğir / Kiremithane,2+1,52277.77777777778,04,73.84534177883347,,,281.5896188158962
Yüreğir / Kiremithane,3+1,77772.72727272728,04,0.0,,,156.30558936429176
Yüreğir / Pttevleri,1+1,30000.0,04,0.0,,,-5.263157894736846
Yüreğir / Pttevleri,2+1,26791.666666666668,04,-26.261467889908257,,,37.17333333333334
