Category,Product Name,Price,Product URL
Men,Ricardo Slim Fit Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13586
Men,Ricardo Slim Fit Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-12876
Men,Ricardo Slim Fit Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13322
Men,68 Simon Regular Fit Erkek Pantolon 1,"399,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-10349
Men,68 Simon Regular Fit Erkek Pantolon 3,"499,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-12359
Men,Ricardo Slim Fit Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13585
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12401
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12405
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12404
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-14968
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-14958
Women,Bella Regular Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-15509
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12946
Men,Justin Skinny Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-14013
Men,Justin Skinny Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-13949
Men,Justin Skinny Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-5917
Men,Justin Skinny Fit Erkek Pantolon 3,"499,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-10350
Men,Justin Skinny Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-10261
Men,Justin Skinny Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-10244
Women,Natalie Skinny Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10623
Women,New Baggy Fit Kadın Pantolon 3,"499,90",https://www.loft.com.tr/p/new-baggy-fit-kadin-pantolon-13723
Men,Regular Fit Erkek Pantolon 1,"699,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-12718
Men,Regular Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13334
Men,Regular Fit Erkek Pantolon 1,"699,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13389
Men,Ricardo Slim Fit Erkek Pantolon 3,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14835
Men,Ricardo Slim Fit Erkek Pantolon 3,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14834
Men,Ricardo Slim Fit Erkek Pantolon 3,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14670
Women,Straight Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/straight-fit-kadin-pantolon-14480
Men,Regular Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13385
Men,Simon Straight Fit Erkek Pantolon 6,"799,90",https://www.loft.com.tr/p/simon-straight-fit-erkek-pantolon-13729
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12402
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-14987
