id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status
16112,16112,BOSCH 18V-LİTYUM-İYON AKÜ 4.0AH + ŞARJ CİHAZI,Bosch,Akülü El Aletleri,6930.0,6930.0,0.0,PIECE,IN_SALE
15985,15985,BOSCH GBA 12V 2.0 AH AKÜ,Bosch,Akülü El Aletleri,2205.0,2205.0,0.0,PIECE,IN_SALE
15786,15786,BOSCH 18V Başlangıç seti 1x4.0 Ah + GAL 18V-40,Bosch Aksesuar ve El Aletleri,Akülü El Aletleri,5775.0,5775.0,0.0,PIECE,IN_SALE
15783,15783,BOSCH ProCORE18V 5.5 Ah Akü,Bosch Aksesuar ve El Aletleri,Akülü El Aletleri,6825.0,6825.0,0.0,PIECE,IN_SALE
13263,13263,Eng Energy Bd12-A Akü Şarj Cihazı 12 V 143 WATT,Energy,Akülü El Aletleri,1680.0,1680.0,0.0,PIECE,IN_SALE
12712,12712,ARORA 12N9-BS MOTORSİKLET AKÜSÜ,Diğer,Akü ve Şarj Cihazları,924.0,924.0,0.0,PIECE,IN_SALE
12625,12625,"BOSCH PBA 18V 2,5 AH AKÜ W-B",Bosch,Akü ve Şarj Cihazları,2310.0,2310.0,0.0,PIECE,IN_SALE
12199,12199,CATPOWER 271 DİJİTAL AKÜ ŞARJ CİHAZI,Catpower,Akü ve Şarj Cihazları,5527.2,5527.2,0.0,PIECE,IN_SALE
11400,11400,Bosch GBA 18V 4.0Ah Akü,Bosch Aksesuarlar,Akü ve Şarj Cihazları,4504.5,4504.5,0.0,PIECE,IN_SALE
12090,12090,"Bosch GBA 18V Batarya 5,0 ah",Bosch Aksesuarlar,Akü ve Şarj Cihazları,5313.0,5313.0,0.0,PIECE,IN_SALE
11905,11905,Bosch GAL 18V-40 Şarj Cihazı,Bosch,Akü ve Şarj Cihazları,2887.5,2887.5,0.0,PIECE,IN_SALE
11436,11436,Lider 1033 Metal Fırçalık Tezgah Üstü,Lider,Aksesuarlar,92.4,92.4,0.0,PIECE,IN_SALE
5241,5241,Bosch 2 x ProCore 18V 5.5 Ah + GAL 1880 CV,Bosch,Akü ve Şarj Cihazları,15592.5,15592.5,0.0,PIECE,IN_SALE
5097,5097,Bosch GBA 12V 3.0Ah Akü,Bosch,Akü ve Şarj Cihazları,4200.0,4200.0,0.0,PIECE,IN_SALE
