product_name,price,id,sku,brand,category,regular_price,discount_rate,unit,status
Factor EWS100B-S2 Sessiz Kompresör 2 hp 8 bar 100 lt,21250.0,16144,16144,FACTOR,Hava Kompresörler ve Aksesuarları,22000.0,3.41,PIECE,IN_SALE
Factor EWS50B Sessiz Hava Kompresörğ 1HP 50 lt,9450.0,15717,15717,FACTOR,Hava Kompresörler ve Aksesuarları,10120.0,6.62,PIECE,IN_SALE
Gison Gas-2a Havalı Fırça Seti,861.3,seti,seti,Gison,Hava Kompresörler ve Aksesuarları,861.3,0.0,PIECE,IN_SALE
Huniper Plastik Benzin Bidonu 5 lt,105.0,14253,14253,Diğer,Diğer Ürünler,146.3,28.23,PIECE,IN_SALE
Dekor 1156 Sünger Kristalli Rulo 50 cm,1360.0,13253,13253,Dekor,Rulolar,1650.0,17.58,PIECE,IN_SALE
CETA B05R-09 Cırcır Kombine Anahtar Özel Ağız 9 mm,600.0,15409,15409,CETA,Kombine Anahtarlar,726.0,17.36,PIECE,IN_SALE
Bosch Düz Tornavida SL4.5x100mm,363.82,15322,15322,Bosch Aksesuar ve El Aletleri,Tornavidalar,423.5,14.09,PIECE,IN_SALE
Bosch VDE Tornavida SL4.5x100,415.8,15319,15319,Bosch Aksesuar ve El Aletleri,Tornavidalar,484.0,14.09,PIECE,IN_SALE
Bosch Boru Anahtarı 90° 420 mm,2390.85,14728,14728,Bosch Aksesuar ve El Aletleri,Boru Anahtarları,2783.0,14.09,PIECE,IN_SALE
Bosch Otomatik Maket Bıçağı 3 Yedek Uçlu,582.12,14714,14714,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,677.6,14.09,PIECE,IN_SALE
Bosch Kargaburun 200 mm,873.18,14648,14648,Bosch Aksesuar ve El Aletleri,Kargaburunlar,1016.4,14.09,PIECE,IN_SALE
İzeltaş 3321 12 0225 İç Segman Pense Yaysız 225 mm,669.55,14615,14615,İzeltaş,Penseler,1052.7,36.4,PIECE,IN_SALE
Bosch Katlanabilir Maket Bıçağı,831.6,14594,14594,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,968.0,14.09,PIECE,IN_SALE
BOSCH Maket Bıçağı 18mm,582.12,14590,14590,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,677.6,14.09,PIECE,IN_SALE
Fiskars 1071898 Norden Bileme Apatatı Ahşap,1403.33,14585,14585,Fiskars,Bahçe,1633.5,14.09,PIECE,IN_SALE
Bosch Tornavİda VDE SL 5.5,338.31,14560,14560,Bosch Aksesuar ve El Aletleri,Tornavidalar,393.8,14.09,PIECE,IN_SALE
