Product Name,Product Cost,id,sku,brand,category,regular_price,discount_rate,unit,status
Bosch Otomatik Maket Bıçağı 3 Yedek Uçlu,582.12,14714,14714,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,646.8,10.0,PIECE,IN_SALE
Bosch Kargaburun 200 mm,873.18,14648,14648,Bosch Aksesuar ve El Aletleri,Kargaburunlar,970.2,10.0,PIECE,IN_SALE
İzeltaş 3321 12 0225 İç Segman Pense Yaysız 225 mm,669.55,14615,14615,İzeltaş,Penseler,1004.85,33.37,PIECE,IN_SALE
Bosch Katlanabilir Maket Bıçağı,831.6,14594,14594,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,924.0,10.0,PIECE,IN_SALE
BOSCH Maket Bıçağı 18mm,582.12,14590,14590,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,646.8,10.0,PIECE,IN_SALE
Fiskars 1071898 Norden Bileme Apatatı Ahşap,1403.33,14585,14585,Fiskars,Bıçaklar,1559.25,10.0,PIECE,IN_SALE
BOSCH Tornavİda VDE Screwdriver PH1,395.01,14571,14571,Bosch Aksesuar ve El Aletleri,Tornavidalar,438.9,10.0,PIECE,IN_SALE
BOSCH Betoncu Kalıpçı Kerpeteni 225mm,571.72,14565,14565,Bosch Aksesuar ve El Aletleri,Kerpetenler,635.25,10.0,PIECE,IN_SALE
Bosch Ryoba Japon Testeresi 250mm,883.58,14563,14563,Bosch Aksesuar ve El Aletleri,Testereler,981.75,10.0,PIECE,IN_SALE
Bosch Tornavİda VDE SL 5.5,338.31,14560,14560,Bosch Aksesuar ve El Aletleri,Kontrol Kalemleri,375.9,10.0,PIECE,IN_SALE
Bosch Şerit Metre 5m,665.28,14539,14539,Bosch Aksesuar ve El Aletleri,Metreler,739.2,10.0,PIECE,IN_SALE
Bosch VDE Tornavida Seti SL/PH 7 parça,2338.88,14506,14506,Bosch Aksesuar ve El Aletleri,Tornavida Setleri,2598.75,10.0,PIECE,IN_SALE
Bosch 1600A02NE7 VDE Universal Kablo Sıyırma Pensesi 160 mm,893.97,14500,14500,Bosch Aksesuar ve El Aletleri,Kablo Sıyırıcılar,993.3,10.0,PIECE,IN_SALE
Bosch VDE Kablo Makası 200 mm,1247.4,14499,14499,Bosch Aksesuar ve El Aletleri,Kablo Sıyırıcılar,1386.0,10.0,PIECE,IN_SALE
Bosch Boru Anahtarı Plier Wrench 250mm,2598.75,14498,14498,Bosch Aksesuar ve El Aletleri,Boru Anahtarları,2887.5,10.0,PIECE,IN_SALE
Bosch Torx Anahtarı Takımı 9 Parça,661.0,14496,14496,Bosch Aksesuar ve El Aletleri,Allen Anahtarlar,735.0,10.07,PIECE,IN_SALE
Bosch Autolock M Şerit Metre 8m,852.39,14493,14493,Bosch Aksesuar ve El Aletleri,Metreler,947.1,10.0,PIECE,IN_SALE
Bosch Universal El Testeresi 400mm,1155.0,14490,14490,Bosch Aksesuar ve El Aletleri,Testereler,1155.0,0.0,PIECE,IN_SALE
Bosch 1/2'' Cırcır,873.18,14485,14485,Bosch Aksesuar ve El Aletleri,Lokma Anahtarlar,1050.0,16.84,PIECE,IN_SALE
Bahco 2446 Çok Amaçlı Bıçak,750.0,14466,14466,Bahco,Bıçaklar,892.5,15.97,PIECE,IN_SALE
"Bosch GSH 11 E Kırıcı 10,1 kg",25999.0,4397,4397,Bosch,Kırıcı & Delici,31500.0,17.46,PIECE,IN_SALE
Huniper Plastik Benzin Bidonu 5 lt,105.0,14253,14253,Diğer,Diğer Ürünler,139.65,24.81,PIECE,IN_SALE
Würth 0892332838 Cam Temizleme Suyu Plus 500 ml,273.0,13110,13110,Würth,Oto Bakım Ürünleri,309.75,11.86,PIECE,IN_SALE
Dekor 1156 Sünger Kristalli Rulo 50 cm,1260.0,13253,13253,Dekor,Rulolar,1543.5,18.37,PIECE,IN_SALE
Gison GW-24D Somun Sıkma 3/4,10499.0,13730,13730,Gison,Somun Sıkma Makinaları,15564.15,32.54,PIECE,IN_SALE
BOSCH GWS 18V-8 Akülü Taşlama Makinesi 1x4.0Ah,9999.0,15785,15785,Bosch,Şarjlı Taşlama Makineleri,12075.0,17.19,PIECE,IN_SALE
Bosch GWS 2200-180 H Büyük Taşlama,5490.0,10818,10818,Bosch,"Taşlama, Kesme Makineleri",6090.0,9.85,PIECE,IN_SALE
Akfix WA550 Duvar Kağıdı Yapıştırıcısı 500 gr,245.0,8699396018281,8699396018281,Akfix,Yapıştırıcılar,288.75,15.15,PIECE,IN_SALE
Akfix SA081 Ayna Silikonu Nötr %100 280 ml,174.9,8699396070319,8699396070319,Akfix,Silikonlar,178.5,2.02,PIECE,IN_SALE
Bosch GSB 18V-65 Akülü Darbeli Delme Vidalama 2x5ah,17850.0,16160,16160,Bosch,Şarjlı Darbeli Matkap,17850.0,0.0,PIECE,IN_SALE
Bosch GSB 183-LI Akülü Darbeli Matkap 1x2ah,4999.0,16155,16155,Bosch,Şarjlı Darbeli Matkap,5248.95,4.76,PIECE,IN_SALE
BOSCH GDS 18V-350 Darbeli Somun Sıkma (2X4 AH AKÜ),12600.0,14629,14629,Bosch,Şarjlı Somun Sıkma,12600.0,0.0,PIECE,IN_SALE
Bosch GDX 18V-200 C Solo Carton Box Promix,10013.0,5232,5232,Bosch,Şarjlı Somun Sıkma,12915.0,22.47,PIECE,IN_SALE
Bosch Kombi Seti 18VKit: GSR+GWS+GBH+3x4.0Ah+GA,29400.0,16179,16179,Bosch,Şarjlı Vidalama,29400.0,0.0,PIECE,IN_SALE
Bosch GSR 18V-65 Akülü Delme Vidalama 2x5.0Ah,15899.0,16159,16159,Bosch,Şarjlı Vidalama,17850.0,10.93,PIECE,IN_SALE
Bosch GSR 18V-65 Akülü Delme Vidalama 2x2.0 ah,13125.0,16158,16158,Bosch,Şarjlı Vidalama,13125.0,0.0,PIECE,IN_SALE
Bosch Gsr 18v-50 Akülü Delme Vidalama (Solo),6300.0,16146,16146,Bosch,Şarjlı Vidalama,6300.0,0.0,PIECE,IN_SALE
CATPOWER 5150 AKÜLÜ VİD. 10 MM 20V 2x2.0 Ah,3360.0,16102,16102,Catpower,Şarjlı Vidalama,3360.0,0.0,PIECE,IN_SALE
Bosch GSR 120-LI Vidalama (2x2.0 Ah; Plastik),5775.0,12966,12966,Bosch,Şarjlı Vidalama,5775.0,0.0,PIECE,IN_SALE
STANLEY 10-189 GERİ ÇEKİLEBİLİR MAKET BIÇAĞI,242.55,12454,12454,,Maket Bıçakları,242.55,0.0,PIECE,IN_SALE
Bosch GBH 18V-36C SDS Max Akülü Delici Solo (Akü ve Sarj Cihazı Dahil Değildir),27889.0,15889,15889,Bosch,Şarjlı Kırıcı ve Deliciler,32550.0,14.32,PIECE,IN_SALE
Bosch Gbh 185-LI Akülü Sds Plus Kırıcı-Delici 2x4 ah,17587.5,15590,15590,Bosch,Şarjlı Kırıcı ve Deliciler,17587.5,0.0,PIECE,IN_SALE
Bosch 18V Lityum-İyon Akü 4.0 ah + Sarj Cihazı,6930.0,16112,16112,Bosch,Akü ve Şarj Cihazları,6930.0,0.0,PIECE,IN_SALE
