date,category,product,unit,monthly_qty,avg_unit_price_TRY,monthly_cost_TRY,n_matched,matched_products
May 2026,Dairy Products,Yogurt,Kg,59.7,152.49,9103.65,25,"Kebir Bidon Köy Tipi Yoğurt 1 kg; Kebir Köy Tipi Yoğurt 2 kg; Kebir Köy Tipi Yoğurt 2,5 kg; Yeşil Mavi Bidon Yoğurt 1 Kg; Sütaş Kaymaksız Yoğurt 1 kg; Eker Efsane Yoğurt 750 Gr; Sütaş Kaymaksız Yoğurt 500 gr; İçim Doğal Yoğurt 500 gr; Kebir Kova Yoğurt 1,750 Gr; YEŞİL MAVİ YOĞURT 1.000GR KOVA; Yeşil Mavi Kova Yoğurt 2 kg; Sütaş Kaymaksız Yoğurt 2 kg; Eker Yoğurt 2 Kg Kova; İçim Yoğurt 2 kg; Yeşil Mavi Yoğurt Bidon 2,5 kg; Mevlana Bey Çiftliği Yarım Yağlı Yoğurt 2,5 K…; Sütaş Yoğurt Kaymaksız 3 Kg; İçim Yarım Yağlı Yoğurt 3 kg; SÜTAŞ SUZME YOĞURT 750GR; TORKU Y.YOĞURT 2.000 GR; Pınar Yarım Yağlı Yoğurt 2000 gr; Atmaca Bidon Yoğurt 2,5 kg; Bayram Yoğurt 2,5 kg; Kebir Yağlı Yoğurt 4 kg; Kebir Köy Tipi Yoğurt 5 kg; Pınar Yoğurt 500 Gr; Pınar Yoğurt 750 gr; Sütaş Kaymaksız Yoğurt 1,5 kg"
May 2026,Dairy Products,White Cheese,Kg,5.3,397.91,2108.92,36,Kebir Beyaz Peynir 800 gr; İçim Beyaz Peynir 900 gr; Beyaz Peynir Naturel Gündoğdu Ezine kg; Ekici Tam Yağlı Beyaz Peynir 500 gr; Muratbey Sürmeli Beyaz Peynir 700 gr; Ayca Az Yağlı Beyaz Peynir 800 gr; Kaanlar Beyaz Peynir Trakya 800 gr; Pınar Taze Beyaz Peynir 180 Gr; Cebeci Tam Yağlı Beyaz Peynir 900 gr; Beyaz Peynir Ekici Tam Yağlı Kg; Beyaz Peynir Ova Tam Yağlı Kg; Beyaz Peynir Ezine Habir Kg; Beyaz Peynir Naturel Ekici; Burgu/Topi/Halka Beyaz Peynir Kg; Sütaş Beyaz Peynir500 gr; Kebir Beyaz Peynir 500 gr; İçim Beyaz Peynir 500 gr; Eker Klasik Beyaz Peynir 500 Gr; Ekici Klasik Beyaz Peynir 450 Gr; OVA BEYAZ PEYNIR 700 GR PLS; Sütaş Beyaz Peynir 250 gr; Ekici Tam Yağlı Beyaz Peynir 800 gr; Kaanlar Çiftlik Beyaz Peynir 800 Gr; İçim Tam Yağlı Taze Peynir 180 gr; Pınar Tam Yağlı Beyaz Peynir 180 gr; Sütaş Beyaz Peynir 900 gr; Kaanlar Beyaz Peynir Kahvaltılık 1 Kg Pt; Ova Beyaz Peynir Teneke 1 kg; Beyaz Peynir Van Kg; Sütaş Light Beyaz Peynir 500 gr; Pınar Kahvaltı Keyfi Beyaz Peynir 800 gr; TekSüt Tam Yağlı Beyaz Peynir 900 Gr; Beyaz Peynir Gezici Mega Köy Peyniri Kg; Beyaz Peynir Habir Keçi İnek Peyniri Kg; Torku Tam Yağlı Beyaz Peynir 500 gr; Beyaz Peynir Naturel Edirne Yardımcı kg
May 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,3.3,940.0,3102.0,2,Dana Kuşbaşı Kg; Kuzu Kuşbaşı Kg
May 2026,Meat and Protein,Chicken,Kg,7.0,251.62,1761.34,8,Banvit Izgara Tava Kg; Banvit Tavuk Pirzola Kg; Gedik Tavuk Baget Kg; Gedik Tavuk Kanat Kg; Gedik Tavuk Fleto Kg; Gedik Tavuk Izgara Tava Kg; Banvit Bonfile Göğüs Kg; Gedik Kalçalı But Kg
May 2026,Meat and Protein,Fish,Kg,5.1,,,0,N/A
May 2026,Meat and Protein,Eggs,Piece,60.0,7.2,432.0,12,YUMURTA Köy (Günlük) Adet; YUMURTA Ümit 30 lu Sarı; YUMURTA Ümit 15 li Sarı L; Yumurta Ümit Gezen Tavuk 15 Adet; YUMURTA Yeşilküre Organik 10 lu; Yumurta Kopuz 15 Li Beyaz; YUMURTA Köy Kaçkar 15 li; YUMURTA Özkan 15 li; YUMURTA KÖY ÖZKAN (GUNLUK) 10LU KOLI; YUMURTA Ümit 30 lu M Boy; YUMURTA Ümit 15 li Beyaz; YUMURTA Ümit 30 lu Beyaz L
May 2026,Legumes,Chickpeas,Kg,5.6,157.5,882.0,4,Duru Bakliyat Koçbaşı Nohut 1 kg; Kale Bakliyat Nohut Kg; Duru Bakliyat İri Nohut 1 kg; Sadıkoğlu Nohut (Kabak) 1 kg
May 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,1140.0,3078.0,1,Fındık İçi Kg
May 2026,Grains,Bread,Kg,18.0,150.65,2711.7,4,Kale Ekmek 240 gr; Kale Çavdar Ekmek; Kale Tam Buğday Ekmek 270 gr; Kale Kepek Ekmek; Kale Baget Ekmek; Uno Fırından Tam Buğdaylı Ekmek 450 gr; Uno Fırından Tam Çavdarlı Ekmek 450 gr; Kale Tam Buğday Ekmek
May 2026,Fruits,Banana,Kg,16.7,129.9,2169.33,2,Muz Yerli Kg; Muz İthal Kg
