Product Name,Product Cost,Product Original Cost,Currency,Product ID,Variation ID,Brand,In Stock,Campaign Label,Top Category,Category,Subcategory,Category Path,Source Category,Source Category URL,Product URL,Image URL
La Fontaine’den Seçmeler,90.0,90.0,TRY,63401,,Parıltı Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/la-fontaineden-secmeler,https://www.nezih.com.tr/la-fontaineden-secmeler-154958-63-O.jpg
La Fonten Masalları 10 Kitaplık Set,225.0,225.0,TRY,100579,,Parıltı Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/la-fonten-masallari-10-kitaplik-set,https://www.nezih.com.tr/la-fonten-masallari-10-kitaplik-set-181225-10-O.jpg
Mandalina Kokulu Masallar,250.0,250.0,TRY,65463,,Yakamoz Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/mandalina-kokulu-masallar,https://www.nezih.com.tr/mandalina-kokulu-masallar-155531-65-O.jpg
Masal Topu Zıp Zıp,195.0,195.0,TRY,71356,,Timaş Çocuk,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/masal-topu-zip-zip,https://www.nezih.com.tr/masal-topu-zip-zip-155749-71-O.jpg
Masal Treni Çuf Çuf (Fleksi Cilt),350.0,350.0,TRY,113436,,Timaş,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/masal-treni-cuf-cuf-fleksi-cilt,https://www.nezih.com.tr/masal-treni-cuf-cuf-fleksi-cilt-138612-11-O.jpg
Masal İçinde Masal,365.0,365.0,TRY,47951,,Can Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/masal-icinde-masal,https://www.nezih.com.tr/masal-icinde-masal-147220-47-O.jpg
Masallar,310.0,310.0,TRY,77295,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/masallar-77295,https://www.nezih.com.tr/masallar-77295-174431-77-O.jpg
Mavi Tilki,102.0,102.0,TRY,95299,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/mavi-tilki,https://www.nezih.com.tr/mavi-tilki-178883-95-O.jpg
Melodi Merdiven,275.0,275.0,TRY,121588,,Redhouse yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/melodi-merdiven,https://www.nezih.com.tr/melodi-merdiven-189832-12-O.jpg
Merhaba Dünya!,112.0,112.0,TRY,114977,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/merhaba-dunya,https://www.nezih.com.tr/merhaba-dunya-140364-11-O.jpg
