Product Name,Product Cost,Product Original Cost,Discount Amount,Discount Rate,Currency,Product ID,SKU,Brand,Stock Quantity,In Stock,Top Category,Category Path,Leaf Category,Full Category,Model,Variant 1,Variant 2,Subproduct ID,Subproduct Code,Category ID,Source Category,Source Category URL,Product URL,Image URL,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Smart Cheek Liquid Blush 109 - Likit Allık,620.0,620.0,0.0,0.0,TL,3712,P-SLB-109,Golden Rose,87,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-109,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-109-likit-allik-golden-rose-smart-cheek-liquid-blush-38074-37-O.jpg,12,,0.0,0.0,
Smart Glow Liquid Highlighter 201 - Likit Aydınlatıcı,620.0,620.0,0.0,0.0,TL,3714,P-SLH-201,Golden Rose,115,Yes,Yüz,Yüz > Aydınlatıcı >,Likit Aydınlatıcı,Yüz > Aydınlatıcı > Likit Aydınlatıcı,Smart Glow Liquid Highlighter,,,,,668,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-glow-liquid-highlighter-201,https://shop.goldenrose.com.tr/smart-glow-liquid-highlighter-201-likit-aydinlatici-golden-rose-smart-glow-liquid-highlighter-39469-37-O.jpg,12,,0.0,0.0,
Smart Glow Liquid Highlighter 202 - Likit Aydınlatıcı,620.0,620.0,0.0,0.0,TL,3715,P-SLH-202,Golden Rose,1303,Yes,Yüz,Yüz > Aydınlatıcı >,Likit Aydınlatıcı,Yüz > Aydınlatıcı > Likit Aydınlatıcı,Smart Glow Liquid Highlighter,,,,,668,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-glow-liquid-highlighter-202,https://shop.goldenrose.com.tr/smart-glow-liquid-highlighter-202-likit-aydinlatici-golden-rose-smart-glow-liquid-highlighter-39473-37-O.jpg,12,,0.0,0.0,
Smart Glow Liquid Highlighter 203 - Likit Aydınlatıcı,620.0,620.0,0.0,0.0,TL,3716,P-SLH-203,Golden Rose,2092,Yes,Yüz,Yüz > Aydınlatıcı >,Likit Aydınlatıcı,Yüz > Aydınlatıcı > Likit Aydınlatıcı,Smart Glow Liquid Highlighter,,,,,668,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-glow-liquid-highlighter-203,https://shop.goldenrose.com.tr/smart-glow-liquid-highlighter-203-likit-aydinlatici-golden-rose-smart-glow-liquid-highlighter-39477-37-O.jpg,12,,0.0,0.0,
Smart Glow Liquid Highlighter 204 - Likit Aydınlatıcı,620.0,620.0,0.0,0.0,TL,3717,P-SLH-204,Golden Rose,1783,Yes,Yüz,Yüz > Aydınlatıcı >,Likit Aydınlatıcı,Yüz > Aydınlatıcı > Likit Aydınlatıcı,Smart Glow Liquid Highlighter,,,,,668,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-glow-liquid-highlighter-204,https://shop.goldenrose.com.tr/smart-glow-liquid-highlighter-204-likit-aydinlatici-golden-rose-smart-glow-liquid-highlighter-39481-37-O.jpg,12,,0.0,0.0,
Just Touch Liquid Concealer - 01 - Likit Kapatıcı,625.0,625.0,0.0,0.0,TL,3004,P-JTC-01,Golden Rose,13,Yes,Yüz,Yüz > Kapatıcı >,Likit Kapatıcı,Yüz > Kapatıcı > Likit Kapatıcı,Just Touch Liquid Concealer,,,,,298,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-01-likit-kapatici,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-01-likit-kapatici-likit-kapatici-golden-rose-just-touch-liquid-concealer-30170-30-O.jpg,12,,0.0,0.0,
Just Touch Liquid Concealer - 02 - Likit Kapatıcı,625.0,625.0,0.0,0.0,TL,3005,P-JTC-02,Golden Rose,22,Yes,Yüz,Yüz > Kapatıcı >,Likit Kapatıcı,Yüz > Kapatıcı > Likit Kapatıcı,Just Touch Liquid Concealer,,,,,298,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-02-likit-kapatici,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-02-likit-kapatici-likit-kapatici-golden-rose-just-touch-liquid-concealer-30176-30-O.jpg,12,,0.0,0.0,
Just Touch Liquid Concealer - 03 - Likit Kapatıcı,625.0,625.0,0.0,0.0,TL,3006,P-JTC-03,Golden Rose,582,Yes,Yüz,Yüz > Kapatıcı >,Likit Kapatıcı,Yüz > Kapatıcı > Likit Kapatıcı,Just Touch Liquid Concealer,,,,,298,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-03-likit-kapatici,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-03-likit-kapatici-likit-kapatici-golden-rose-just-touch-liquid-concealer-30182-30-O.jpg,12,,0.0,0.0,
Just Touch Liquid Concealer - 04 - Likit Kapatıcı,625.0,625.0,0.0,0.0,TL,3007,P-JTC-04,Golden Rose,60,Yes,Yüz,Yüz > Kapatıcı >,Likit Kapatıcı,Yüz > Kapatıcı > Likit Kapatıcı,Just Touch Liquid Concealer,,,,,298,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-04-likit-kapatici,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-04-likit-kapatici-likit-kapatici-golden-rose-just-touch-liquid-concealer-36400-30-O.jpg,12,,0.0,0.0,
Just Touch Liquid Concealer - 05 - Likit Kapatıcı,625.0,625.0,0.0,0.0,TL,3008,P-JTC-05,Golden Rose,570,Yes,Yüz,Yüz > Kapatıcı >,Likit Kapatıcı,Yüz > Kapatıcı > Likit Kapatıcı,Just Touch Liquid Concealer,,,,,298,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-05-likit-kapatici,https://shop.goldenrose.com.tr/golden-rose-just-touch-liquid-concealer-05-likit-kapatici-likit-kapatici-golden-rose-just-touch-liquid-concealer-30194-30-O.jpg,12,,0.0,0.0,
