Unnamed: 0,District,Rooms,Price,PriceInt
520,Buca,2+1,16.000 TL,16000
521,Menemen,1+1,15.000 TL,15000
522,Tire,2+1,15.000 TL,15000
523,Buca,1+1,16.000 TL,16000
524,Bayraklı,1+1,15.500 TL,15500
525,Buca,2+1,15.000 TL,15000
526,Bayraklı,2+1,16.000 TL,16000
527,Torbalı,2+1,16.000 TL,16000
528,Menemen,2+1,15.000 TL,15000
529,Menemen,1+1,15.000 TL,15000
530,Ödemiş,2+1,16.000 TL,16000
531,Menemen,1+1,15.000 TL,15000
532,Menemen,1+1,15.000 TL,15000
533,Menemen,1+1,15.000 TL,15000
534,Torbalı,2+1,16.000 TL,16000
535,Buca,2+1,16.000 TL,16000
536,Buca,1+1,15.500 TL,15500
537,Bayraklı,1+1,15.500 TL,15500
538,Buca,1+1,15.500 TL,15500
539,Karabağlar,1+1,15.000 TL,15000
540,Menemen,1+1,16.000 TL,16000
541,Buca,1+1,16.000 TL,16000
542,Menemen,1+1,15.500 TL,15500
543,Buca,1+1,15.000 TL,15000
544,Buca,1+1,16.000 TL,16000
545,Bayraklı,2+1,16.000 TL,16000
546,Bergama,3+1,16.000 TL,16000
547,Çiğli,2+0,15.500 TL,15500
548,Buca,2+1,15.000 TL,15000
549,Bayraklı,3+1,15.000 TL,15000
550,Menemen,1+1,15.000 TL,15000
551,Çiğli,2+1,15.000 TL,15000
552,Buca,1+1,15.000 TL,15000
553,Torbalı,2+1,16.000 TL,16000
554,Menemen,1+1,15.000 TL,15000
555,Torbalı,1+1,15.000 TL,15000
556,Buca,2+1,16.000 TL,16000
557,Bayraklı,2+1,16.000 TL,16000
558,Çeşme,1+1,15.000 TL,15000
559,Karabağlar,2+1,15.000 TL,15000
560,Torbalı,1+1,16.000 TL,16000
561,Buca,1+1,16.000 TL,16000
562,Ödemiş,2+1,16.000 TL,16000
563,Torbalı,2+1,15.000 TL,15000
564,Buca,1+1,15.000 TL,15000
565,Ödemiş,3+1,15.000 TL,15000
566,Ödemiş,2+1,15.000 TL,15000
567,Tire,2+1,15.000 TL,15000
568,Buca,2+1,16.000 TL,16000
569,Bornova,2+1,16.000 TL,16000
570,Buca,2+1,15.000 TL,15000
571,Menemen,1+1,15.000 TL,15000
572,Menemen,1+1,15.000 TL,15000
573,Çiğli,2+1,16.000 TL,16000
574,Bornova,2+1,16.000 TL,16000
575,Ödemiş,2+1,16.000 TL,16000
576,Torbalı,2+1,16.000 TL,16000
577,Menemen,1+1,15.000 TL,15000
578,Bergama,3+1,15.000 TL,15000
579,Buca,1+1,16.000 TL,16000
580,Seferihisar,1+1,15.500 TL,15500
581,Konak,3+1,15.000 TL,15000
582,Menemen,2+1,15.000 TL,15000
583,Bayraklı,3+1,15.500 TL,15500
584,Menemen,1+1,16.000 TL,16000
585,Buca,1+1,15.000 TL,15000
586,Karabağlar,3+1,15.000 TL,15000
587,Buca,1+1,15.000 TL,15000
588,Menemen,1+1,16.000 TL,16000
589,Torbalı,2+1,15.000 TL,15000
590,Menemen,1+1,16.000 TL,16000
591,Bornova,2+1,15.000 TL,15000
592,Kemalpaşa,2+1,16.000 TL,16000
593,Karabağlar,3+1,16.000 TL,16000
594,Karabağlar,2+1,16.000 TL,16000
595,Menemen,1+1,15.000 TL,15000
596,Bayraklı,2+1,16.000 TL,16000
597,Bornova,2+1,15.000 TL,15000
598,Buca,1+1,16.000 TL,16000
