District,Rooms,Price,PriceInt
Buca,1+1,18.000 TL,18000
Torbalı,1+1,18.500 TL,18500
Bergama,1+1,18.000 TL,18000
Bornova,2+1,18.500 TL,18500
Menemen,2+1,18.500 TL,18500
Konak,2+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Torbalı,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Buca,3+1,18.500 TL,18500
Karabağlar,3+1,18.500 TL,18500
Karabağlar,2+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Kemalpaşa,3+1,18.500 TL,18500
Buca,1+1,17.500 TL,17500
Torbalı,2+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Bergama,3+1,18.000 TL,18000
Bayraklı,3+1,18.500 TL,18500
Ödemiş,3+1,17.500 TL,17500
Bergama,1+1,18.000 TL,18000
Buca,Stüdyo (1+0),18.000 TL,18000
Bergama,3+1,18.500 TL,18500
Bergama,3+1,18.500 TL,18500
Bergama,2+1,18.000 TL,18000
Foça,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Aliağa,2+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Menemen,3+1,17.500 TL,17500
Buca,Stüdyo (1+0),18.000 TL,18000
Ödemiş,3+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Bornova,2+1,17.500 TL,17500
Konak,2+1,18.500 TL,18500
Urla,1+1,18.000 TL,18000
Konak,1+1,17.500 TL,17500
Menemen,1+1,17.500 TL,17500
Menemen,1+1,18.000 TL,18000
Bergama,Stüdyo (1+0),17.500 TL,17500
Menemen,1+1,18.000 TL,18000
Bergama,3+1,18.000 TL,18000
Karabağlar,3+1,18.000 TL,18000
Bornova,1+1,18.000 TL,18000
Bergama,2+1,18.000 TL,18000
Bergama,3+1,18.500 TL,18500
Buca,Stüdyo (1+0),18.000 TL,18000
Çiğli,1+1,17.500 TL,17500
Bergama,3+1,18.000 TL,18000
Çiğli,1+1,17.500 TL,17500
Çiğli,Stüdyo (1+0),18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Menderes,2+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Buca,1+1,18.000 TL,18000
Bornova,Stüdyo (1+0),17.500 TL,17500
Karşıyaka,3+1,18.000 TL,18000
Bergama,2+1,18.500 TL,18500
Bayraklı,3+1,18.000 TL,18000
Karabağlar,3+1,17.500 TL,17500
Menemen,1+1,17.500 TL,17500
Buca,1+1,17.500 TL,17500
Menemen,1+1,18.000 TL,18000
Selçuk,1+1,18.000 TL,18000
Bergama,3+1,18.000 TL,18000
Menemen,2+1,17.500 TL,17500
Ödemiş,3+1,18.000 TL,18000
Menemen,1+1,17.500 TL,17500
Bornova,3+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Menderes,2+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Seferihisar,1+1,18.000 TL,18000
Menemen,2+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Bayraklı,1+1,18.300 TL,18300
Menemen,1+1,17.500 TL,17500
Çiğli,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Torbalı,1+1,18.000 TL,18000
Bayraklı,2+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Bayraklı,2+1,18.000 TL,18000
Menemen,2+1,18.000 TL,18000
Bergama,1+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Torbalı,1+1,18.000 TL,18000
Torbalı,1+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Buca,1+1,17.500 TL,17500
Torbalı,3+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Menemen,2+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Menemen,2+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Buca,2+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Buca,2+1,18.000 TL,18000
Bornova,2+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Bornova,2+1,18.000 TL,18000
Torbalı,3+1,17.750 TL,17750
Menemen,1+1,18.000 TL,18000
Çiğli,3+1,18.000 TL,18000
Bergama,1+1,17.500 TL,17500
Konak,2+1,18.500 TL,18500
Bayraklı,3+1,18.500 TL,18500
Torbalı,2+1,18.000 TL,18000
