District,Neighborhood,Rooms,Price,PriceInt
Aliağa,Aliağa / Atatürk Mh.,3+1,28.000 TL,28000
Aliağa,Aliağa / Siteler Mah.,2+1,38.000 TL,38000
Aliağa,Aliağa / Yeni Mah.,4+1,36.000 TL,36000
Aliağa,Aliağa / Yalı Mh.,3+1,50.000 TL,50000
Aliağa,Aliağa / Yalı Mh.,8+1,80.000 TL,80000
Aliağa,Aliağa / Kurtuluş Mh.,4+1,48.000 TL,48000
Aliağa,Aliağa / Yeni Mah.,3+1,27.000 TL,27000
Aliağa,Aliağa / Şakran Sayfiye Mh.,2+1,25.000 TL,25000
Aliağa,Aliağa / Siteler Mah.,1+1,28.000 TL,28000
Aliağa,Aliağa / Yalı Mh.,3+1,50.000 TL,50000
Aliağa,Aliağa / Siteler Mah.,3+1,46.000 TL,46000
Aliağa,Aliağa / Yeni Mah.,2+1,28.000 TL,28000
Aliağa,Aliağa / Yeni Mah.,3+1,52.000 TL,52000
Aliağa,Aliağa / Şakran Sayfiye Mh.,2+1,18.000 TL,18000
Aliağa,Aliağa / Siteler Mah.,1+1,30.000 TL,30000
Aliağa,Aliağa / Şakran Sayfiye Mh.,3+1,27.500 TL,27500
Aliağa,Aliağa / Kültür Mh.,3+1,50.000 TL,50000
Aliağa,Köyler / Aşağışakran Mh.,1+1,30.000 TL,30000
Aliağa,Aliağa / Yeni Mah.,2+1,27.000 TL,27000
Aliağa,Aliağa / Kültür Mh.,2+1,31.500 TL,31500
Aliağa,Aliağa / Kültür Mh.,2+1,28.000 TL,28000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,33.000 TL,33000
Aliağa,Aliağa / Kültür Mh.,3+1,28.000 TL,28000
Aliağa,Aliağa / Yeni Mah.,2+1,26.500 TL,26500
Aliağa,Helvacı / Fatih Mah.,2+1,21.500 TL,21500
Aliağa,Aliağa / Şakran Sayfiye Mh.,2+1,40.000 TL,40000
Aliağa,Köyler / Çakmaklı Mh.,2+1,35.000 TL,35000
Aliağa,Aliağa / Şakran Sayfiye Mh.,4+1,100.000 TL,100000
Aliağa,Aliağa / Yalı Mh.,2+1,38.000 TL,38000
Aliağa,Aliağa / Kültür Mh.,3+1,30.000 TL,30000
Aliağa,Aliağa / Kültür Mh.,3+1,33.000 TL,33000
Aliağa,Aliağa / Kültür Mh.,2+1,24.000 TL,24000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,25.500 TL,25500
Aliağa,Aliağa / Şakran Sayfiye Mh.,3+1,25.000 TL,25000
Aliağa,Aliağa / Yeni Mah.,2+1,25.000 TL,25000
Aliağa,Aliağa / Örnekkent Mh.,5+1,80.000 TL,80000
Aliağa,Aliağa / Kültür Mh.,2+1,40.000 TL,40000
Aliağa,Aliağa / Siteler Mah.,1+1,23.500 TL,23500
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,28.000 TL,28000
Aliağa,Aliağa / Örnekkent Mh.,3+1,30.000 TL,30000
Aliağa,Aliağa / Yeni Mah.,1+1,20.000 TL,20000
Aliağa,Aliağa / Atatürk Mh.,3+1,28.000 TL,28000
Aliağa,Aliağa / Kültür Mh.,2+1,34.000 TL,34000
Aliağa,Aliağa / Kültür Mh.,2+1,15.000 TL,15000
Aliağa,Aliağa / Şakran Sayfiye Mh.,2+1,26.000 TL,26000
Aliağa,Aliağa / Siteler Mah.,1+1,25.000 TL,25000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,25.000 TL,25000
Aliağa,Aliağa / Şakran Sayfiye Mh.,2+1,25.000 TL,25000
