kategori,urun_id,barcode,urun_ismi,fiyat
ust-giyim,ADX-00035173499,6000002126436,AYICIK BASKILI ŞORTLU PİJAMA TAKIMI Ş122-C4,"219,50 TL"
ust-giyim,ADX-00035480B60,6000002109569,KOLSUZ BAĞLAMALI GÖMLEK G17399-Y8,"649,50 TL"
ust-giyim,ADX-0003565313,6000002122735,KOLSUZ ALT ÜST MODAL İKİLİ TAKIM TKM13977,"759,50 TL"
ust-giyim,ADX-00035784B46,6000002134967,KETEN KARIŞIMLI DÜĞMELİ ELBİSE E17463,"899,50 TL"
ust-giyim,ADX-0003540902,6000002102089,KAYIK YAKA BASİC T-SHİRT P1805,"299,50 TL"
ust-giyim,ADX-00035653221,6000002122766,KOLSUZ ALT ÜST MODAL İKİLİ TAKIM TKM13977,"759,50 TL"
ust-giyim,ADX-0003503013,6000002132444,BASİC MODAL T-SHİRT P4318-İ9,"349,50 TL"
ust-giyim,ADX-0003568611,6000002126139,YANDAN BAĞLAMALI KOLSUZ GÖMLEK G1036,"499,50 TL"
ust-giyim,ADX-0003555503,6000002116857,SIRT DEKOLTELİ MİNİ ELBİSE E0095,"499,50 TL"
ust-giyim,ADX-00035480Z55,6000002109620,KOLSUZ BAĞLAMALI GÖMLEK G17399-Y8,"649,50 TL"
ust-giyim,ADX-0003449513,6000002124067,BOYUNDAN BAĞLAMALI CROP BLUZ B0300-T10,"249,50 TL"
ust-giyim,ADX-00035409Z52,6000002102195,KAYIK YAKA BASİC T-SHİRT P1805,"299,50 TL"
ust-giyim,ADX-0003400102,6000002106933,STRAPLEZ BÜZGÜLÜ MİNİ ELBİSE E16704-T11,"549,50 TL"
ust-giyim,ADX-00035409Z16,6000002102171,KAYIK YAKA BASİC T-SHİRT P1805,"299,50 TL"
ust-giyim,ADX-00035409Z55,6000002102232,KAYIK YAKA BASİC T-SHİRT P1805,"299,50 TL"
ust-giyim,ADX-0003546602,6000002108326,POLO YAKA FERMUARLI BLUZ B251023,"479,50 TL"
ust-giyim,ADX-00035168B02,6000002081377,AYARLANABİLİR ASKILI ATLET A127,"379,50 TL"
ust-giyim,ADX-00034001Z55,6000002113542,STRAPLEZ BÜZGÜLÜ MİNİ ELBİSE E16704-T11,"549,50 TL"
