Name,Brand,SalePrice,RegularPrice,StockCode,URL,CategoryURL
Sunta Vidası 3.5x18 (1000 Adet),N/A,336.3,336.3,"SV3518            336,30 TL            280,25 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-18-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Döner 100 mm,N/A,271.5,271.5,"STD100            271,50 TL            210,14 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-doner-100x35-mm,https://nalburtek.com/hirdavat-ve-nalbur
Sunta Vidası 3.5x20 (1000 Adet),N/A,360.27,360.27,"SV3520            360,27 TL            300,22 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-20-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur
Keser Halkası-Askısı,N/A,N/A,N/A,KA202               Sepete Ekle,/hirdavat-ve-nalbur/takim-cantasi-alet-askilari/civi-onlukleri/prd-keser-askisi-demir,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Döner 125 mm,N/A,306.8,306.8,"STD125            306,80 TL            244,89 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-doner-125x40-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x20,N/A,2.51,2.51,"BC0820           2,51 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-20,https://nalburtek.com/hirdavat-ve-nalbur
Sunta Vidası 3.5x25 (1000 Adet),N/A,414.27,414.27,"SV3525            414,27 TL            345,23 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-25-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Döner 150 mm,N/A,722.19,722.19,"STD150            722,19 TL            578,30 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-doner-150x45-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x25,N/A,2.85,2.85,"BC0825           2,85 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-25,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x35,N/A,3.42,3.42,"BC0835           3,42 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-35,https://nalburtek.com/hirdavat-ve-nalbur
Sunta Vidası 3.5x30 (1000 Adet),N/A,438.33,438.33,"SV3530            438,33 TL            365,27 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-30-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Frenli Döner 80 mm,N/A,325.8,325.8,"STFD080            325,80 TL            255,21 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-frenli-doner-80x30-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x40,N/A,3.77,3.77,"BC0840           3,77 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-40,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Frenli Döner 100 mm,N/A,355.67,355.67,"STFD100            355,67 TL            285,08 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-frenli-doner-100x35-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x45,N/A,4.13,4.13,"BC0845           4,13 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-45,https://nalburtek.com/hirdavat-ve-nalbur
Desa Üçlü Bahçe Seti Metal Kürek-Çapa-Tırmık,N/A,360.0,360.0,"BS0001            360,00 TL            300,00 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/bahce-aletleri/capa-cesitleri/prd-uclu-bahce-seti-kurek-capa-tirmik,https://nalburtek.com/hirdavat-ve-nalbur
Sunta Vidası 3.5x35 (1000 Adet),N/A,511.62,511.62,"SV3535            511,62 TL            426,35 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-35-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Frenli Döner 125 mm,N/A,407.25,407.25,"STFD125            407,25 TL            320,37 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-frenli-doner-125x40-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x50,N/A,4.46,4.46,"BC0850           4,46 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-50,https://nalburtek.com/hirdavat-ve-nalbur
Düz Lama Bağlantı Sac Gönye 40x80mm,N/A,11.3,11.3,"DG4080           11,30 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/gonye-ve-kosebentler/prd-duz-gonye-40mm-x-80mm,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Frenli Döner 150 mm,N/A,849.8,849.8,"STFD150            849,80 TL            678,75 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-frenli-doner-150x45-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x55,N/A,4.81,4.81,"BC0855           4,81 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-55,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M10x100,N/A,12.77,12.77,"BC10100           12,77 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m10-x-100,https://nalburtek.com/hirdavat-ve-nalbur
Sunta Vidası 3.5x40 (500 Adet),N/A,282.2,282.2,"SV3540            282,20 TL            235,17 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-40-500-adet,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x60,N/A,5.17,5.17,"BC0860           5,17 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-60,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Sabit 80 mm,N/A,244.35,244.35,"STS080            244,35 TL            168,33 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-sabit-80x30-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x65,N/A,5.55,5.55,"BC0865           5,55 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-65,https://nalburtek.com/hirdavat-ve-nalbur
Sunta Vidası 3.5x45 (500 Adet),N/A,287.16,287.16,"SV3545            287,16 TL            239,30 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-45-500-adet,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Sabit 100 mm,N/A,217.2,217.2,"STS100            217,20 TL            181,91 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-sabit-100x35-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x70,N/A,5.93,5.93,"BC0870           5,93 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-70,https://nalburtek.com/hirdavat-ve-nalbur
Sunta Vidası 3.5x50 (500 Adet),N/A,342.25,342.25,"SV3550            342,25 TL            285,21 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-50-500-adet,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Sabit 125 mm,N/A,263.36,263.36,"STS125            263,36 TL            214,49 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-sabit-125x40-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x75,N/A,6.33,6.33,"BC0875           6,33 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-75,https://nalburtek.com/hirdavat-ve-nalbur
Altıköşe Beyaz Çelik Somun DIN934 M5,N/A,0.36,0.36,"BÇS05           0,36 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/somun-cesitleri/prd-beyaz-celik-somun-din934-m5,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Sabit 150 mm,N/A,651.6,651.6,"STS150            651,60 TL            532,14 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-sabit-150x45-mm,https://nalburtek.com/hirdavat-ve-nalbur
Altıköşe Beyaz Çelik Somun DIN934 M6,N/A,0.64,0.64,"BÇS06           0,64 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/somun-cesitleri/prd-beyaz-celik-somun-din934-m6,https://nalburtek.com/hirdavat-ve-nalbur
