ProductName,Total_Period_Change_%,2026-04_Change_%
%100 4951 BEYAZ ERKEK MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 4951 ERKEK HAKI MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 4951 ERKEK LACIVERT MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 4951 ERKEK MADMEXT PAMUK PUDRA TIŞÖRT,0.0,0.0
%100 4956 ERKEK MADMEXT PAMUK SIYAH TIŞÖRT,0.0,0.0
%100 4968 ERKEK HAKI MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 4LÜ BEYAZ DOLGULU KILIFLI KIRLENT KIRMIZI PAMUK SILIKON VAROL,0.0,0.0
%100 5'LI 5902118S5 BURATTI DETAYLI DÜĞMELI FIT PAKET PAMUK PAMUKLU POLO SLIM TIŞÖRT YAKA ŞERIT,0.0,0.0
%100 5'LI 5902127S5 BURATTI DÜĞMELI FIT PAKET PAMUK PAMUKLU POLO REGULAR TIŞÖRT YAKA,0.0,0.0
%100 5'LI AÇIK BEYAZ BISIKLET DAR FIT KESIM MAVI MAVI PAKET PAMUK SIYAH SLIM TAŞ TIŞÖRT TUDORS UNISEX YAKA,0.0,0.0
%100 5'LI BEYAZ BISIKLET DAR FIT KESIM PAKET PAMUK SIYAH SLIM TIŞÖRT TUDORS UNISEX YAKA,0.0,0.0
%100 5'LI BISIKLET DAR FIT KESIM PAKET PAMUK SIYAH SLIM TIŞÖRT TUDORS UNISEX YAKA,0.0,0.0
%100 50 7W5 80CM BAGGY BASIC BOY DENIM ERKEK FIT IT'S JEAN PAMUK RELAXED RENK TT25 İNDIGO İÇ,0.0,0.0
%100 500ML BITKISEL BULAŞIK BULAŞIK DOĞAL ELDE NEMLENDIRICI SABUNU SABUNU SIVENO VEGAN,0.0,0.0
%100 50ML AVOKADO BRONZLAŞTIRICI BRONZLAŞTIRICI DOĞAL NEMLENDIRICI ORGANIK SIVENO YAĞ YAĞI YOĞUN,0.0,0.0
%100 50ML BEBEK DOĞAL FILTRELI GÜNEŞ INCIA KARŞITI KORUMA KREMI LEKE MINERAL SPF50 UVA UVB YÜKSEK,0.0,0.0
%100 50ML BIRAKMAYAN BITKISEL DEODORANT DOĞAL ERKEK KOKUSU LEKE ON ROLL SIVENO TER VEGAN ÖNLEYICI,0.0,0.0
%100 50X90 BLACK CM GREEN HAVLUSU JAKARLI KREM LACIVERT PAMUK TRIA YÜZ,0.0,0.0
%100 50X90 BLACK CM GREEN HAVLUSU JAKARLI PAMUK TRIA VIZON YÜZ,0.0,0.0
